id,I_size,v1_size,v2_size,total_cross_edges,D
1,292,1211,2469,2913,16
0,1773,6880,9080,13353,13
5,21,102,238,258,6
2,3453,30249,26739,112622,44
7,190,3494,25703,45927,34
3,4453,30929,22865,86868,36
9,67,281,627,735,6
10,984,3825,6262,8171,11
4,5269,29650,19475,64086,31
13,228,1020,2031,2357,8
15,100,461,955,1062,6
16,13,58,123,140,4
6,5725,25448,16053,41905,25
17,105,487,1114,1206,6
8,5774,24681,15510,39060,24
11,3502,29801,26450,109132,38
21,17,70,146,147,2
19,1561,6189,8395,11966,11
20,2117,8166,10082,15335,10
22,1,3,6,6,1
12,5651,24167,15622,38830,26
14,5523,23251,15220,37895,23
24,20,74,161,170,2
27,2,17,26,27,2
26,110,481,1072,1190,6
18,5778,24395,15250,37702,28
30,40,183,430,472,6
28,0,0,0,0,0
23,4657,30690,21793,77267,35
31,962,3920,6352,8236,9
32,1816,6854,9201,13597,15
34,622,2667,4611,5771,10
35,233,1056,2119,2376,6
25,5792,28528,17844,51645,24
37,2,11,19,22,2
36,730,11651,39436,118348,41
29,5491,22514,14430,33774,20
38,7,57,120,128,4
39,76,289,648,707,5
41,755,3137,5385,6922,12
42,258,4809,30903,60430,33
44,1,5,13,13,1
33,5639,27783,17266,49242,28
43,461,1885,3523,4349,9
45,1,3,9,10,2
40,2067,24118,33971,144271,47
48,0,0,0,0,0
47,679,2847,5068,6473,11
49,2444,9263,10820,17247,14
50,35,765,8566,11535,20
51,44,932,9100,12355,26
52,76,1587,14578,21297,30
53,316,5524,32867,67730,42
46,5318,21421,14386,32619,22
54,493,2077,3837,4510,10
56,4,25,52,58,6
55,3712,14431,12779,23812,20
57,3,14,20,23,3
59,85,353,677,739,4
58,908,13737,39662,131753,36
61,153,2672,21614,35867,27
62,210,930,1999,2266,7
60,1098,15810,39132,139260,46
65,220,917,1817,2066,8
64,8,36,59,63,3
66,574,2404,4417,5366,8
63,4250,16315,13312,26713,24
67,105,1949,17203,25227,28
68,180,3400,24897,43806,32
70,1,9,12,12,1
69,2,10,22,24,3
71,4,13,27,28,2
72,201,851,1709,1981,6
73,68,315,678,745,5
75,49,187,387,458,7
76,0,0,0,0,0
77,1,0,0,0,0
78,2,6,9,9,1
81,10,56,136,142,3
82,0,0,0,0,0
83,162,3059,23621,40197,29
74,5815,27107,16539,45858,33
84,993,14664,39651,135622,38
86,114,543,1199,1370,7
80,4015,30599,24743,99824,47
88,0,0,0,0,0
89,20,65,169,170,2
79,5647,23201,14731,34156,20
90,0,0,0,0,0
85,1748,21614,36061,147662,36
93,52,190,414,451,7
91,3055,11921,11894,20686,14
95,5,21,56,60,3
87,4564,30919,22426,82481,40
96,17,56,135,147,3
94,4198,15844,13127,25933,18
92,4747,30444,21666,76219,31
100,16,74,172,198,4
97,3720,13947,12237,22645,14
99,2519,9403,10642,17208,11
98,263,5102,31559,63373,31
101,12,59,104,121,4
104,1575,6133,8556,12237,17
105,91,1536,14534,20614,25
103,2371,9243,10771,17666,12
106,0,0,0,0,0
107,61,287,655,730,6
102,3281,29015,27754,115668,41
108,111,2125,18622,29466,28
109,63,1072,10878,14771,27
111,21,97,191,236,4
112,184,3277,25272,43567,26
113,90,1805,16164,24550,27
110,1725,21102,36276,148665,44
114,552,2475,4526,5635,8
115,6,18,49,49,1
116,221,3818,27014,49605,30
117,2552,9743,11026,17722,12
120,137,2291,20232,32049,25
121,210,3747,27131,49070,30
122,3,12,12,12,1
119,1410,19246,37818,150101,51
123,2526,9830,11057,17961,13
124,1226,17773,38598,144132,43
126,2,9,18,23,3
125,1375,18479,37945,148274,48
128,19,97,252,278,5
118,5000,30476,20964,75169,33
130,35,141,332,374,5
127,2461,9435,10702,17406,13
131,1187,4725,7311,9978,9
133,42,152,375,400,5
132,797,12188,39994,124530,40
129,2587,26368,31501,135755,56
134,333,5651,32865,68877,33
137,306,1260,2428,2827,6
138,29,602,6533,8706,17
140,502,2025,3778,4593,8
136,1617,20852,36674,150694,39
141,835,3307,5679,7329,10
139,3037,11369,11744,20333,17
142,451,7598,36814,90252,32
143,54,1133,11320,15422,23
144,5,23,41,42,2
135,5711,24502,15457,39276,26
146,69,1126,11710,15663,24
147,262,4276,28643,53621,27
148,1551,6138,8722,12411,11
149,440,7235,36306,84718,42
150,540,8846,38250,99840,44
145,3619,29778,26400,107955,34
151,162,3111,23977,41328,31
152,98,1571,14421,21148,23
153,153,656,1402,1584,7
155,1,3,1,1,1
154,386,1561,3009,3546,7
159,2,5,14,14,1
156,2393,25401,32348,138978,62
157,4449,16963,13331,26917,14
158,1407,18817,37657,146518,42
161,129,2434,20696,32196,32
164,117,433,944,1092,6
165,74,301,701,794,5
162,4618,18092,13874,29208,29
166,60,1024,10752,14636,17
160,5316,20939,14347,32427,19
167,770,2995,5156,6480,10
170,35,150,335,404,5
171,20,89,200,226,4
168,4813,18445,13765,28984,19
163,5708,23882,15358,37987,23
172,851,12957,39916,129482,38
174,792,3286,5628,7082,8
176,338,1417,2790,3286,10
173,4756,18279,13829,29769,34
178,12,49,97,107,3
177,541,8977,38395,98695,41
179,9,48,109,113,3
169,5771,28344,17326,50944,31
175,3252,29252,28020,116911,43
182,260,4801,30452,59884,25
180,330,1427,2843,3375,6
184,15,50,139,146,4
183,3691,13893,12392,22855,13
185,1,10,19,19,1
187,7,24,47,48,2
188,151,2576,21598,35447,25
186,1520,19811,37203,148650,40
189,452,7654,36813,89872,31
191,0,0,0,0,0
192,963,3833,6407,8373,10
193,230,1053,2127,2516,8
194,9,48,114,145,6
181,5738,28554,17436,51669,31
196,646,2696,4780,5932,10
190,3694,30017,25870,106763,42
195,195,817,1748,2012,9
198,23,73,176,189,3
201,1400,5617,8049,11339,10
199,3835,14387,12641,23527,28
197,3581,29885,26457,109806,39
203,240,997,2066,2420,8
204,23,443,4959,6662,16
205,328,5941,33447,72907,34
206,3,12,25,26,2
200,4937,19559,13847,30126,25
208,4,13,23,23,1
207,2698,10101,10979,18112,12
210,340,1438,2763,3215,7
202,5255,21443,14746,34375,20
212,51,992,9872,13339,21
211,969,3808,6218,8250,13
209,1522,19907,37130,147898,54
213,328,1429,2836,3374,9
214,56,238,492,528,5
217,6,15,32,34,2
216,1020,15396,39447,138332,38
218,934,4033,6586,8974,9
215,569,9477,38199,103199,40
219,49,708,8344,10443,18
220,20,374,3594,4457,23
221,6,33,84,99,3
222,51,235,549,615,6
223,50,251,542,593,4
224,2822,10623,11183,18314,10
225,126,519,1076,1203,7
227,0,0,0,0,0
229,197,3689,26423,48246,32
230,40,187,399,428,5
228,2753,10400,11243,18906,17
231,139,2533,20897,33793,30
232,0,0,0,0,0
233,1328,5349,7701,10607,9
234,1067,15002,39549,137706,55
226,5812,26165,16313,43442,31
237,401,1751,3429,4113,7
239,166,708,1480,1668,5
240,9,61,112,127,5
241,22,57,112,123,3
242,4,29,48,48,1
243,570,2393,4449,5603,8
236,4616,30626,22362,81866,33
244,1039,4139,6467,8537,10
235,5056,19352,13597,28522,20
238,5105,20608,14202,31778,18
248,20,93,208,233,4
246,100,468,1025,1230,6
245,3922,15066,12659,24272,16
247,548,2192,4039,4989,8
250,197,821,1727,1989,8
253,1,7,16,16,1
252,642,9935,38711,105940,47
251,4214,16023,13175,25926,16
249,3427,28994,27399,113531,39
254,493,8215,37952,95581,47
256,164,708,1435,1620,6
257,182,3575,25591,45404,25
255,1738,21445,36140,150258,46
258,872,13056,39470,124710,38
259,3408,13231,12600,22898,14
261,48,249,443,502,7
263,83,423,846,915,5
260,2656,26425,31002,133891,38
262,163,689,1323,1478,4
266,82,379,824,882,3
265,322,5639,33343,70158,35
267,30,104,242,273,4
268,1181,4786,7408,10145,8
271,144,2601,21135,34027,30
272,1668,6559,9031,13183,9
264,4930,30788,21005,74434,29
274,58,285,630,716,6
278,5,30,73,86,3
275,1490,19172,37525,146202,44
277,25,92,164,167,3
279,45,215,402,431,4
270,5555,23644,15201,37768,21
280,359,1464,2884,3386,7
281,106,418,926,1006,4
269,4986,30246,20754,72143,35
283,53,906,9541,12909,22
273,5531,27574,17664,51431,30
285,46,717,7210,9188,20
284,417,6819,35381,80634,34
286,445,1804,3450,4237,10
276,5850,25242,15847,41475,24
282,2335,25352,32591,140548,37
288,388,1627,3066,3609,6
287,0,0,0,0,0
289,29,118,282,312,3
291,213,834,1769,2073,6
290,1452,6144,8776,12901,11
292,174,764,1652,1879,5
293,62,275,575,614,4
297,226,915,1780,1981,6
295,584,9605,39071,106776,35
299,154,2874,23550,40257,32
301,63,1306,13446,18259,23
300,30,694,7340,10041,31
303,25,115,186,204,5
296,4284,30668,23419,89042,39
302,972,13812,39848,130594,46
298,4354,30883,23167,87148,30
305,5,21,55,59,2
294,5534,29198,18292,55448,30
308,210,864,1759,2074,7
306,2395,9249,10901,17601,12
310,1004,4034,6562,8794,12
311,3,6,15,15,1
307,4648,17683,13428,27692,17
313,1692,6571,9009,13219,12
312,1793,22117,35649,146665,46
304,5639,28902,18015,53841,36
316,928,14104,39642,132282,40
315,638,10099,38947,108368,32
318,178,810,1788,2049,9
317,959,13914,39764,129957,44
314,4893,18641,13834,28983,16
319,363,6333,34790,78098,31
321,581,9895,39103,109562,38
322,405,1631,3316,3977,14
309,5463,29255,18591,57946,32
323,1446,5670,8028,11528,12
325,2867,11016,11592,19958,15
324,4156,15632,12815,25119,13
328,6,28,60,64,3
329,1098,4239,6716,8920,9
320,4930,30495,20624,70477,37
326,2028,23900,34070,145998,46
327,2439,25536,32434,141478,40
333,10,43,74,90,4
334,6,27,58,98,5
335,1133,4508,7149,9756,9
336,3,10,20,23,3
337,12,54,108,111,2
331,5494,23261,15543,38580,23
339,1566,6210,8635,12376,14
340,0,0,0,0,0
330,5319,30301,19653,66193,32
344,348,1566,3085,3667,7
332,5512,29070,18508,56901,41
346,0,0,0,0,0
338,4994,19264,14072,30574,17
343,3385,13423,12514,23458,14
341,2031,23226,34661,144517,40
347,3,8,22,22,1
345,3485,12837,12061,21400,19
348,18,51,126,135,2
350,12,51,99,103,2
351,82,317,683,764,4
349,3243,12383,11920,21077,14
354,11,33,91,91,1
352,11,39,94,105,3
342,5545,29982,18555,58273,27
357,257,4503,30184,57448,27
356,1063,14975,39444,138416,46
358,18,63,125,129,4
359,1,4,5,5,1
353,4555,30829,22233,81564,41
360,72,371,689,730,3
362,76,1276,11848,17064,33
363,4,10,23,23,1
364,591,2546,4612,5855,15
365,1878,7476,9558,14363,10
367,45,179,388,410,5
366,577,2355,4308,5359,7
355,5713,26618,16330,44393,29
361,3628,30081,26229,108354,44
370,75,302,609,667,4
374,6,22,51,54,2
372,1615,20756,36913,148993,41
375,98,1840,16853,24871,28
373,807,12870,39986,126092,35
377,11,37,95,100,2
380,0,0,0,0,0
369,5733,25853,16195,43165,21
368,5646,28707,17760,53597,27
378,57,219,434,476,4
376,2717,26805,30847,131746,41
379,659,10560,39352,111972,35
381,355,6366,34373,75529,34
382,117,1768,15647,22915,28
371,5703,28888,17740,53231,26
387,5,15,58,66,3
385,1861,7317,9465,14390,8
388,41,170,390,418,3
389,2,11,27,27,1
384,2772,27640,29965,126833,43
391,0,0,0,0,0
386,2605,26712,30960,131404,53
392,71,327,695,767,6
383,5810,27734,16894,47443,31
393,330,5631,31884,67513,30
395,8,23,58,66,3
390,4913,19306,13920,29949,26
397,2,11,34,34,1
399,21,75,182,212,4
396,3521,13605,12381,22792,15
398,4046,15088,12694,23983,15
400,82,1501,13898,20049,24
401,4,17,24,24,1
394,4111,30582,24235,95077,37
403,9,37,69,81,3
402,2782,10845,11498,19494,19
404,57,274,626,700,4
405,20,68,135,140,2
408,49,169,383,426,5
409,325,1421,2839,3356,7
407,90,1626,16019,23081,26
410,339,1384,2684,3087,10
411,95,1565,14560,21525,25
412,4,6,17,17,1
406,3801,30551,25376,102309,38
414,48,206,426,458,3
415,182,3290,25556,43667,29
418,531,8949,38004,99790,37
419,10,31,75,79,3
417,3756,14230,12450,23184,16
420,3,5,11,11,1
413,4680,30913,21552,77348,37
422,380,6388,34313,78302,40
421,129,503,1070,1169,4
424,536,8134,37446,94660,42
425,1045,4151,6708,8948,11
427,1,3,8,8,1
423,2221,24709,33208,141015,42
416,5411,29842,19094,60914,34
429,96,1946,17566,26924,32
430,14,213,2445,2806,11
432,94,1705,16771,24368,40
433,6,27,57,59,2
428,5142,20329,13951,30383,19
426,5761,25345,15655,40078,25
431,2400,25502,32284,139960,40
434,340,5681,33474,70521,26
436,1984,7644,9605,14570,12
437,47,641,7202,9005,21
435,2514,26363,31570,136598,44
438,640,10444,39011,111909,37
441,306,5348,32081,66024,34
440,174,3301,25062,42148,31
442,45,153,341,377,5
444,599,2531,4574,5624,9
443,2,2,3,3,1
439,3044,28485,28647,121122,50
445,108,2103,18155,28365,30
447,51,1053,11662,16256,24
446,1284,17623,38421,146185,35
448,288,5128,31290,61945,40
451,7,41,108,116,3
452,635,2593,4646,5799,7
449,2977,28199,28921,121993,47
456,17,77,152,174,3
455,0,0,0,0,0
457,1,2,6,6,1
458,4,28,55,58,2
454,2483,26141,31920,138455,47
450,5248,20234,14012,30934,31
459,961,14170,40040,135952,55
461,2,9,28,28,1
460,41,920,8987,12131,16
453,3891,29884,25408,102218,53
464,81,357,804,886,5
463,48,205,453,490,5
462,2195,24990,33118,141773,47
466,3,19,60,63,2
468,49,837,8850,12350,21
467,62,1090,9709,13695,27
470,21,106,194,214,4
465,3854,30351,25092,99756,37
469,1556,20148,37090,146354,45
471,2259,8553,10231,15713,11
474,11,27,62,73,3
473,2124,8383,9935,15491,13
475,115,577,1199,1367,6
476,656,2687,4973,6292,11
477,1623,6495,8733,12662,11
478,968,3997,6355,8378,9
479,106,523,1105,1256,10
480,751,11757,39682,121650,36
482,129,584,1261,1456,8
483,58,1112,11562,16287,25
486,102,1778,16736,24231,23
484,595,9208,37879,100453,45
472,5152,30537,20221,69841,27
487,34,602,6008,8058,22
489,10,59,125,131,3
488,115,518,1072,1146,5
485,1256,17559,38769,143613,41
481,4953,31172,21024,74501,32
490,0,0,0,0,0
491,0,0,0,0,0
492,148,821,4039,4645,5
493,17,94,546,599,4
495,234,1254,5828,7010,7
497,1146,6341,18855,32857,12
494,3443,36131,67907,444633,89
498,341,8493,52056,181322,98
499,52,271,1494,1599,4
496,6722,29939,23386,70532,32
500,713,10508,64193,196122,67
503,1,4,31,31,1
502,878,12470,71222,261766,70
504,55,307,1721,1919,4
501,3259,38734,66843,448436,84
505,0,0,0,0,0
506,201,1046,5132,6055,7
507,2,19,108,120,3
508,157,974,5010,5858,5
509,24,133,725,769,3
510,237,5672,44075,108455,64
511,25,190,1176,1297,4
513,0,0,0,0,0
512,5434,25430,23823,68654,23
515,64,321,1741,1929,5
516,5,26,140,163,3
514,2728,29281,72473,393679,61
517,38,246,1337,1490,5
519,3867,18909,23806,62010,18
521,1,6,48,48,1
522,9,60,324,336,2
524,1,11,69,71,2
526,3,20,120,125,3
520,3476,38112,67391,434949,82
525,3707,18756,23702,61296,20
527,477,8626,64068,202131,51
518,6122,54742,46848,314935,72
529,535,2883,11528,15737,8
530,1713,9161,21661,42367,14
531,245,1381,6819,8325,6
532,14,74,397,475,5
523,6168,50735,54090,375060,65
528,6021,27820,23914,71489,22
535,82,440,2269,2541,5
536,284,1722,8072,10196,7
537,71,424,2343,2580,4
539,8,56,348,400,4
540,2,6,17,18,2
538,4841,23253,24061,67694,24
534,7692,33959,23170,72938,31
533,5304,42868,62088,438367,65
543,8,24,101,113,3
545,279,1522,6943,8561,8
546,7,35,212,227,3
547,1,1,3,3,1
550,74,373,2068,2327,5
552,1,5,31,32,2
551,3797,18447,23976,61618,20
553,36,1109,15225,38645,47
554,4,24,153,166,2
555,1556,8504,21029,40054,13
541,9875,57629,33495,171005,54
542,8701,56759,37972,221170,54
556,2298,12191,22949,49716,17
557,1,7,28,38,3
544,10717,50768,27146,112986,37
558,40,196,981,1103,5
559,7,55,338,358,4
561,3765,18471,24181,62771,20
548,10473,54270,29843,137113,46
549,10650,55883,31777,160251,47
564,2434,12500,23241,51736,16
567,38,169,995,1102,4
565,1369,20291,74708,386476,84
560,8251,36271,23593,76992,27
568,4,22,142,151,2
569,0,0,0,0,0
570,1110,6078,18484,31478,12
571,23,110,566,622,5
573,2265,11768,22562,49135,16
574,714,4096,14582,21863,9
563,9847,42834,24266,86693,32
575,1,8,51,56,2
576,0,0,0,0,0
577,2,18,116,129,3
562,9330,57507,36692,211604,56
572,5732,26258,23797,70506,22
579,605,3314,12900,18329,9
566,9895,59324,37089,211295,53
581,1,9,65,69,2
582,673,11197,62785,178644,53
583,4,25,88,107,5
584,223,6822,54211,193154,92
580,7671,33775,23432,73896,28
586,355,1967,8680,11096,8
587,0,0,0,0,0
589,17,66,405,426,3
590,63,356,2074,2313,6
578,9425,55835,34885,183938,46
592,31,167,945,1022,4
593,2,10,63,69,2
596,328,1869,8200,10579,6
597,1,5,40,41,2
591,7106,31151,23498,71014,25
588,9940,42582,23882,84438,38
585,11253,54234,28646,127286,62
599,6,40,262,293,4
595,3596,38268,67480,419503,60
598,51,227,1225,1343,6
600,62,332,1838,2076,5
601,342,9079,56606,206237,73
602,1449,7695,20190,37258,12
603,0,0,0,0,0
605,551,3142,12716,17881,9
604,2579,13516,23634,54434,15
594,6765,55821,45987,304937,72
606,135,753,3778,4384,6
607,8,59,311,353,5
610,0,0,0,0,0
611,176,1055,5459,6488,8
613,14,72,370,397,3
612,1942,10459,22318,46404,13
614,9,52,291,328,3
616,94,3077,30554,91042,53
617,1431,7701,20063,37172,11
618,0,0,0,0,0
615,2241,24135,74108,338154,65
609,9197,38075,23775,79850,27
619,3,16,72,78,3
620,1854,9772,21758,43686,14
621,1543,8323,20930,39852,15
622,1,4,20,25,3
608,10311,57436,33425,170677,58
625,368,2094,9339,11930,6
624,1,7,54,57,2
626,1482,8226,20394,38171,13
629,116,3357,31237,85102,62
627,2895,33989,70626,432679,91
630,865,4791,16111,25185,9
633,577,3249,12954,18249,9
634,7,49,227,262,6
628,6810,29252,23641,71681,22
635,0,0,0,0,0
631,5361,25569,23849,68211,23
623,10640,57495,33365,179829,52
632,4367,45864,59209,425084,68
640,23,129,708,778,4
636,4956,23363,23745,66903,25
637,1664,24717,74420,408105,109
641,25,147,866,950,4
642,114,650,3548,4076,6
645,0,0,0,0,0
639,4662,47518,56816,405429,69
644,4069,19387,24033,62960,21
638,5163,49051,55200,400310,83
647,4,20,100,121,4
649,12,66,352,370,3
650,86,414,2207,2530,5
651,105,661,3509,4122,6
652,1629,8702,21256,41033,12
643,6337,54820,49477,327820,76
654,18,97,500,540,3
655,3,12,55,57,2
656,1875,10317,22353,46287,18
659,3,9,50,54,2
648,10260,45035,24577,90206,30
660,2,21,77,99,5
661,178,931,4636,5447,6
646,12153,55831,29021,135040,57
663,830,4804,16186,25583,9
662,15,90,469,525,5
664,44,1046,14317,25804,42
665,585,3361,13244,18845,8
653,7609,56994,42971,268204,76
667,0,0,0,0,0
668,2,16,95,100,3
666,1034,17090,71908,296034,82
669,2,18,66,83,5
670,68,439,2293,2566,4
658,10368,47535,25706,98037,38
671,14,66,337,366,5
657,10308,54706,29971,139620,57
673,2,17,113,118,2
675,209,5960,42882,134292,77
676,469,2638,11050,15010,8
672,4657,45183,59290,438235,76
679,34,177,951,1060,5
674,5666,25885,23722,68072,22
681,26,159,864,969,6
678,952,15113,68359,237684,123
684,0,0,0,0,0
685,157,817,4172,4894,6
680,6484,28437,23689,70804,21
677,9229,39017,23317,77659,25
688,850,4884,16387,25986,9
686,1906,24310,74834,430709,111
682,8296,34718,23593,75599,28
689,365,9598,57335,216823,86
683,8343,35427,23353,74506,26
691,242,1389,6762,8385,8
687,3831,37213,67455,469228,95
693,10,42,210,231,3
690,3557,36951,67640,470845,95
694,318,6742,52864,133358,72
695,13,86,426,475,4
697,0,0,0,0,0
699,43,296,1609,1806,4
698,883,12104,68635,228807,63
702,35,228,1157,1282,4
696,5248,44284,61170,434302,82
692,7000,54921,44227,278001,57
700,6976,30797,23458,71437,25
706,186,5042,47904,138140,52
707,2,17,108,116,3
708,36,211,1196,1299,5
709,1220,6653,19067,33537,11
705,3841,44042,62845,450994,95
711,2,7,40,40,1
712,1,7,55,56,2
701,11055,47055,25333,95031,33
714,3,12,73,78,2
703,11338,50556,26702,109899,39
715,1,7,33,33,1
717,267,1488,6988,8760,6
713,4097,41591,64346,465194,79
704,8689,57466,36867,203773,52
719,2379,12563,22999,51212,17
721,7,30,102,118,3
720,1019,16311,75087,337684,63
722,1903,9982,22164,45086,14
724,2,6,30,30,1
710,8641,55983,44143,292180,63
718,8677,35643,23698,77104,25
716,8990,37419,23328,77061,25
726,3140,15801,23817,56845,16
728,5,29,131,156,4
727,2956,15024,23617,55929,18
729,597,14013,69392,279616,80
731,32,160,827,869,3
732,91,523,2691,3078,5
733,420,10876,63649,243569,100
735,38,216,1100,1214,5
723,11476,52391,27422,116451,41
736,1402,7948,20340,38275,12
725,10483,50123,26783,109941,44
738,2441,12911,22883,51438,17
739,2038,10673,22139,45433,15
740,658,3753,14086,20830,9
742,1,5,43,45,2
730,10520,48046,25782,100205,39
741,4098,19948,24187,64413,21
744,0,0,0,0,0
745,4,24,150,170,3
746,413,2258,10128,13286,8
743,2781,29619,73038,421840,106
747,52,297,1594,1823,5
734,8020,56686,44425,291643,53
748,917,5190,16558,26632,11
750,4,13,65,70,2
752,1618,8857,21038,40855,13
737,11363,52387,27326,114046,45
753,1848,19232,74436,331062,69
755,534,3014,12046,16948,9
751,6916,31247,23542,72815,29
758,3,12,39,49,3
757,14,72,412,476,5
759,6,35,181,202,4
760,837,13416,69049,244834,65
761,624,3756,14163,20722,8
754,8210,36009,23623,77830,28
749,8916,56945,37645,218420,58
764,4905,22886,23826,65600,24
756,7215,55233,44659,300045,65
766,2527,13278,23706,54142,15
762,8189,34861,23380,76020,29
769,1,2,9,9,1
770,47,266,1493,1633,4
767,3571,31685,71040,463468,100
763,9144,39126,23998,80531,25
772,108,618,3201,3619,5
774,203,4175,42257,102524,42
777,1,4,15,16,2
778,478,2733,11348,15643,8
773,6088,28138,23397,70015,25
776,2116,22507,75459,407828,84
779,0,0,0,0,0
765,9547,57838,35888,192231,55
780,22,128,810,864,4
768,10486,44069,24100,86082,32
781,147,897,4710,5569,6
782,351,9145,59855,205891,93
783,572,3251,12885,18437,8
771,11124,56509,32212,163751,48
786,180,886,4575,5328,6
775,11428,48179,24872,94077,32
789,104,3214,28986,86262,57
790,807,4487,15499,23625,9
788,2649,28721,73469,397103,54
784,5515,47299,56102,412510,72
791,1163,20456,74413,333062,79
785,5145,47561,58192,402698,71
795,1,6,20,22,2
793,430,2385,10058,13530,7
796,82,444,2290,2530,4
797,5,29,164,176,4
798,3,16,70,86,4
799,1052,5588,17620,29090,10
801,68,1951,28053,68583,44
802,35,195,1058,1161,5
787,11544,52248,27038,113820,34
803,17,65,359,385,3
804,0,0,0,0,0
806,156,1061,5558,6618,5
792,10810,52872,28227,119909,48
805,3197,16512,23867,58881,17
807,472,2649,10825,14770,8
794,8794,57630,39701,237795,61
808,62,353,1827,2045,4
809,2,7,44,44,1
810,1053,17469,71711,256338,86
812,1014,5394,17306,27785,10
800,8881,57356,41525,256451,57
813,0,0,0,0,0
814,5,23,153,161,2
815,5,32,155,180,4
817,1,12,100,100,1
816,4309,20437,24173,64344,20
818,2856,14413,23758,55626,16
811,9920,44625,24640,90469,31
821,3,25,130,158,3
820,266,5890,50676,153498,46
822,309,6893,50985,139021,87
825,0,0,0,0,0
826,4178,20511,23916,63439,20
829,181,883,4433,5076,5
828,3968,19287,23947,61702,24
831,1,5,38,40,2
823,5305,42663,62223,450272,70
832,1,6,47,49,2
819,11062,52751,27821,120011,40
830,2370,23815,74781,416878,118
833,4,6,35,35,1
835,1196,6480,18690,32207,11
837,136,777,4080,4799,6
824,8854,57054,41477,262530,54
827,6638,50696,53823,376716,56
838,19,112,603,671,5
839,35,229,1298,1421,6
834,3805,36111,67970,458046,61
840,22,120,637,698,3
841,2172,26208,74605,409760,54
843,317,6874,50503,126338,72
844,1410,7679,20154,37211,12
845,111,574,2901,3279,5
846,247,1436,6755,8244,7
847,338,1956,9011,11681,7
849,0,0,0,0,0
842,7904,34177,23476,74549,28
851,10,55,318,363,4
836,11626,56384,30491,145672,43
852,83,532,2880,3241,5
850,4681,22456,23974,66282,21
853,5,32,201,215,3
855,89,503,2640,2967,8
854,313,1888,8480,10719,8
856,948,5282,17287,27974,10
858,2,11,31,38,3
848,9614,40625,23665,81543,35
860,16,109,627,682,4
862,723,13082,69266,296684,69
865,406,2406,10081,13385,7
866,21,115,669,707,4
861,5941,26914,23591,68597,27
863,3175,32754,70470,457015,103
867,1,5,23,30,3
868,1,4,20,21,2
857,7237,54523,47369,331256,70
859,10876,54504,29421,130975,42
872,0,0,0,0,0
873,0,0,0,0,0
871,225,1384,6649,8138,6
864,10693,45293,24508,89945,32
876,3,16,83,89,3
869,9172,39705,23900,81640,29
875,2160,23022,75197,403689,84
878,2,19,108,118,3
877,1515,24674,74174,385000,92
880,0,0,0,0,0
879,344,9811,56018,205340,111
870,10755,52090,27913,119949,43
882,39,216,1138,1265,5
874,11032,46657,24657,91234,29
881,2092,28917,73809,472336,99
884,51,320,1783,1986,5
883,144,813,4304,5003,7
886,5,27,119,126,3
885,10,77,432,450,3
888,10,66,318,359,3
887,2493,13082,23126,52699,15
891,179,1059,5384,6461,6
893,2307,11797,23033,50362,17
896,1,6,22,26,2
895,3598,17997,24164,61357,22
897,26,145,785,866,4
889,5979,52866,51245,348218,80
898,114,594,2986,3473,5
890,10738,44127,24210,86306,35
899,308,1712,7946,10158,7
900,3,17,119,120,2
