id,milp_obj,expected_obj,is_optimal,I_size,v1_size,v2_size,total_cross_edges,D,time
1,3.793706446782476,4.000131987333463,,292,1211,2469,2913,16,0.0008359240018762648
0,32.94067399284469,37.82961899690032,,1773,6880,9080,13353,13,0.0009852119983406737
5,0.23206367330277833,0.24010302269853478,,21,102,238,258,6,0.0002471899933880195
2,271.29699006393645,489.41741167110774,,3453,30249,26739,112622,44,0.001715640988550149
7,98.12148591314717,121.31597662939471,,190,3494,25703,45927,34,0.0008727560052648187
9,0.4284780379316307,0.45933636313012927,,67,281,627,735,6,0.0005899340030737221
10,19.684812196594375,21.688881401178588,,984,3825,6262,8171,11,0.0006438900018110871
3,240.10464121321863,414.98990401767895,,4453,30929,22865,86868,36,0.00266823401034344
13,2.6950124152310857,2.8181735573841804,,228,1020,2031,2357,8,0.0005056399968452752
4,198.90405436094898,322.7073226068577,,5269,29650,19475,64086,31,0.0020721330074593425
15,0.8686033735359692,0.90706892319009,,100,461,955,1062,6,0.00036608200753107667
16,0.11800553663830761,0.12645365602310432,,13,58,123,140,4,0.00017384400416631252
17,0.8385742989403238,0.8585536908637117,,105,487,1114,1206,6,0.000395401002606377
6,146.62560548654903,214.9355336604821,,5725,25448,16053,41905,25,0.002602450011181645
11,270.2656529403594,486.7780070867172,,3502,29801,26450,109132,38,0.002579715001047589
8,136.48566871429634,197.3608787316356,,5774,24681,15510,39060,24,0.0018396369996480644
19,29.836962050590113,34.17202932589343,,1561,6189,8395,11966,11,0.0009095360001083463
20,40.198402742883204,46.81511512164109,,2117,8166,10082,15335,10,0.0009561729966662824
21,0.10329346095713698,0.10335136207532614,,17,70,146,147,2,0.0004084349930053577
22,0.01717410557455075,0.017174105574550902,,1,3,6,6,1,0.00045433000195771456
12,134.00520089571415,191.67838526501575,,5651,24167,15622,38830,26,0.0022089859994594008
14,128.67764017540208,183.40109403459127,,5523,23251,15220,37895,23,0.0017871710006147623
24,0.15754503922816301,0.1587180424017638,,20,74,161,170,2,0.00017538099200464785
26,0.7558555279771544,0.7873238549394217,,110,481,1072,1190,6,0.0003675889893202111
27,0.012884031204456763,0.01290660075559158,,2,17,26,27,2,0.00048298700130544603
18,134.01615838708108,190.72438634636356,,5778,24395,15250,37702,28,0.0018768130103126168
28,0,0,,0,0,0,0,0,0.000532417994691059
30,0.3709689482165229,0.3904365439636467,,40,183,430,472,6,0.0002233560080640018
31,19.037902496420124,20.919461093649215,,962,3920,6352,8236,9,0.0006238220084924251
23,229.54008346669679,382.60867832020955,,4657,30690,21793,77267,35,0.002337744997930713
32,34.34116933146712,39.77569408184911,,1816,6854,9201,13597,15,0.0008816480112727731
35,3.0341074257382794,3.1618561170612955,,233,1056,2119,2376,6,0.0005073469947092235
34,11.585829575115945,12.532009349626625,,622,2667,4611,5771,10,0.0008965610031737015
25,177.0715454419601,271.4010291693308,,5792,28528,17844,51645,24,0.001990995995583944
37,0.007111080563717284,0.007430001721298374,,2,11,19,22,2,0.00037452699325513095
29,113.76056348908617,159.33781922338224,,5491,22514,14430,33774,20,0.0018158979946747422
38,0.07918640988873385,0.0806093871095841,,7,57,120,128,4,0.0004958360077580437
36,241.1279847120403,368.17759808066745,,730,11651,39436,118348,41,0.001197315999888815
39,0.470337217267952,0.4872686810512413,,76,289,648,707,5,0.0006148209940874949
41,14.287714095265246,15.737413847800543,,755,3137,5385,6922,12,0.0006347940070554614
42,122.49542482753105,158.89668058731388,,258,4809,30903,60430,33,0.0006262969982344657
44,0.002716734889718659,0.002716734889718686,,1,5,13,13,1,0.00012823200086131692
43,7.533270268982875,8.055000594478663,,461,1885,3523,4349,9,0.0008406829874729738
33,163.8968884051885,251.02519930474557,,5639,27783,17266,49242,28,0.002084829000523314
45,0.0017850895905197751,0.001829837358391262,,1,3,9,10,2,0.00011401700612623245
40,310.57640201969764,558.1554545475348,,2067,24118,33971,144271,47,0.001623878997634165
47,13.747762099058813,15.052504286936907,,679,2847,5068,6473,11,0.0008864129922585562
48,0,0,,0,0,0,0,0,0.0004695029929280281
50,7.495535121365131,8.501347934791808,,35,765,8566,11535,20,0.0007590699970023707
49,48.06757645090405,57.16382506944312,,2444,9263,10820,17247,14,0.001026273996103555
51,14.635632218900204,16.281875530242658,,44,932,9100,12355,26,0.0005096779932500795
52,35.15039370007915,40.440993666593315,,76,1587,14578,21297,30,0.0006001740111969411
46,111.10233426053455,153.74053627792014,,5318,21421,14386,32619,22,0.0014976660022512078
53,144.71341818012218,189.68357877116827,,316,5524,32867,67730,42,0.0010913739970419556
54,8.037112326377287,8.521147521004615,,493,2077,3837,4510,10,0.0009331499895779416
56,0.04754264752935753,0.05006080872827945,,4,25,52,58,6,0.00048751301073934883
57,0.005942050999537457,0.006199435436519574,,3,14,20,23,3,0.0005023550038458779
59,0.5141682471334763,0.5332304624386298,,85,353,677,739,4,0.0003109059907728806
55,70.80970238840554,90.04918995778098,,3712,14431,12779,23812,20,0.0013888630055589601
58,262.56474864793915,417.77001652076297,,908,13737,39662,131753,36,0.001397051993990317
61,69.20168818926524,83.70967942700919,,153,2672,21614,35867,27,0.0005817100027343258
62,2.035945576719877,2.134636649788463,,210,930,1999,2266,7,0.0005279839970171452
60,270.9097715575475,450.1438336476791,,1098,15810,39132,139260,46,0.0013626389991259202
64,0.056692126413760105,0.057483080904331185,,8,36,59,63,3,0.00022539398923981935
65,2.1895919886393607,2.2888694313601787,,220,917,1817,2066,8,0.000562683999305591
66,10.766657965410522,11.596550491854575,,574,2404,4417,5366,8,0.0005914530047448352
63,86.8560250320605,114.24008718283162,,4250,16315,13312,26713,24,0.001604119999683462
67,48.577788653007204,55.92802983591311,,105,1949,17203,25227,28,0.0008810159924905747
68,81.91602900929908,102.2424439575767,,180,3400,24897,43806,32,0.0005744710069848225
69,0.018528334253219394,0.018619402796080875,,2,10,22,24,3,0.00012887100456282496
70,0.043641018104224376,0.043641018104224494,,1,9,12,12,1,0.0001410020049661398
71,0.02319479814554892,0.023222535329442184,,4,13,27,28,2,0.00038125399441923946
72,1.7991635235958972,1.9043694656319698,,201,851,1709,1981,6,0.0008634059922769666
73,0.6118715256061203,0.6297374326680144,,68,315,678,745,5,0.0006763629935448989
75,0.2962824006682978,0.31385862909544315,,49,187,387,458,7,0.00022148300195112824
76,0,0,,0,0,0,0,0,0.00010468300024513155
78,0.006656825635417456,0.006656825635417363,,2,6,9,9,1,0.00013460501213558018
77,0,0,,1,0,0,0,0,0.00037307200545910746
81,0.10129585508976122,0.10243493345250365,,10,56,136,142,3,0.00018467800691723824
82,0,0,,0,0,0,0,0,0.0003380379930604249
83,82.68505382173088,101.13043271567174,,162,3059,23621,40197,29,0.000505869000335224
86,0.9454468676358319,0.9967183887902537,,114,543,1199,1370,7,0.000304749992210418
84,271.92727740932065,440.18159051313256,,993,14664,39651,135622,38,0.0008534160006092861
80,260.8508483789456,459.9660204829441,,4015,30599,24743,99824,47,0.0019609940063674003
74,154.57752887056992,232.3046272232332,,5815,27107,16539,45858,33,0.002304896988789551
88,0,0,,0,0,0,0,0,4.950599395669997e-05
89,0.11210392799220913,0.11223213801423804,,20,65,169,170,2,0.00010240099800284952
85,309.3865856680069,547.7317142504764,,1748,21614,36061,147662,36,0.0013132849999237806
79,124.32002973437356,172.70416273590152,,5647,23201,14731,34156,20,0.0023858939966885373
90,0,0,,0,0,0,0,0,4.773699038196355e-05
93,0.33837549055511523,0.34232727028417287,,52,190,414,451,7,0.00013220400433056056
87,236.6471802429862,402.09685223494057,,4564,30919,22426,82481,40,0.0014889300073264167
91,59.00640049490956,72.71209744174745,,3055,11921,11894,20686,14,0.0010468980035511777
95,0.0502033930495118,0.05060730262135793,,5,21,56,60,3,8.478800009470433e-05
94,81.88128140153616,106.30991242191128,,4198,15844,13127,25933,18,0.0015440930001204833
96,0.09695955473429956,0.09928176658547172,,17,56,135,147,3,0.00017551900236867368
92,227.38966769992444,377.9791337102571,,4747,30444,21666,76219,31,0.002012946002651006
98,134.83868718261823,174.66272116257934,,263,5102,31559,63373,31,0.0006572840065928176
100,0.1280479457015307,0.1361836328931002,,16,74,172,198,4,9.566098742652684e-05
97,67.47257096110856,85.76730267951581,,3720,13947,12237,22645,14,0.001085445997887291
99,48.15631404790463,57.46786340809292,,2519,9403,10642,17208,11,0.0007363890035776421
101,0.0854320477278761,0.09180385241747202,,12,59,104,121,4,0.00011750699195545167
103,47.13945471311393,56.7310897337476,,2371,9243,10771,17666,12,0.0007662399875698611
104,30.579883511966358,34.80260482996599,,1575,6133,8556,12237,17,0.0007700539863435552
105,36.826970931116634,41.91964784938644,,91,1536,14534,20614,25,0.0004398140008561313
106,0,0,,0,0,0,0,0,4.545300907921046e-05
107,0.615865346316752,0.6487516913114345,,61,287,655,730,6,0.0001813200069591403
108,55.12481755375532,64.90668641036265,,111,2125,18622,29466,28,0.00044066799455322325
102,282.02097562557265,504.4775904929742,,3281,29015,27754,115668,41,0.002694801994948648
109,18.69902077619909,20.984215122591035,,63,1072,10878,14771,27,0.0004238359979353845
111,0.11382405859373594,0.12181104720598457,,21,97,191,236,4,0.00011168299533892423
112,90.42740070518292,110.8600145623738,,184,3277,25272,43567,26,0.0004829130048165098
113,43.507542577449826,51.055617094650664,,90,1805,16164,24550,27,0.00044888599950354546
110,304.38104356574337,535.9471848965474,,1725,21102,36276,148665,44,0.00133083900436759
114,11.09103633447713,12.030991548595788,,552,2475,4526,5635,8,0.0005095870001241565
115,0.03468878061667613,0.03468878061667624,,6,18,49,49,1,0.0002277859894093126
116,102.29888790550545,128.8044165309742,,221,3818,27014,49605,30,0.0005102409922983497
117,50.04147818357632,59.549680081411,,2552,9743,11026,17722,12,0.0007372599939117208
120,61.25156436316646,72.59552209181548,,137,2291,20232,32049,25,0.0004783589974977076
121,101.43238693488242,126.14327556811575,,210,3747,27131,49070,30,0.0005221769970376045
122,0.0034458947408854217,0.0034458947408855245,,3,12,12,12,1,6.563399801962078e-05
119,299.1047645361196,516.1720138914933,,1410,19246,37818,150101,51,0.0011258199956500903
123,49.02982331150557,58.73538665267768,,2526,9830,11057,17961,13,0.0008572810038458556
126,0.029317578323225447,0.032368273314401064,,2,9,18,23,3,6.476999260485172e-05
124,289.1185299367679,489.68895046651784,,1226,17773,38598,144132,43,0.0010249579936498776
128,0.21020547931721353,0.2186293176760652,,19,97,252,278,5,0.00013317899720277637
127,47.23050183913084,56.19451733178072,,2461,9435,10702,17406,13,0.0008849660080159083
