id,graph,budget,agent,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,trial_id,seed
0,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mb20.json,0,15795
1,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo27.json,0,860
2,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mg12.json,0,76820
3,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma14.json,0,54886
4,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md15.json,0,6265
5,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm28.json,0,82386
6,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,me17.json,0,37194
7,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp7.json,0,87498
8,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp16.json,0,44131
9,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk28.json,0,60263
10,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn21.json,0,16023
11,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm13.json,0,41090
12,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mc15.json,0,67221
13,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mi25.json,0,64820
14,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk18.json,0,769
15,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mg24.json,0,59735
16,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf30.json,0,62955
17,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk27.json,0,64925
18,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh17.json,0,67969
19,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj21.json,0,5311
20,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md20.json,0,83104
21,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo32.json,0,53707
22,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp34.json,0,85305
23,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp14.json,0,28693
24,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mb28.json,0,71932
25,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh16.json,0,93016
26,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn25.json,0,25658
27,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh32.json,0,84478
28,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mb33.json,0,18431
29,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo20.json,0,2747
30,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk29.json,0,59150
31,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk23.json,0,65725
32,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mg19.json,0,84654
33,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk17.json,0,35773
34,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp22.json,0,67435
35,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma24.json,0,56886
36,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma10.json,0,66803
37,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm34.json,0,31551
38,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp30.json,0,11394
39,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj27.json,0,69092
40,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma12.json,0,3890
41,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md22.json,0,41606
42,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ml9.json,0,96276
43,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md23.json,0,80038
44,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp33.json,0,87313
45,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mb32.json,0,10627
46,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ml18.json,0,8792
47,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma22.json,0,73969
48,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mg34.json,0,43001
49,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn19.json,0,76552
50,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mi5.json,0,23897
51,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp5.json,0,68148
52,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh7.json,0,23483
53,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh9.json,0,48555
54,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf23.json,0,17159
55,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm18.json,0,80077
56,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp31.json,0,35920
57,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo35.json,0,92067
58,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp10.json,0,67121
59,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo29.json,0,69479
60,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo14.json,0,89475
61,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma7.json,0,19457
62,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk26.json,0,66557
63,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md18.json,0,77189
64,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo34.json,0,78953
65,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ml25.json,0,52995
66,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mc21.json,0,40757
67,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mb6.json,0,9692
68,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm7.json,0,45758
