G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville,1350,none,0.05,True,0.5,True,1,1,b5.json,DegGreedy_fair,0,70059,"[0, 10, 10, 22, 41, 116, 317, 991, 1875, 2892, 4613, 6870, 8784, 9789, 9567, 8143, 6119, 4105, 2613, 1476, 859, 473, 221, 97, 40, 10, 4, 2, 0]"
cville,1350,none,0.05,True,0.5,True,1,1,b5.json,DegGreedy_fair,4,69954,"[0, 10, 10, 22, 41, 116, 317, 911, 1731, 2631, 4183, 6200, 8605, 9920, 9470, 8334, 6395, 4581, 2802, 1773, 941, 510, 244, 112, 40, 25, 10, 9, 7, 4, 0]"
cville,1350,none,0.05,True,0.5,True,1,1,b5.json,DegGreedy_fair,6,70179,"[0, 10, 10, 22, 41, 116, 317, 930, 1812, 2813, 4437, 6359, 8471, 9448, 9498, 8335, 6542, 4502, 2872, 1652, 968, 511, 263, 118, 63, 34, 18, 12, 5, 0]"
cville,1350,none,0.05,True,0.5,True,1,1,b5.json,DegGreedy_fair,8,70087,"[0, 10, 10, 22, 41, 116, 317, 954, 1843, 2844, 4560, 6665, 8899, 10008, 9543, 8070, 6133, 4139, 2709, 1503, 872, 462, 216, 87, 45, 11, 5, 2, 1, 0]"
cville,1350,none,0.05,True,0.5,True,1,1,b5.json,DegGreedy_fair,2,70187,"[0, 10, 10, 22, 41, 116, 317, 917, 1797, 2769, 4483, 6592, 8850, 9769, 9658, 8187, 6201, 4262, 2701, 1615, 917, 493, 219, 120, 55, 28, 14, 6, 10, 0, 4, 3, 1, 0]"
cville,1350,none,0.05,True,0.5,True,1,1,b5.json,Random,8,73032,"[0, 10, 10, 22, 41, 116, 317, 980, 2103, 3517, 5438, 8135, 10104, 10384, 9497, 7633, 5526, 3654, 2239, 1377, 858, 501, 295, 148, 75, 28, 14, 6, 3, 0, 1, 0]"
cville,1350,none,0.05,True,0.5,True,1,1,b5.json,EC,0,73081,"[0, 10, 10, 22, 41, 116, 317, 924, 1969, 3358, 5069, 7572, 9367, 10356, 10094, 8238, 5998, 4002, 2430, 1428, 823, 464, 251, 140, 48, 25, 4, 3, 2, 0]"
cville,1350,none,0.05,True,0.5,True,1,1,b5.json,DegGreedy_fair,1,70029,"[0, 10, 10, 22, 41, 116, 317, 947, 1769, 2769, 4448, 6621, 9038, 10114, 9685, 8171, 6084, 4149, 2583, 1499, 804, 433, 217, 108, 50, 13, 7, 2, 2, 0]"
cville,1350,none,0.05,True,0.5,True,1,1,b5.json,Random,4,72754,"[0, 10, 10, 22, 41, 116, 317, 944, 2118, 3452, 5272, 8033, 9903, 10021, 9484, 7683, 5712, 3834, 2429, 1502, 823, 486, 269, 157, 63, 27, 14, 7, 3, 2, 0]"
cville,1350,none,0.05,True,0.5,True,1,1,b5.json,Random,0,73220,"[0, 10, 10, 22, 41, 116, 317, 963, 2161, 3518, 5320, 8187, 10120, 10417, 9670, 7862, 5581, 3568, 2256, 1373, 765, 448, 235, 124, 67, 30, 21, 12, 5, 0, 1, 0]"
cville,1350,none,0.05,True,0.5,True,1,1,b5.json,Random,2,73026,"[0, 10, 10, 22, 41, 116, 317, 911, 2071, 3413, 5148, 7944, 10111, 10366, 9707, 7835, 5720, 3847, 2437, 1378, 797, 425, 189, 117, 50, 26, 10, 5, 2, 0, 1, 0]"
