id,milp_obj,expected_obj,I_size,v1_size,v2_size,time
1,3.4071406713563377,3.5934254002231425,292,1211,2469,0.0031176530028460547
0,30.610541138197124,35.15231202822131,1773,6880,9080,0.017091350004193373
5,0.23206367330277833,0.24010302269853478,21,102,238,0.0010697349935071543
7,81.29560123698589,100.0933928525428,190,3494,25703,0.010097184000187553
9,0.4284780379316307,0.45933636313012927,67,281,627,0.0014609210047638044
2,267.2938672751397,481.4168867815403,3453,30249,26739,0.06370525299280416
10,16.496963546715037,18.21121649612555,984,3825,6262,0.00916125500225462
3,236.4284625950579,407.2376692269558,4453,30929,22865,0.08435109100537375
13,2.556380145146742,2.667791797438073,228,1020,2031,0.0026850110007217154
16,0.11800553663830761,0.12645365602310432,13,58,123,0.0004399739991640672
15,0.8686033735359692,0.90706892319009,100,461,955,0.0018040699942503124
17,0.8385742989403238,0.8585536908637117,105,487,1114,0.001895091001642868
6,143.8128752280201,210.55761908737287,5725,25448,16053,0.05390908700064756
4,195.61446525956697,317.1083984759266,5269,29650,19475,0.0633789900020929
8,134.62893992766672,193.88517427780135,5774,24681,15510,0.056133450008928776
19,27.322567183123663,31.1608855653578,1561,6189,8395,0.013671118998900056
11,266.18971508789195,477.4266190372957,3502,29801,26450,0.07989903599082027
21,0.10329346095713698,0.10335136207532614,17,70,146,0.0007264519954333082
22,0.01717410557455075,0.017174105574550902,1,3,6,0.0002773489977698773
20,38.26120574527317,44.396056393154595,2117,8166,10082,0.018242243997519836
12,130.9269786934021,187.0515631539931,5651,24167,15622,0.05644244699215051
24,0.15754503922816301,0.1587180424017638,20,74,161,0.0006113279960118234
14,125.72777887389962,178.98311060198102,5523,23251,15220,0.049709553000866435
27,0.012884031204456763,0.01290660075559158,2,17,26,0.000328405003529042
26,0.7558555279771544,0.7873238549394217,110,481,1072,0.0019788319914368913
28,0,0,0,0,0,0.0002349720016354695
18,131.33982769345351,186.74304054354374,5778,24395,15250,0.05500484300137032
30,0.3709689482165229,0.3904365439636467,40,183,430,0.0012703529937425628
31,16.803065712898086,18.33360542303428,962,3920,6352,0.009546932997182012
23,225.1100211218375,374.29568075493205,4657,30690,21793,0.06641150399809703
34,10.05172877525203,10.841752752956886,622,2667,4611,0.006293778991675936
32,31.984375739218034,36.91365648774565,1816,6854,9201,0.016519275988684967
35,2.529430676484898,2.6422699637920033,233,1056,2119,0.0026684979966375977
37,0.007111080563717284,0.007430001721298374,2,11,19,0.0003008929925272241
25,173.61653715986282,265.53685190154204,5792,28528,17844,0.06264521500270348
29,111.59036552823115,156.07076326174462,5491,22514,14430,0.048067973999422975
38,0.07918640988873385,0.0806093871095841,7,57,120,0.0010276239918312058
39,0.470337217267952,0.4872686810512413,76,289,648,0.001633317006053403
36,231.2585057795541,350.91170367560716,730,11651,39436,0.025251521001337096
41,12.408993830755577,13.595130503209722,755,3137,5385,0.008056078993831761
44,0.002716734889718659,0.002716734889718686,1,5,13,0.0003020490112248808
43,6.5971105116579025,7.058276795945911,461,1885,3523,0.005043757002567872
42,110.44676847717051,141.1679462216569,258,4809,30903,0.011131520994240418
33,160.55630338424007,245.40082178453358,5639,27783,17266,0.06392766200588085
45,0.0017850895905197751,0.001829837358391262,1,3,9,0.0008022469992283732
47,11.102723854014599,12.050790288859947,679,2847,5068,0.007284081002580933
40,303.90233594504537,543.5438301596813,2067,24118,33971,0.058061849005753174
48,0,0,0,0,0,0.000628557987511158
50,7.416053186873142,8.409385863235736,35,765,8566,0.0019840239983750507
49,45.5564454635522,54.016690037424596,2444,9263,10820,0.021347091998904943
51,13.175974475859343,14.784533758487102,44,932,9100,0.0023689750087214634
52,28.40896898446479,32.69761238070258,76,1587,14578,0.0041470279975328594
54,7.217861217806804,7.593022144151226,493,2077,3837,0.004962688995874487
53,129.94875127652668,168.96911922325486,316,5524,32867,0.012381164997350425
46,108.67019848875938,150.429990608835,5318,21421,14386,0.046215939000830986
56,0.04754264752935753,0.05006080872827945,4,25,52,0.0006028049974702299
57,0.005942050999537457,0.006199435436519574,3,14,20,0.0003188069968018681
55,68.63957230914866,87.15238503236304,3712,14431,12779,0.03326973601360805
59,0.5141682471334763,0.5332304624386298,85,353,677,0.0016139949875650927
62,1.9873510491659923,2.0902236190130394,210,930,1999,0.0024290449946420267
61,55.45800097903002,66.94171417568081,153,2672,21614,0.006133289993158542
64,0.056692126413760105,0.057483080904331185,8,36,59,0.00036689499393105507
58,254.58066530392136,402.61764053394467,908,13737,39662,0.02983427200524602
60,264.0877215743041,435.66893838875694,1098,15810,39132,0.03539193399774376
65,1.8897501902059233,1.9799640589143301,220,917,1817,0.0028060429904144257
66,9.644850776204219,10.308560337438415,574,2404,4417,0.006138880999060348
67,39.35698823689659,45.12256020957936,105,1949,17203,0.004481951997149736
63,84.95430569766029,111.320376331752,4250,16315,13312,0.0355748889996903
69,0.018528334253219394,0.018619402796080875,2,10,22,0.0008654060075059533
68,71.51808790622975,88.10122905991709,180,3400,24897,0.010100676998263225
71,0.02319479814554892,0.023222535329442184,4,13,27,0.0003178549959557131
70,0.043641018104224376,0.043641018104224494,1,9,12,0.0008650929958093911
72,1.67529387264446,1.764736153852623,201,851,1709,0.0025295259983977303
73,0.6118715256061203,0.6297374326680144,68,315,678,0.0009449260105611756
75,0.2962824006682978,0.31385862909544315,49,187,387,0.0006890410004416481
