G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,1,73215,"[0, 10, 10, 22, 41, 116, 317, 896, 2115, 3683, 5106, 7345, 9763, 10485, 9571, 7977, 5901, 3991, 2528, 1512, 875, 484, 259, 114, 66, 19, 4, 4, 0, 1, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,2,73778,"[0, 10, 10, 22, 41, 116, 317, 935, 2149, 3721, 5327, 7547, 9744, 10579, 9639, 7824, 5893, 4013, 2547, 1523, 870, 465, 248, 130, 60, 30, 11, 4, 2, 0, 1, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,5,73312,"[0, 10, 10, 22, 41, 116, 317, 937, 2172, 3754, 5264, 7571, 9966, 10439, 9629, 7848, 5787, 3734, 2418, 1457, 843, 490, 250, 137, 62, 26, 8, 2, 2, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,0,73193,"[0, 10, 10, 22, 41, 116, 317, 947, 2146, 3661, 4951, 7203, 9595, 10338, 9507, 7973, 5979, 4086, 2643, 1598, 953, 540, 284, 145, 74, 33, 12, 6, 3, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,9,73546,"[0, 10, 10, 22, 41, 116, 317, 947, 2186, 3694, 5137, 7463, 9902, 10731, 9852, 7857, 5690, 3812, 2465, 1448, 846, 504, 254, 138, 71, 24, 5, 2, 2, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,3,73256,"[0, 10, 10, 22, 41, 116, 317, 914, 2173, 3752, 5216, 7628, 10120, 10731, 9596, 7732, 5522, 3740, 2358, 1418, 869, 500, 241, 143, 58, 21, 7, 1, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,7,73393,"[0, 10, 10, 22, 41, 116, 317, 972, 2213, 3584, 4917, 7268, 10034, 10786, 9836, 7940, 5658, 3883, 2458, 1506, 856, 447, 264, 132, 70, 27, 12, 4, 4, 4, 2, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,5,73011,"[0, 10, 10, 22, 41, 116, 317, 979, 2158, 3532, 4983, 7382, 9783, 10653, 9574, 7986, 5818, 3917, 2492, 1477, 811, 485, 232, 147, 50, 22, 7, 4, 3, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,6,73764,"[0, 10, 10, 22, 41, 116, 317, 890, 2097, 3624, 5034, 7352, 10060, 10859, 9839, 7979, 5721, 3902, 2477, 1479, 914, 507, 263, 145, 71, 20, 11, 4, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,7,73475,"[0, 10, 10, 22, 41, 116, 317, 973, 2163, 3641, 5139, 7319, 9827, 10722, 9775, 8024, 5664, 3896, 2434, 1518, 878, 499, 254, 116, 78, 26, 11, 2, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,4,73202,"[0, 10, 10, 22, 41, 116, 317, 962, 2210, 3673, 5107, 7282, 9906, 10532, 9540, 7718, 5656, 3922, 2526, 1618, 922, 519, 313, 158, 77, 26, 11, 6, 2, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,8,73484,"[0, 10, 10, 22, 41, 116, 317, 973, 2202, 3702, 5122, 7310, 9815, 11027, 10007, 7834, 5640, 3741, 2424, 1432, 847, 436, 232, 134, 60, 20, 6, 4, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,8,73183,"[0, 10, 10, 22, 41, 116, 317, 893, 2035, 3508, 4776, 6976, 9650, 10867, 10143, 8200, 5842, 3995, 2473, 1559, 832, 465, 228, 147, 53, 20, 3, 2, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_V2_noisy,4,73394,"[0, 10, 10, 22, 41, 116, 317, 940, 2152, 3664, 4990, 7185, 9667, 10701, 9984, 8134, 5867, 3856, 2491, 1374, 854, 483, 290, 125, 70, 34, 9, 6, 2, 0]"
