G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville,279,none,0.05,True,0.360525611499164,True,1,albe.json,Degree_I_noisy,0,74638,"[0, 10, 10, 22, 41, 116, 317, 931, 2321, 3927, 5731, 8642, 10291, 10477, 9698, 7731, 5407, 3674, 2212, 1328, 787, 435, 243, 131, 78, 45, 21, 9, 3, 0]"
cville,279,none,0.05,True,0.360525611499164,True,1,albe.json,Degree_I_noisy,9,75027,"[0, 10, 10, 22, 41, 116, 317, 950, 2339, 3971, 5816, 8963, 11036, 10832, 9655, 7474, 5273, 3439, 2076, 1219, 659, 360, 205, 122, 58, 32, 23, 6, 3, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,albe.json,Degree_I_noisy,6,75475,"[0, 10, 10, 22, 41, 116, 317, 952, 2397, 4148, 6168, 9095, 10620, 10963, 9725, 7499, 5146, 3339, 2062, 1195, 732, 394, 230, 135, 76, 48, 19, 12, 4, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,albe.json,Degree_I_noisy,8,75136,"[0, 10, 10, 22, 41, 116, 317, 907, 2389, 4091, 5910, 8959, 10814, 10992, 9721, 7492, 5381, 3309, 2018, 1138, 660, 365, 218, 122, 63, 31, 20, 10, 5, 3, 2, 0]"
cville,205,none,0.05,True,0.360525611499164,True,1,albe.json,Degree_I_noisy,4,75034,"[0, 10, 10, 22, 41, 116, 317, 995, 2427, 4181, 6001, 9000, 10835, 10841, 9688, 7549, 5050, 3218, 2027, 1192, 664, 364, 209, 125, 74, 29, 25, 12, 8, 4, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,albe.json,Degree_I_noisy,0,74999,"[0, 10, 10, 22, 41, 116, 317, 926, 2297, 4011, 5749, 8594, 10808, 11048, 9696, 7611, 5244, 3469, 2122, 1252, 753, 375, 228, 120, 85, 46, 26, 11, 5, 4, 2, 1, 0]"
cville,353,none,0.05,True,0.360525611499164,True,1,albe.json,Degree_I_noisy,7,74827,"[0, 10, 10, 22, 41, 116, 317, 917, 2278, 4128, 6075, 9013, 10713, 10712, 9394, 7515, 5080, 3422, 2102, 1269, 739, 441, 245, 125, 84, 32, 19, 6, 2, 0]"
cville,205,none,0.05,True,0.360525611499164,True,1,albe.json,Degree_I_noisy,0,75018,"[0, 10, 10, 22, 41, 116, 317, 927, 2416, 4226, 6058, 8977, 10889, 10857, 9441, 7265, 5072, 3370, 2092, 1233, 760, 424, 216, 135, 66, 46, 18, 10, 2, 2, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,albe.json,Degree_I_noisy,5,75147,"[0, 10, 10, 22, 41, 116, 317, 966, 2406, 4140, 5813, 8918, 10831, 11058, 9717, 7628, 5113, 3239, 2071, 1194, 686, 395, 199, 127, 57, 37, 17, 10, 4, 4, 1, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,albe.json,Degree_I_noisy,3,75108,"[0, 10, 10, 22, 41, 116, 317, 1007, 2517, 4424, 6390, 9327, 10882, 10708, 9397, 7106, 4996, 3145, 1959, 1178, 712, 394, 200, 125, 56, 35, 18, 11, 2, 3, 0]"
