G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville_extra,720,none,0.05,True,-1,True,1,albe_star.json,List_Length,0,89478,"[0, 10, 13, 32, 84, 207, 570, 1665, 4088, 8403, 13670, 17392, 16183, 11859, 7428, 3985, 2082, 981, 472, 234, 89, 25, 5, 1, 0]"
cville_extra,720,none,0.05,True,-1,True,1,albe_star.json,List_Length,5,89059,"[0, 10, 13, 32, 84, 207, 570, 1725, 4287, 8528, 13947, 17327, 15721, 11717, 7131, 3937, 2039, 927, 487, 203, 99, 46, 18, 2, 1, 1, 0]"
cville_extra,720,none,0.05,True,-1,True,1,albe_star.json,List_Length,6,89220,"[0, 10, 13, 32, 84, 207, 570, 1642, 4041, 8176, 13673, 17163, 16012, 11858, 7517, 4174, 2112, 1069, 482, 224, 97, 38, 18, 6, 2, 0]"
cville_extra,720,none,0.05,True,-1,True,1,albe_star.json,List_Length,3,89489,"[0, 10, 13, 32, 84, 207, 570, 1654, 4133, 8423, 13942, 17350, 15991, 11813, 7403, 3927, 2100, 1023, 491, 209, 75, 32, 6, 1, 0]"
cville_extra,720,none,0.05,True,-1,True,1,albe_star.json,List_Length,1,89288,"[0, 10, 13, 32, 84, 207, 570, 1695, 4171, 8508, 13796, 17531, 15816, 11482, 7326, 4041, 2096, 1017, 503, 241, 100, 34, 11, 3, 1, 0]"
cville_extra,720,none,0.05,True,-1,True,1,albe_star.json,List_Length,2,88839,"[0, 10, 13, 32, 84, 207, 570, 1660, 4147, 8357, 13679, 17221, 15774, 11807, 7250, 4082, 2060, 1013, 508, 221, 96, 33, 11, 2, 2, 0]"
cville_extra,720,none,0.05,True,-1,True,1,albe_star.json,List_Length,9,89088,"[0, 10, 13, 32, 84, 207, 570, 1657, 4165, 8366, 13828, 17224, 15820, 11884, 7333, 4067, 2045, 989, 490, 188, 78, 29, 9, 0]"
cville_extra,720,none,0.05,True,-1,True,1,albe_star.json,List_Length,7,89413,"[0, 10, 13, 32, 84, 207, 570, 1608, 4127, 8335, 13618, 17191, 15936, 11953, 7501, 4135, 2110, 1099, 479, 247, 107, 33, 17, 1, 0]"
cville_extra,720,none,0.05,True,-1,True,1,albe_star.json,List_Length,4,89423,"[0, 10, 13, 32, 84, 207, 570, 1644, 4054, 8261, 13659, 17413, 16002, 11864, 7425, 4166, 2128, 1035, 503, 210, 88, 42, 8, 4, 0, 1, 0]"
cville_extra,740,none,0.05,True,-1,True,1,albe_star.json,List_Length,0,89441,"[0, 10, 13, 32, 84, 207, 570, 1676, 4225, 8469, 13785, 17503, 15911, 11675, 7205, 4062, 2101, 1011, 523, 222, 97, 41, 17, 1, 1, 0]"
cville_extra,740,none,0.05,True,-1,True,1,albe_star.json,List_Length,2,89136,"[0, 10, 13, 32, 84, 207, 570, 1679, 4229, 8542, 13929, 17178, 15763, 11479, 7223, 4001, 2168, 1066, 554, 240, 112, 41, 13, 0, 3, 0]"
cville_extra,740,none,0.05,True,-1,True,1,albe_star.json,List_Length,1,89257,"[0, 10, 13, 32, 84, 207, 570, 1703, 4205, 8275, 13690, 17348, 16019, 11689, 7366, 4041, 2084, 1023, 519, 218, 112, 37, 9, 2, 1, 0]"
cville_extra,740,none,0.05,True,-1,True,1,albe_star.json,List_Length,5,88974,"[0, 10, 13, 32, 84, 207, 570, 1700, 4209, 8394, 13672, 17164, 15809, 11650, 7246, 4075, 2127, 1045, 517, 268, 114, 49, 14, 5, 0]"
cville_extra,740,none,0.05,True,-1,True,1,albe_star.json,List_Length,3,89015,"[0, 10, 13, 32, 84, 207, 570, 1685, 4205, 8562, 13701, 17156, 15828, 11747, 7265, 4038, 2049, 1005, 482, 219, 99, 46, 10, 2, 0]"
cville_extra,740,none,0.05,True,-1,True,1,albe_star.json,List_Length,6,89060,"[0, 10, 13, 32, 84, 207, 570, 1583, 4049, 8215, 13309, 17178, 16072, 11990, 7437, 4153, 2138, 1079, 530, 251, 104, 41, 11, 3, 1, 0]"
cville_extra,720,none,0.05,True,-1,True,1,albe_star.json,List_Length,8,89293,"[0, 10, 13, 32, 84, 207, 570, 1668, 4193, 8550, 14051, 17459, 16085, 11571, 7186, 3863, 2020, 952, 445, 200, 87, 39, 6, 2, 0]"
cville_extra,740,none,0.05,True,-1,True,1,albe_star.json,List_Length,7,89039,"[0, 10, 13, 32, 84, 207, 570, 1681, 4189, 8737, 13952, 17051, 15722, 11449, 7245, 4004, 2096, 1033, 528, 250, 105, 61, 13, 6, 1, 0]"
cville_extra,740,none,0.05,True,-1,True,1,albe_star.json,List_Length,4,89326,"[0, 10, 13, 32, 84, 207, 570, 1630, 4091, 8364, 13921, 17375, 15890, 11647, 7212, 4156, 2121, 1063, 509, 244, 120, 50, 11, 5, 1, 0]"
cville_extra,740,none,0.05,True,-1,True,1,albe_star.json,List_Length,8,88732,"[0, 10, 13, 32, 84, 207, 570, 1591, 4017, 8277, 13510, 17121, 15847, 11854, 7363, 4177, 2099, 1079, 501, 238, 90, 42, 8, 2, 0]"
cville_extra,760,none,0.05,True,-1,True,1,albe_star.json,List_Length,0,89419,"[0, 10, 13, 32, 84, 207, 570, 1624, 4240, 8440, 13743, 17153, 15875, 11817, 7328, 4069, 2208, 1103, 534, 235, 91, 36, 7, 0]"
cville_extra,740,none,0.05,True,-1,True,1,albe_star.json,List_Length,9,89451,"[0, 10, 13, 32, 84, 207, 570, 1608, 3996, 8209, 13562, 17311, 16277, 11942, 7348, 4205, 2120, 1073, 485, 230, 106, 44, 15, 1, 3, 0]"
cville_extra,760,none,0.05,True,-1,True,1,albe_star.json,List_Length,3,89141,"[0, 10, 13, 32, 84, 207, 570, 1680, 4120, 8441, 13795, 17089, 16039, 11668, 7197, 4123, 2116, 1019, 544, 223, 123, 33, 10, 3, 2, 0]"
cville_extra,760,none,0.05,True,-1,True,1,albe_star.json,List_Length,5,89684,"[0, 10, 13, 32, 84, 207, 570, 1646, 4113, 8361, 13780, 17370, 16227, 11807, 7318, 3990, 2141, 1102, 507, 241, 115, 35, 14, 1, 0]"
cville_extra,760,none,0.05,True,-1,True,1,albe_star.json,List_Length,2,89190,"[0, 10, 13, 32, 84, 207, 570, 1622, 4140, 8422, 13849, 17197, 15952, 11714, 7451, 4029, 2086, 1027, 474, 199, 76, 27, 6, 2, 0, 1, 0]"
cville_extra,760,none,0.05,True,-1,True,1,albe_star.json,List_Length,1,89355,"[0, 10, 13, 32, 84, 207, 570, 1732, 4165, 8389, 13646, 17207, 15697, 11813, 7339, 4161, 2229, 1099, 508, 251, 130, 52, 16, 4, 1, 0]"
cville_extra,760,none,0.05,True,-1,True,1,albe_star.json,List_Length,4,89035,"[0, 10, 13, 32, 84, 207, 570, 1713, 4248, 8640, 13837, 17103, 15657, 11530, 7257, 4035, 2091, 1071, 511, 246, 112, 49, 12, 6, 1, 0]"
cville_extra,760,none,0.05,True,-1,True,1,albe_star.json,List_Length,6,88988,"[0, 10, 13, 32, 84, 207, 570, 1632, 4206, 8697, 14214, 17420, 15823, 11321, 7071, 3816, 2001, 1044, 483, 192, 104, 36, 8, 3, 1, 0]"
