id,graph,budget,agent,agent_params,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,trial_id,seed
0,montgomery,750,binary_segmented_greedy,{'k1': 0.0},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,15795
1,montgomery,750,binary_segmented_greedy,{'k1': 0.0},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,860
2,montgomery,750,binary_segmented_greedy,{'k1': 0.0},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,76820
3,montgomery,750,binary_segmented_greedy,{'k1': 0.0},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,54886
4,montgomery,750,binary_segmented_greedy,{'k1': 0.0},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,6265
5,montgomery,750,binary_segmented_greedy,{'k1': 0.01},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,82386
6,montgomery,750,binary_segmented_greedy,{'k1': 0.01},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,37194
7,montgomery,750,binary_segmented_greedy,{'k1': 0.01},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,87498
8,montgomery,750,binary_segmented_greedy,{'k1': 0.01},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,44131
9,montgomery,750,binary_segmented_greedy,{'k1': 0.01},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,60263
10,montgomery,750,binary_segmented_greedy,{'k1': 0.02},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,16023
11,montgomery,750,binary_segmented_greedy,{'k1': 0.02},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,41090
12,montgomery,750,binary_segmented_greedy,{'k1': 0.02},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,67221
13,montgomery,750,binary_segmented_greedy,{'k1': 0.02},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,64820
14,montgomery,750,binary_segmented_greedy,{'k1': 0.02},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,769
15,montgomery,750,binary_segmented_greedy,{'k1': 0.03},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,59735
16,montgomery,750,binary_segmented_greedy,{'k1': 0.03},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,62955
