id,peak,total
11,4371,37144
6,4582,37942
2,5004,38829
10,4497,37558
15,4470,37530
8,4614,38031
0,5020,38982
3,5128,39008
7,4760,38117
1,4943,38801
16,4037,36661
5,4795,38411
13,4643,37778
9,4821,38420
12,4524,37645
4,5022,38702
17,4204,37179
22,4078,37081
21,4225,37136
26,4332,37040
18,4259,37253
29,4085,37057
24,4269,37390
19,4195,37025
25,4243,37305
28,4069,37053
14,4473,37659
27,4006,36907
20,4094,37256
23,4247,37076
31,4156,37371
48,4323,37669
30,4065,37161
32,4132,36926
38,4230,37032
53,4212,37623
33,4248,36994
35,4066,37358
36,4360,37186
37,4367,37489
45,4384,37480
52,4214,37347
41,4146,37099
40,4284,37553
34,4142,36735
49,4272,37484
47,4188,37592
46,4229,37212
51,4345,37493
42,4254,37285
39,4192,37118
43,4193,37010
54,3959,36945
44,4200,37191
56,4255,37679
50,4355,37967
57,4412,37723
55,4211,37225
58,4316,37540
59,4048,37026
61,4410,37726
65,4324,37655
60,4334,37722
68,4307,37408
62,4321,37244
64,4373,37555
76,4344,37575
78,4480,37786
75,4308,37351
63,4308,37566
77,4363,37479
69,4245,37745
67,4189,37730
73,4384,37304
83,4268,37533
70,4287,37282
66,4434,37618
87,4519,37903
86,4376,37729
84,4426,37453
72,4326,37292
71,4329,37129
74,4197,37397
82,4428,37833
79,4492,38008
80,4444,37483
81,4377,37532
85,4440,37903
89,4366,37560
88,4300,37671
90,4503,37899
91,4537,37940
93,4379,37821
98,4572,37846
100,4538,37691
94,4536,37928
92,4397,37634
105,4396,37236
97,4450,37651
101,4558,37532
95,4470,37504
96,4454,37854
103,4549,38013
107,4634,37751
99,4532,37654
102,4424,37586
108,4230,37594
109,4234,37614
104,4386,37503
113,4347,37784
106,4342,37726
110,4465,37800
112,4565,37950
111,4458,37889
122,4555,37704
114,4433,37918
121,4531,37864
117,4426,37723
116,4493,37761
115,4570,37926
126,4649,37781
118,4588,37985
127,4530,37428
125,4557,37816
119,4406,37637
120,4565,37604
123,4617,37876
131,4513,37786
129,4657,38040
124,4586,37658
132,4576,37870
128,4617,37933
130,4423,37777
133,4659,37863
135,4671,38089
134,4588,38138
