G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,k_1,k_2,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.01,0.7,4,40854,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 457, 763, 1247, 1976, 2941, 3989, 5077, 5546, 5238, 4439, 3170, 2154, 1349, 849, 495, 257, 157, 64, 43, 23, 5, 4, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.01,0.7,9,40463,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 448, 731, 1163, 1783, 2714, 3844, 4943, 5534, 5281, 4440, 3369, 2266, 1444, 850, 504, 275, 148, 74, 27, 13, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.01,0.7,5,40706,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 479, 774, 1232, 1913, 2822, 4010, 4936, 5552, 5365, 4466, 3249, 2115, 1334, 854, 457, 268, 143, 79, 29, 14, 2, 2, 0, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.01,0.7,3,40521,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 459, 682, 1147, 1814, 2725, 3855, 4884, 5508, 5474, 4579, 3386, 2137, 1416, 767, 474, 275, 145, 92, 52, 25, 11, 3, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.01,0.7,2,40471,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 487, 710, 1246, 1811, 2885, 3924, 4933, 5493, 5195, 4460, 3268, 2177, 1353, 820, 495, 269, 157, 79, 61, 27, 8, 2, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.01,0.7,0,40509,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 469, 786, 1283, 1991, 3062, 4181, 5289, 5602, 5110, 4101, 3084, 1999, 1228, 756, 424, 254, 151, 71, 36, 21, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.01,0.7,6,40908,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 510, 826, 1382, 2099, 3120, 4316, 5251, 5794, 5264, 4263, 2934, 1894, 1157, 697, 359, 212, 107, 65, 28, 10, 7, 2, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.01,0.7,1,40175,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 724, 1180, 1796, 2740, 3853, 4819, 5543, 5185, 4347, 3137, 2260, 1444, 878, 513, 292, 160, 105, 44, 35, 17, 5, 1, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.01,0.7,7,40714,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 490, 758, 1169, 1892, 2947, 4081, 5252, 5604, 5295, 4379, 3102, 2109, 1297, 796, 410, 259, 133, 62, 42, 20, 7, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.01,0.7,8,40571,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 494, 757, 1227, 1895, 2903, 3943, 4876, 5301, 5202, 4392, 3319, 2311, 1419, 864, 498, 252, 171, 68, 43, 14, 11, 0, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.02,0.7,0,40712,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 469, 725, 1205, 1907, 2767, 3959, 5077, 5678, 5294, 4473, 3274, 2140, 1337, 769, 488, 276, 136, 74, 40, 9, 5, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.02,0.7,2,40512,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 477, 794, 1301, 2032, 3088, 4247, 5290, 5520, 5142, 4230, 3013, 1970, 1241, 708, 390, 212, 138, 53, 41, 13, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.02,0.7,1,40350,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 491, 760, 1207, 1911, 2936, 4005, 5119, 5502, 5241, 4286, 3086, 2028, 1263, 787, 473, 288, 175, 100, 52, 22, 6, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.02,0.7,4,40272,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 474, 713, 1202, 1846, 2816, 3942, 4989, 5471, 5319, 4416, 3214, 2075, 1342, 791, 477, 285, 147, 64, 48, 15, 13, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.02,0.7,6,40477,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 465, 688, 1150, 1901, 2788, 3872, 4931, 5415, 5324, 4523, 3371, 2250, 1351, 770, 483, 292, 148, 88, 38, 15, 4, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.02,0.7,3,40466,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 453, 777, 1224, 1948, 2926, 3995, 4837, 5436, 5231, 4337, 3213, 2194, 1382, 848, 492, 278, 145, 83, 36, 15, 5, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.02,0.7,5,40657,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 450, 733, 1169, 1824, 2737, 3752, 4702, 5267, 5312, 4573, 3503, 2394, 1525, 897, 515, 323, 180, 105, 43, 28, 10, 2, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.02,0.7,8,40567,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 496, 759, 1265, 1960, 3001, 4029, 5142, 5663, 5141, 4224, 3107, 2096, 1317, 739, 441, 255, 165, 87, 46, 20, 3, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.02,0.7,7,40678,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 469, 767, 1269, 2018, 3120, 4293, 5429, 5682, 5230, 4165, 2959, 1908, 1123, 731, 427, 223, 128, 69, 37, 14, 3, 3, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.02,0.7,9,40515,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 471, 704, 1115, 1692, 2575, 3586, 4681, 5303, 5437, 4694, 3497, 2408, 1547, 874, 544, 358, 196, 114, 62, 23, 17, 5, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.03,0.7,5,40547,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 772, 1186, 1997, 2953, 4206, 5150, 5552, 5224, 4243, 2994, 2091, 1337, 770, 468, 264, 142, 67, 28, 11, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.03,0.7,3,40413,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 472, 790, 1210, 1912, 2910, 4017, 5025, 5546, 5204, 4333, 3128, 2118, 1293, 796, 484, 280, 167, 69, 39, 10, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.03,0.7,8,40637,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 456, 802, 1258, 2003, 2953, 4177, 5077, 5623, 5280, 4198, 3119, 2054, 1308, 758, 443, 249, 148, 81, 30, 5, 5, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.03,0.7,7,40629,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 469, 745, 1169, 1951, 2874, 4027, 5250, 5720, 5301, 4335, 3055, 2113, 1260, 780, 456, 258, 139, 76, 31, 9, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.03,0.7,4,40597,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 494, 780, 1253, 2039, 3055, 4079, 5068, 5460, 5005, 4206, 3232, 2133, 1317, 798, 459, 263, 167, 95, 57, 21, 6, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,0.7,9,40299,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 507, 799, 1261, 1988, 2929, 3927, 5029, 5494, 5222, 4301, 3077, 2081, 1295, 780, 455, 240, 157, 77, 46, 21, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.03,0.7,2,40657,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 495, 799, 1275, 2000, 2957, 4113, 4918, 5550, 5246, 4286, 3121, 2086, 1341, 793, 508, 247, 160, 77, 42, 25, 7, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.03,0.7,6,40363,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 474, 719, 1125, 1848, 2817, 3963, 4923, 5498, 5288, 4385, 3236, 2122, 1369, 871, 525, 287, 162, 90, 36, 8, 5, 1, 1, 0]"
