G,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,target,trial_id,equivalent_budget
montgomery,none,0.05,True,0.61,True,1,c7.json,DegGreedy_fair,35135,0,870
montgomery,none,0.05,True,0.57,True,1,c7.json,DegGreedy_fair,35135,0,931
montgomery,none,0.05,True,0.62,True,1,c7.json,DegGreedy_fair,35135,0,848
montgomery,none,0.05,True,0.6,True,1,c7.json,DegGreedy_fair,35135,0,888
montgomery,none,0.05,True,0.59,True,1,c7.json,DegGreedy_fair,35135,0,890
montgomery,none,0.05,True,0.52,True,1,c7.json,DegGreedy_fair,35135,0,997
montgomery,none,0.05,True,0.55,True,1,c7.json,DegGreedy_fair,35135,0,951
montgomery,none,0.05,True,0.54,True,1,c7.json,DegGreedy_fair,35135,0,976
montgomery,none,0.05,True,0.5,True,1,c7.json,DegGreedy_fair,35135,0,1045
montgomery,none,0.05,True,0.53,True,1,c7.json,DegGreedy_fair,35135,0,988
montgomery,none,0.05,True,0.58,True,1,c7.json,DegGreedy_fair,35135,0,901
montgomery,none,0.05,True,0.56,True,1,c7.json,DegGreedy_fair,35135,0,940
montgomery,none,0.05,True,0.51,True,1,c7.json,DegGreedy_fair,35135,0,1025
montgomery,none,0.05,True,0.63,True,1,c7.json,DegGreedy_fair,35135,0,822
montgomery,none,0.05,True,0.64,True,1,c7.json,DegGreedy_fair,35135,0,822
montgomery,none,0.05,True,0.65,True,1,c7.json,DegGreedy_fair,35135,0,803
montgomery,none,0.05,True,0.66,True,1,c7.json,DegGreedy_fair,35135,0,789
montgomery,none,0.05,True,0.67,True,1,c7.json,DegGreedy_fair,35135,0,776
montgomery,none,0.05,True,0.68,True,1,c7.json,DegGreedy_fair,35135,0,764
montgomery,none,0.05,True,0.69,True,1,c7.json,DegGreedy_fair,35135,0,763
montgomery,none,0.05,True,0.58,True,1,c7.json,DepRound_fair,35135,0,961
montgomery,none,0.05,True,0.59,True,1,c7.json,DepRound_fair,35135,0,961
montgomery,none,0.05,True,0.56,True,1,c7.json,DepRound_fair,35135,0,1007
montgomery,none,0.05,True,0.51,True,1,c7.json,DepRound_fair,35135,0,1114
montgomery,none,0.05,True,0.63,True,1,c7.json,DepRound_fair,35135,0,877
montgomery,none,0.05,True,0.62,True,1,c7.json,DepRound_fair,35135,0,888
montgomery,none,0.05,True,0.61,True,1,c7.json,DepRound_fair,35135,0,915
montgomery,none,0.05,True,0.6,True,1,c7.json,DepRound_fair,35135,0,932
montgomery,none,0.05,True,0.54,True,1,c7.json,DepRound_fair,35135,0,1035
montgomery,none,0.05,True,0.57,True,1,c7.json,DepRound_fair,35135,0,980
montgomery,none,0.05,True,0.55,True,1,c7.json,DepRound_fair,35135,0,1018
montgomery,none,0.05,True,0.53,True,1,c7.json,DepRound_fair,35135,0,1054
montgomery,none,0.05,True,0.52,True,1,c7.json,DepRound_fair,35135,0,1073
montgomery,none,0.05,True,0.5,True,1,c7.json,DepRound_fair,35135,0,1108
montgomery,none,0.05,True,0.7,True,1,c7.json,DegGreedy_fair,35135,0,742
montgomery,none,0.05,True,0.71,True,1,c7.json,DegGreedy_fair,35135,0,734
montgomery,none,0.05,True,0.64,True,1,c7.json,DepRound_fair,35135,0,852
montgomery,none,0.05,True,0.72,True,1,c7.json,DegGreedy_fair,35135,0,715
montgomery,none,0.05,True,0.67,True,1,c7.json,DepRound_fair,35135,0,820
montgomery,none,0.05,True,0.65,True,1,c7.json,DepRound_fair,35135,0,852
montgomery,none,0.05,True,0.74,True,1,c7.json,DegGreedy_fair,35135,0,702
montgomery,none,0.05,True,0.66,True,1,c7.json,DepRound_fair,35135,0,833
montgomery,none,0.05,True,0.73,True,1,c7.json,DegGreedy_fair,35135,0,707
montgomery,none,0.05,True,0.75,True,1,c7.json,DegGreedy_fair,35135,0,687
montgomery,none,0.05,True,0.68,True,1,c7.json,DepRound_fair,35135,0,810
montgomery,none,0.05,True,0.76,True,1,c7.json,DegGreedy_fair,35135,0,677
montgomery,none,0.05,True,0.77,True,1,c7.json,DegGreedy_fair,35135,0,661
montgomery,none,0.05,True,0.69,True,1,c7.json,DepRound_fair,35135,0,797
montgomery,none,0.05,True,0.78,True,1,c7.json,DegGreedy_fair,35135,0,652
montgomery,none,0.05,True,0.7,True,1,c7.json,DepRound_fair,35135,0,783
montgomery,none,0.05,True,0.73,True,1,c7.json,DepRound_fair,35135,0,748
montgomery,none,0.05,True,0.71,True,1,c7.json,DepRound_fair,35135,0,779
montgomery,none,0.05,True,0.79,True,1,c7.json,DegGreedy_fair,35135,0,648
montgomery,none,0.05,True,0.62,True,1,c7.json,segmented_greedy,35135,0,1436
montgomery,none,0.05,True,0.61,True,1,c7.json,segmented_greedy,35135,0,1471
montgomery,none,0.05,True,0.6,True,1,c7.json,segmented_greedy,35135,0,1492
montgomery,none,0.05,True,0.72,True,1,c7.json,DepRound_fair,35135,0,753
montgomery,none,0.05,True,0.59,True,1,c7.json,segmented_greedy,35135,0,1526
montgomery,none,0.05,True,0.58,True,1,c7.json,segmented_greedy,35135,0,1543
montgomery,none,0.05,True,0.74,True,1,c7.json,DepRound_fair,35135,0,732
montgomery,none,0.05,True,0.57,True,1,c7.json,segmented_greedy,35135,0,1575
montgomery,none,0.05,True,0.56,True,1,c7.json,segmented_greedy,35135,0,1610
montgomery,none,0.05,True,0.55,True,1,c7.json,segmented_greedy,35135,0,1629
montgomery,none,0.05,True,0.66,True,1,c7.json,segmented_greedy,35135,0,1341
montgomery,none,0.05,True,0.63,True,1,c7.json,segmented_greedy,35135,0,1396
montgomery,none,0.05,True,0.64,True,1,c7.json,segmented_greedy,35135,0,1373
montgomery,none,0.05,True,0.65,True,1,c7.json,segmented_greedy,35135,0,1360
montgomery,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,35135,0,637
montgomery,none,0.05,True,0.81,True,1,c7.json,DegGreedy_fair,35135,0,626
montgomery,none,0.05,True,0.75,True,1,c7.json,DepRound_fair,35135,0,720
montgomery,none,0.05,True,0.54,True,1,c7.json,segmented_greedy,35135,0,1671
montgomery,none,0.05,True,0.53,True,1,c7.json,segmented_greedy,35135,0,1713
montgomery,none,0.05,True,0.67,True,1,c7.json,segmented_greedy,35135,0,1326
montgomery,none,0.05,True,0.82,True,1,c7.json,DegGreedy_fair,35135,0,612
montgomery,none,0.05,True,0.52,True,1,c7.json,segmented_greedy,35135,0,1749
montgomery,none,0.05,True,0.76,True,1,c7.json,DepRound_fair,35135,0,709
montgomery,none,0.05,True,0.83,True,1,c7.json,DegGreedy_fair,35135,0,606
montgomery,none,0.05,True,0.77,True,1,c7.json,DepRound_fair,35135,0,700
montgomery,none,0.05,True,0.51,True,1,c7.json,segmented_greedy,35135,0,1787
montgomery,none,0.05,True,0.5,True,1,c7.json,segmented_greedy,35135,0,1837
montgomery,none,0.05,True,0.68,True,1,c7.json,segmented_greedy,35135,0,1286
montgomery,none,0.05,True,0.84,True,1,c7.json,DegGreedy_fair,35135,0,602
montgomery,none,0.05,True,0.78,True,1,c7.json,DepRound_fair,35135,0,687
montgomery,none,0.05,True,0.85,True,1,c7.json,DegGreedy_fair,35135,0,589
montgomery,none,0.05,True,0.86,True,1,c7.json,DegGreedy_fair,35135,0,581
montgomery,none,0.05,True,0.87,True,1,c7.json,DegGreedy_fair,35135,0,580
montgomery,none,0.05,True,0.88,True,1,c7.json,DegGreedy_fair,35135,0,566
montgomery,none,0.05,True,0.79,True,1,c7.json,DepRound_fair,35135,0,669
montgomery,none,0.05,True,0.89,True,1,c7.json,DegGreedy_fair,35135,0,557
montgomery,none,0.05,True,0.9,True,1,c7.json,DegGreedy_fair,35135,0,545
montgomery,none,0.05,True,0.91,True,1,c7.json,DegGreedy_fair,35135,0,532
montgomery,none,0.05,True,0.73,True,1,c7.json,segmented_greedy,35135,0,1205
montgomery,none,0.05,True,0.71,True,1,c7.json,segmented_greedy,35135,0,1235
montgomery,none,0.05,True,0.92,True,1,c7.json,DegGreedy_fair,35135,0,537
montgomery,none,0.05,True,0.76,True,1,c7.json,segmented_greedy,35135,0,1142
montgomery,none,0.05,True,0.75,True,1,c7.json,segmented_greedy,35135,0,1161
montgomery,none,0.05,True,0.7,True,1,c7.json,segmented_greedy,35135,0,1246
montgomery,none,0.05,True,0.69,True,1,c7.json,segmented_greedy,35135,0,1278
montgomery,none,0.05,True,0.72,True,1,c7.json,segmented_greedy,35135,0,1214
montgomery,none,0.05,True,0.93,True,1,c7.json,DegGreedy_fair,35135,0,524
montgomery,none,0.05,True,0.77,True,1,c7.json,segmented_greedy,35135,0,1136
montgomery,none,0.05,True,0.74,True,1,c7.json,segmented_greedy,35135,0,1182
montgomery,none,0.05,True,0.78,True,1,c7.json,segmented_greedy,35135,0,1112
montgomery,none,0.05,True,0.94,True,1,c7.json,DegGreedy_fair,35135,0,517
montgomery,none,0.05,True,0.8,True,1,c7.json,DepRound_fair,35135,0,665
montgomery,none,0.05,True,0.81,True,1,c7.json,DepRound_fair,35135,0,650
montgomery,none,0.05,True,0.95,True,1,c7.json,DegGreedy_fair,35135,0,511
montgomery,none,0.05,True,0.82,True,1,c7.json,DepRound_fair,35135,0,652
montgomery,none,0.05,True,0.96,True,1,c7.json,DegGreedy_fair,35135,0,507
montgomery,none,0.05,True,0.83,True,1,c7.json,DepRound_fair,35135,0,639
montgomery,none,0.05,True,0.97,True,1,c7.json,DegGreedy_fair,35135,0,504
montgomery,none,0.05,True,0.84,True,1,c7.json,DepRound_fair,35135,0,631
montgomery,none,0.05,True,0.85,True,1,c7.json,DepRound_fair,35135,0,622
montgomery,none,0.05,True,0.98,True,1,c7.json,DegGreedy_fair,35135,0,492
montgomery,none,0.05,True,0.86,True,1,c7.json,DepRound_fair,35135,0,614
montgomery,none,0.05,True,0.99,True,1,c7.json,DegGreedy_fair,35135,0,492
montgomery,none,0.05,True,0.87,True,1,c7.json,DepRound_fair,35135,0,602
montgomery,none,0.05,True,0.88,True,1,c7.json,DepRound_fair,35135,0,596
montgomery,none,0.05,True,0.81,True,1,c7.json,segmented_greedy,35135,0,1068
