G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,0.5,True,1,c7.json,segmented_greedy,2,39353,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 634, 912, 1367, 2043, 2917, 3980, 4732, 5149, 4784, 3981, 2922, 1950, 1251, 751, 447, 247, 123, 60, 18, 8, 1, 0]"
montgomery,750,none,0.05,True,0.5,True,1,c7.json,segmented_greedy,5,39411,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 537, 711, 1000, 1410, 2143, 3003, 3994, 4785, 5048, 4664, 3869, 2853, 1958, 1165, 736, 478, 229, 132, 57, 20, 9, 0]"
montgomery,750,none,0.05,True,0.5,True,1,c7.json,segmented_greedy,0,38888,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 427, 598, 867, 1331, 1934, 2797, 3709, 4546, 4938, 4729, 4064, 3055, 2111, 1331, 815, 485, 294, 127, 71, 32, 10, 5, 2, 0]"
montgomery,750,none,0.05,True,0.5,True,1,c7.json,segmented_greedy,3,39019,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 510, 669, 1002, 1553, 2271, 3178, 4191, 4878, 5147, 4529, 3589, 2572, 1741, 1119, 673, 386, 208, 98, 53, 30, 9, 3, 0]"
montgomery,750,none,0.05,True,0.51,True,1,c7.json,segmented_greedy,0,39399,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 660, 1030, 1536, 2275, 3204, 4154, 4778, 4977, 4667, 3812, 2820, 1808, 1156, 668, 396, 212, 97, 42, 8, 7, 1, 0]"
montgomery,750,none,0.05,True,0.5,True,1,c7.json,segmented_greedy,4,39131,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 462, 636, 936, 1401, 1960, 2866, 3853, 4631, 5117, 4787, 3940, 2944, 2015, 1303, 767, 448, 243, 119, 49, 24, 10, 4, 2, 2, 2, 0]"
montgomery,750,none,0.05,True,0.51,True,1,c7.json,segmented_greedy,1,38778,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 451, 598, 931, 1329, 1993, 2872, 3815, 4638, 5070, 4757, 3913, 2799, 1990, 1228, 798, 449, 275, 144, 72, 31, 6, 2, 1, 2, 1, 2, 1, 0]"
montgomery,750,none,0.05,True,0.5,True,1,c7.json,segmented_greedy,9,39164,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 505, 679, 1027, 1479, 2226, 3046, 4073, 4899, 5010, 4597, 3702, 2694, 1866, 1144, 745, 424, 213, 111, 58, 28, 15, 8, 4, 1, 0]"
montgomery,750,none,0.05,True,0.5,True,1,c7.json,segmented_greedy,1,39069,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 458, 653, 949, 1424, 2172, 3021, 4039, 4744, 5063, 4673, 3756, 2752, 1878, 1182, 744, 459, 256, 130, 55, 32, 7, 7, 0, 2, 2, 1, 0]"
montgomery,750,none,0.05,True,0.5,True,1,c7.json,segmented_greedy,7,39005,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 462, 629, 944, 1445, 2060, 2929, 3832, 4585, 4863, 4730, 3891, 2931, 1986, 1302, 791, 482, 261, 151, 75, 34, 10, 1, 1, 0]"
montgomery,750,none,0.05,True,0.51,True,1,c7.json,segmented_greedy,5,38949,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 509, 677, 990, 1481, 2201, 3004, 3979, 4663, 4954, 4705, 3792, 2789, 1924, 1213, 691, 397, 218, 93, 34, 20, 3, 1, 1, 0]"
montgomery,750,none,0.05,True,0.5,True,1,c7.json,segmented_greedy,6,39239,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 458, 640, 962, 1415, 2178, 3040, 4008, 4792, 5141, 4649, 3946, 2875, 1867, 1142, 713, 399, 215, 112, 39, 20, 9, 5, 2, 1, 1, 0]"
montgomery,750,none,0.05,True,0.51,True,1,c7.json,segmented_greedy,2,39240,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 500, 689, 998, 1440, 2133, 2911, 3834, 4707, 5103, 4738, 3889, 2776, 2001, 1225, 753, 425, 260, 140, 63, 28, 9, 6, 2, 0]"
montgomery,750,none,0.05,True,0.51,True,1,c7.json,segmented_greedy,9,39183,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 628, 967, 1409, 2092, 2967, 3934, 4646, 5169, 4826, 3956, 2830, 1895, 1190, 699, 424, 248, 131, 60, 19, 4, 2, 1, 0]"
montgomery,750,none,0.05,True,0.52,True,1,c7.json,segmented_greedy,2,39044,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 465, 626, 861, 1344, 1910, 2685, 3717, 4598, 5055, 4816, 4099, 3065, 2120, 1331, 773, 476, 257, 145, 65, 19, 6, 1, 0]"
montgomery,750,none,0.05,True,0.51,True,1,c7.json,segmented_greedy,3,39205,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 507, 678, 981, 1518, 2230, 3173, 4023, 4802, 5032, 4489, 3733, 2661, 1820, 1238, 770, 449, 241, 129, 68, 32, 14, 5, 2, 0]"
montgomery,750,none,0.05,True,0.5,True,1,c7.json,segmented_greedy,8,38842,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 459, 606, 921, 1385, 1938, 2756, 3675, 4539, 4969, 4721, 4001, 3083, 2069, 1372, 794, 476, 228, 143, 59, 25, 7, 3, 1, 0, 1, 0, 1, 0]"
montgomery,750,none,0.05,True,0.52,True,1,c7.json,segmented_greedy,3,38987,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 491, 647, 911, 1371, 1973, 2839, 3795, 4717, 4977, 4804, 3899, 2884, 1972, 1338, 772, 477, 263, 143, 60, 32, 7, 4, 0, 1, 0]"
montgomery,750,none,0.05,True,0.51,True,1,c7.json,segmented_greedy,7,39180,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 475, 649, 974, 1364, 2131, 2924, 3976, 4650, 5034, 4689, 3867, 2886, 1993, 1243, 802, 460, 236, 129, 57, 22, 6, 1, 1, 1, 0]"
montgomery,750,none,0.05,True,0.51,True,1,c7.json,segmented_greedy,8,39123,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 624, 872, 1308, 1901, 2696, 3635, 4440, 4836, 4777, 4243, 3176, 2190, 1438, 850, 521, 267, 146, 85, 32, 6, 4, 0]"
montgomery,750,none,0.05,True,0.52,True,1,c7.json,segmented_greedy,1,39382,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 464, 649, 951, 1420, 2115, 2921, 3845, 4631, 4986, 4731, 3969, 2968, 2042, 1280, 825, 470, 260, 138, 63, 21, 10, 6, 6, 1, 0]"
montgomery,750,none,0.05,True,0.52,True,1,c7.json,segmented_greedy,0,39121,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 489, 660, 918, 1396, 1982, 2798, 3756, 4617, 4943, 4769, 4055, 2943, 1996, 1329, 823, 529, 259, 134, 63, 26, 12, 10, 3, 1, 0]"
montgomery,750,none,0.05,True,0.51,True,1,c7.json,segmented_greedy,6,38993,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 460, 618, 866, 1361, 1999, 2845, 3874, 4622, 5118, 4759, 3956, 2928, 1939, 1268, 783, 471, 273, 139, 57, 24, 9, 9, 3, 2, 0]"
montgomery,750,none,0.05,True,0.53,True,1,c7.json,segmented_greedy,2,38857,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 648, 910, 1318, 1973, 2906, 3736, 4588, 4944, 4789, 4093, 2966, 1969, 1328, 756, 435, 241, 115, 44, 17, 4, 0, 1, 0]"
montgomery,750,none,0.05,True,0.52,True,1,c7.json,segmented_greedy,7,39122,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 517, 683, 981, 1527, 2189, 2970, 3878, 4608, 4913, 4685, 3900, 2905, 1972, 1168, 746, 436, 229, 120, 42, 30, 10, 3, 0]"
montgomery,750,none,0.05,True,0.52,True,1,c7.json,segmented_greedy,5,38992,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 467, 642, 974, 1470, 2202, 2945, 3974, 4793, 5129, 4647, 3883, 2731, 1860, 1127, 718, 385, 239, 111, 47, 20, 9, 7, 1, 1, 0]"
montgomery,750,none,0.05,True,0.51,True,1,c7.json,segmented_greedy,4,39000,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 436, 612, 838, 1244, 1818, 2571, 3440, 4368, 4776, 4862, 4205, 3242, 2403, 1535, 947, 526, 300, 155, 58, 38, 13, 1, 1, 1, 0]"
montgomery,750,none,0.05,True,0.53,True,1,c7.json,segmented_greedy,0,38777,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 488, 654, 930, 1320, 1869, 2682, 3474, 4263, 4706, 4603, 3968, 3205, 2326, 1559, 939, 551, 333, 162, 81, 37, 13, 3, 1, 0]"
montgomery,750,none,0.05,True,0.53,True,1,c7.json,segmented_greedy,1,38725,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 513, 657, 925, 1370, 1938, 2746, 3543, 4367, 4870, 4663, 4028, 2949, 2171, 1396, 887, 532, 294, 163, 68, 24, 4, 5, 1, 1, 0]"
montgomery,750,none,0.05,True,0.53,True,1,c7.json,segmented_greedy,4,39007,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 443, 607, 846, 1215, 1799, 2572, 3476, 4233, 4841, 4831, 4108, 3253, 2348, 1604, 958, 611, 344, 164, 89, 33, 18, 4, 0]"
montgomery,750,none,0.05,True,0.53,True,1,c7.json,segmented_greedy,9,38972,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 470, 661, 905, 1392, 2038, 2890, 3681, 4526, 4888, 4711, 3970, 2969, 2068, 1348, 845, 482, 272, 153, 57, 28, 5, 2, 1, 0]"
montgomery,750,none,0.05,True,0.52,True,1,c7.json,segmented_greedy,9,39037,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 479, 644, 951, 1395, 2064, 2882, 3973, 4699, 5130, 4614, 3863, 2756, 2014, 1196, 805, 459, 264, 127, 67, 25, 7, 4, 2, 4, 3, 0]"
montgomery,750,none,0.05,True,0.52,True,1,c7.json,segmented_greedy,8,38942,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 450, 661, 914, 1396, 2100, 2833, 3881, 4630, 4999, 4717, 3854, 2827, 2006, 1277, 792, 473, 266, 148, 71, 25, 7, 1, 1, 1, 1, 1, 0]"
montgomery,750,none,0.05,True,0.52,True,1,c7.json,segmented_greedy,4,39319,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 454, 631, 984, 1385, 2068, 2917, 3837, 4735, 5048, 4753, 4012, 2843, 2059, 1217, 840, 437, 257, 128, 63, 19, 14, 5, 3, 0]"
montgomery,750,none,0.05,True,0.53,True,1,c7.json,segmented_greedy,5,38992,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 626, 942, 1418, 2018, 2826, 3736, 4500, 4929, 4697, 3943, 3034, 2099, 1303, 812, 499, 270, 145, 68, 22, 7, 3, 0, 1, 0]"
