G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,DegGreedy_fair,0,44928,"[0, 10, 10, 31, 48, 82, 191, 422, 736, 1355, 2168, 3617, 5163, 6601, 7201, 6377, 4605, 2937, 1685, 891, 424, 216, 91, 35, 21, 7, 4, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,DegGreedy_fair,7,45235,"[0, 10, 10, 31, 48, 82, 191, 422, 781, 1466, 2481, 3856, 5704, 6891, 7192, 6052, 4380, 2731, 1536, 757, 354, 158, 59, 30, 8, 4, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,DegGreedy_fair,4,45232,"[0, 10, 10, 31, 48, 82, 191, 422, 827, 1439, 2419, 3826, 5470, 6855, 7250, 6133, 4476, 2752, 1571, 782, 377, 171, 56, 18, 7, 5, 2, 2, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,DegGreedy_fair,3,44979,"[0, 10, 10, 31, 48, 82, 191, 422, 826, 1365, 2303, 3656, 5286, 6743, 7090, 6335, 4519, 2936, 1588, 861, 375, 187, 65, 30, 10, 9, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,DegGreedy_fair,1,45019,"[0, 10, 10, 31, 48, 82, 191, 422, 806, 1405, 2356, 3652, 5280, 6616, 7133, 6400, 4590, 2869, 1591, 832, 405, 169, 80, 27, 7, 4, 3, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,DegGreedy_fair,9,45207,"[0, 10, 10, 31, 48, 82, 191, 422, 812, 1391, 2371, 3705, 5373, 6836, 7197, 6296, 4506, 2830, 1630, 789, 397, 162, 69, 26, 13, 5, 4, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,DegGreedy_fair,5,44939,"[0, 10, 10, 31, 48, 82, 191, 422, 749, 1410, 2272, 3592, 5255, 6670, 7148, 6333, 4566, 2941, 1623, 886, 387, 182, 72, 32, 15, 7, 5, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,DegGreedy_fair,2,45085,"[0, 10, 10, 31, 48, 82, 191, 422, 805, 1408, 2473, 3838, 5547, 6804, 7098, 6041, 4430, 2754, 1619, 784, 385, 176, 73, 36, 12, 5, 1, 1, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,DegGreedy_fair,8,45142,"[0, 10, 10, 31, 48, 82, 191, 422, 777, 1417, 2368, 3657, 5379, 6758, 7240, 6251, 4555, 2867, 1629, 786, 392, 165, 64, 22, 16, 3, 2, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,DegGreedy_fair,6,45081,"[0, 10, 10, 31, 48, 82, 191, 422, 808, 1429, 2415, 3802, 5576, 6855, 7218, 6035, 4406, 2727, 1529, 799, 401, 182, 67, 25, 7, 4, 1, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,Random,0,47005,"[0, 10, 10, 31, 48, 82, 191, 422, 851, 1566, 2738, 4661, 6752, 8014, 7698, 5827, 3731, 2158, 1131, 601, 278, 122, 56, 22, 3, 1, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,Random,1,46906,"[0, 10, 10, 31, 48, 82, 191, 422, 775, 1533, 2731, 4583, 6660, 8108, 7807, 6010, 3695, 2143, 1070, 537, 284, 111, 52, 11, 2, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,Random,5,47165,"[0, 10, 10, 31, 48, 82, 191, 422, 801, 1489, 2612, 4537, 6731, 8028, 7867, 5947, 3944, 2140, 1163, 618, 281, 140, 41, 20, 11, 0, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,Random,3,46884,"[0, 10, 10, 31, 48, 82, 191, 422, 768, 1450, 2566, 4484, 6570, 8076, 7788, 5950, 3917, 2261, 1213, 585, 258, 118, 62, 17, 7, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,Random,8,46971,"[0, 10, 10, 31, 48, 82, 191, 422, 815, 1586, 2815, 4683, 6781, 7971, 7631, 5890, 3786, 2107, 1141, 531, 262, 118, 43, 14, 1, 2, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,Random,2,47275,"[0, 10, 10, 31, 48, 82, 191, 422, 795, 1480, 2656, 4474, 6701, 8192, 7797, 6027, 3879, 2250, 1160, 589, 269, 126, 57, 18, 7, 4, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,Random,7,46732,"[0, 10, 10, 31, 48, 82, 191, 422, 792, 1530, 2722, 4508, 6489, 7858, 7807, 5888, 3914, 2213, 1193, 576, 257, 117, 46, 19, 5, 4, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,Random,6,46999,"[0, 10, 10, 31, 48, 82, 191, 422, 785, 1527, 2683, 4478, 6626, 8064, 7729, 5889, 3891, 2234, 1173, 578, 317, 133, 72, 16, 8, 1, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,EC,9,46371,"[0, 10, 10, 31, 48, 82, 191, 422, 826, 1481, 2547, 4134, 6135, 7698, 7710, 6248, 4073, 2362, 1204, 641, 286, 138, 59, 22, 10, 3, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,EC,6,46682,"[0, 10, 10, 31, 48, 82, 191, 422, 847, 1466, 2633, 4282, 6373, 7834, 7738, 6067, 4040, 2295, 1265, 563, 277, 116, 50, 28, 7, 3, 3, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,EC,2,46783,"[0, 10, 10, 31, 48, 82, 191, 422, 784, 1473, 2651, 4191, 6202, 7981, 7892, 6262, 4010, 2264, 1210, 605, 277, 125, 46, 15, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,Random,4,47145,"[0, 10, 10, 31, 48, 82, 191, 422, 818, 1512, 2685, 4564, 6698, 8121, 7830, 6007, 3776, 2210, 1149, 536, 249, 122, 53, 13, 7, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,EC,3,46697,"[0, 10, 10, 31, 48, 82, 191, 422, 828, 1500, 2660, 4276, 6368, 7859, 7717, 6140, 3999, 2227, 1208, 601, 297, 140, 47, 28, 6, 2, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,EC,4,46447,"[0, 10, 10, 31, 48, 82, 191, 422, 827, 1481, 2644, 4341, 6345, 7693, 7724, 6048, 3940, 2308, 1212, 602, 280, 123, 60, 19, 6, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,EC,0,46620,"[0, 10, 10, 31, 48, 82, 191, 422, 869, 1585, 2845, 4618, 6665, 7916, 7652, 5768, 3749, 2099, 1108, 526, 259, 100, 44, 15, 1, 3, 2, 2, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,EC,5,46535,"[0, 10, 10, 31, 48, 82, 191, 422, 766, 1426, 2431, 4008, 5960, 7556, 7682, 6361, 4357, 2476, 1451, 690, 352, 141, 52, 18, 8, 3, 2, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,Random,9,47091,"[0, 10, 10, 31, 48, 82, 191, 422, 776, 1549, 2729, 4535, 6642, 7959, 7691, 5998, 3880, 2240, 1151, 599, 297, 136, 71, 30, 9, 4, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,EC,1,46612,"[0, 10, 10, 31, 48, 82, 191, 422, 814, 1482, 2603, 4305, 6373, 7617, 7618, 6045, 4091, 2368, 1293, 664, 308, 138, 64, 22, 8, 3, 1, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,EC,8,46665,"[0, 10, 10, 31, 48, 82, 191, 422, 813, 1507, 2660, 4367, 6204, 7598, 7730, 6112, 4147, 2354, 1243, 638, 285, 134, 51, 16, 9, 2, 1, 0]"
montgomery_extra,750,none,0.05,True,0.5,True,1,1,ce6.json,EC,7,46753,"[0, 10, 10, 31, 48, 82, 191, 422, 810, 1462, 2545, 4127, 6138, 7691, 7881, 6313, 4143, 2366, 1299, 662, 319, 126, 50, 21, 4, 1, 1, 0]"
montgomery_extra,750,none,0.05,True,0.51,True,1,1,ce6.json,DegGreedy_fair,1,45124,"[0, 10, 10, 31, 48, 82, 191, 422, 820, 1355, 2234, 3724, 5391, 6792, 7323, 6252, 4443, 2809, 1585, 864, 394, 203, 79, 37, 14, 7, 2, 2, 0]"
montgomery_extra,750,none,0.05,True,0.51,True,1,1,ce6.json,DegGreedy_fair,0,44903,"[0, 10, 10, 31, 48, 82, 191, 422, 808, 1484, 2369, 3914, 5540, 7036, 7180, 6167, 4228, 2638, 1473, 724, 298, 162, 57, 21, 4, 5, 1, 0]"
montgomery_extra,750,none,0.05,True,0.51,True,1,1,ce6.json,DegGreedy_fair,2,45261,"[0, 10, 10, 31, 48, 82, 191, 422, 804, 1442, 2416, 3896, 5497, 6901, 7138, 6101, 4391, 2744, 1559, 821, 420, 194, 87, 36, 12, 4, 4, 0]"
montgomery_extra,750,none,0.05,True,0.51,True,1,1,ce6.json,DegGreedy_fair,3,44763,"[0, 10, 10, 31, 48, 82, 191, 422, 784, 1382, 2345, 3706, 5387, 6846, 7181, 6177, 4469, 2731, 1516, 797, 385, 156, 62, 26, 15, 3, 1, 0]"
montgomery_extra,750,none,0.05,True,0.51,True,1,1,ce6.json,DegGreedy_fair,5,45281,"[0, 10, 10, 31, 48, 82, 191, 422, 825, 1457, 2440, 3958, 5578, 6817, 7095, 6141, 4429, 2790, 1544, 777, 375, 149, 71, 25, 7, 7, 2, 0]"
montgomery_extra,750,none,0.05,True,0.51,True,1,1,ce6.json,DegGreedy_fair,7,44993,"[0, 10, 10, 31, 48, 82, 191, 422, 766, 1367, 2322, 3681, 5334, 6712, 7215, 6204, 4545, 2808, 1648, 852, 418, 207, 79, 33, 8, 0]"
montgomery_extra,750,none,0.05,True,0.51,True,1,1,ce6.json,DegGreedy_fair,6,45358,"[0, 10, 10, 31, 48, 82, 191, 422, 785, 1432, 2398, 3750, 5365, 6855, 7226, 6195, 4513, 2874, 1600, 866, 418, 172, 73, 28, 7, 3, 3, 0, 1, 0]"
montgomery_extra,750,none,0.05,True,0.51,True,1,1,ce6.json,DegGreedy_fair,8,44995,"[0, 10, 10, 31, 48, 82, 191, 422, 813, 1389, 2384, 3905, 5705, 7024, 7330, 5994, 4254, 2586, 1426, 731, 359, 173, 85, 32, 3, 5, 2, 0, 1, 0]"
montgomery_extra,750,none,0.05,True,0.51,True,1,1,ce6.json,DegGreedy_fair,4,45257,"[0, 10, 10, 31, 48, 82, 191, 422, 800, 1392, 2314, 3618, 5434, 6840, 7300, 6248, 4595, 2805, 1577, 843, 376, 178, 82, 38, 13, 5, 2, 2, 1, 0]"
