G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,q_age_count,infection_count,infections_step
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,0,"[0.04700472207647912, 0.06569223189357859, 0.06722903885480573, 0.06126080325368582, 0.05798512747875354]",38997,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 488, 675, 970, 1413, 1986, 2728, 3535, 4344, 4748, 4714, 4178, 3079, 2196, 1409, 845, 527, 287, 147, 71, 29, 11, 6, 1, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,2,"[0.046572636647017066, 0.06388569551650518, 0.06748466257668712, 0.058464667005592275, 0.06046388101983003]",39150,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 477, 689, 1020, 1484, 2114, 2965, 3853, 4639, 4869, 4519, 3896, 2929, 2018, 1301, 769, 474, 248, 163, 66, 32, 9, 6, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,4,"[0.049535508163328294, 0.06643126950238135, 0.06793200408997956, 0.06354855109303507, 0.060906515580736544]",39063,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 458, 643, 912, 1349, 1893, 2705, 3606, 4396, 4769, 4620, 3979, 3166, 2256, 1469, 926, 584, 364, 185, 96, 49, 25, 3, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,8,"[0.04663436313694022, 0.0662670389226474, 0.06850715746421268, 0.06024402643619726, 0.06214589235127479]",38909,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 491, 701, 1041, 1506, 2137, 2920, 3804, 4449, 4790, 4590, 3809, 2931, 2076, 1254, 804, 469, 283, 134, 81, 19, 10, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,6,"[0.04823925187494213, 0.06191492855969782, 0.0708077709611452, 0.05566853075749873, 0.06701487252124647]",38835,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 438, 667, 1021, 1501, 2044, 2781, 3588, 4263, 4575, 4590, 3963, 3086, 2191, 1464, 869, 545, 333, 163, 88, 37, 14, 4, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,1,"[0.04564673929816981, 0.06446050254557399, 0.06895449897750511, 0.05566853075749873, 0.06028682719546742]",38806,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 514, 733, 1057, 1540, 2179, 2993, 3853, 4628, 4954, 4506, 3706, 2828, 1878, 1244, 760, 419, 233, 110, 39, 13, 9, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,3,"[0.04697385883151754, 0.060354738052225326, 0.06952965235173825, 0.057447890188103715, 0.05984419263456091]",39084,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 513, 728, 1096, 1622, 2280, 3064, 3862, 4622, 4891, 4573, 3734, 2812, 1897, 1194, 713, 437, 237, 123, 55, 15, 4, 2, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,7,"[0.0478997561803648, 0.06339300377730334, 0.06499233128834356, 0.05617691916624301, 0.06072946175637394]",38967,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 483, 736, 1082, 1564, 2258, 3055, 3970, 4703, 4885, 4521, 3766, 2778, 1891, 1121, 712, 408, 216, 124, 55, 26, 3, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,9,"[0.04811579889509583, 0.06207915913943176, 0.06793200408997956, 0.061006609049313675, 0.06214589235127479]",38901,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 436, 656, 901, 1343, 1902, 2702, 3628, 4376, 4888, 4644, 4060, 3129, 2232, 1434, 861, 502, 315, 157, 77, 34, 12, 2, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,5,"[0.047714576710595355, 0.06758088356051897, 0.0665260736196319, 0.05973563802745297, 0.06329674220963173]",39276,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 710, 1035, 1496, 2139, 3013, 3915, 4838, 4935, 4715, 3810, 2860, 1835, 1237, 725, 447, 244, 140, 65, 17, 5, 3, 0, 1, 0]"
