G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,3,35183,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 465, 523, 687, 923, 1278, 1721, 2243, 2925, 3398, 3725, 3770, 3408, 2967, 2234, 1595, 1051, 704, 434, 274, 139, 70, 26, 5, 5, 3, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,2,35557,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 472, 574, 762, 1012, 1437, 1877, 2512, 3167, 3796, 4007, 3917, 3443, 2658, 1992, 1381, 849, 497, 275, 174, 70, 43, 16, 12, 3, 0, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,0,35821,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 498, 586, 773, 1091, 1446, 2031, 2589, 3241, 3743, 3954, 3765, 3384, 2725, 2016, 1368, 840, 531, 309, 157, 94, 40, 17, 7, 2, 4, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,6,34937,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 597, 803, 1088, 1532, 2128, 2720, 3297, 3679, 3824, 3608, 3212, 2411, 1819, 1202, 832, 484, 313, 173, 66, 39, 14, 11, 5, 3, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,1,35718,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 467, 584, 778, 1104, 1528, 2058, 2729, 3256, 3716, 3908, 3795, 3236, 2694, 1896, 1343, 848, 566, 321, 139, 75, 28, 15, 11, 4, 5, 2, 2, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,5,35508,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 467, 568, 752, 998, 1389, 1996, 2481, 3046, 3603, 3825, 3806, 3440, 2699, 2064, 1428, 958, 614, 368, 181, 112, 52, 27, 10, 6, 3, 4, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,4,35693,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 486, 637, 781, 1068, 1446, 1877, 2444, 3113, 3689, 3952, 3784, 3359, 2734, 2075, 1464, 909, 570, 317, 176, 91, 58, 27, 10, 7, 4, 1, 4, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,10,35560,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 461, 603, 757, 1031, 1419, 1925, 2478, 3046, 3488, 3881, 3742, 3402, 2756, 2139, 1485, 1014, 623, 368, 171, 84, 31, 23, 13, 6, 3, 0, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,7,35340,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 432, 524, 729, 1005, 1331, 1823, 2411, 2994, 3587, 3841, 3810, 3460, 2738, 2105, 1475, 1018, 647, 386, 220, 119, 50, 17, 7, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,15,35365,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 566, 769, 1053, 1329, 1803, 2374, 3035, 3603, 3909, 3781, 3417, 2773, 2106, 1468, 974, 613, 337, 180, 97, 46, 23, 11, 3, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,11,35567,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 458, 527, 753, 966, 1296, 1764, 2310, 2913, 3499, 3863, 3897, 3515, 2903, 2190, 1548, 1027, 656, 402, 236, 129, 47, 26, 14, 9, 6, 2, 0, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,14,35540,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 505, 578, 765, 1099, 1469, 1974, 2600, 3136, 3636, 3874, 3752, 3350, 2713, 2019, 1437, 855, 550, 309, 166, 82, 35, 16, 3, 4, 2, 0, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,16,35526,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 479, 597, 826, 1062, 1519, 1982, 2667, 3288, 3844, 4033, 3925, 3242, 2516, 1841, 1265, 786, 489, 279, 142, 75, 28, 13, 7, 6, 3, 1, 0, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,9,34846,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 559, 708, 894, 1296, 1744, 2291, 2860, 3320, 3629, 3662, 3343, 2698, 2198, 1656, 1129, 736, 463, 273, 142, 78, 36, 21, 7, 10, 5, 4, 4, 3, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,12,35116,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 512, 578, 741, 1071, 1422, 1949, 2461, 3146, 3656, 3796, 3652, 3239, 2741, 2037, 1365, 908, 571, 335, 161, 74, 33, 20, 7, 12, 4, 2, 4, 6, 2, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,8,35219,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 493, 616, 820, 1109, 1474, 1925, 2530, 3135, 3528, 3733, 3650, 3240, 2790, 1988, 1391, 878, 586, 350, 182, 81, 47, 21, 13, 11, 8, 4, 0, 2, 1, 1, 1, 0, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,17,35312,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 480, 547, 749, 1037, 1424, 1862, 2447, 2970, 3509, 3773, 3716, 3472, 2780, 2153, 1475, 980, 631, 348, 183, 86, 43, 23, 5, 4, 0, 1, 2, 2, 0]"
