G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,6,67980,"[0, 10, 10, 22, 41, 116, 317, 963, 1513, 2318, 3687, 5435, 7119, 8583, 9131, 8517, 7083, 5213, 3432, 2136, 1187, 640, 330, 135, 33, 9, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,2,67947,"[0, 10, 10, 22, 41, 116, 317, 924, 1592, 2282, 3710, 5600, 7751, 9327, 9546, 8594, 6670, 4763, 2982, 1833, 983, 509, 222, 93, 37, 9, 3, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,3,67799,"[0, 10, 10, 22, 41, 116, 317, 909, 1524, 2188, 3512, 5365, 7417, 9060, 9442, 8577, 6876, 5006, 3211, 2004, 1109, 604, 286, 130, 42, 16, 2, 3, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,1,67617,"[0, 10, 10, 22, 41, 116, 317, 939, 1631, 2490, 4102, 6087, 8151, 9521, 9458, 8186, 6255, 4269, 2730, 1578, 921, 473, 200, 83, 21, 4, 2, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,8,67918,"[0, 10, 10, 22, 41, 116, 317, 1020, 1634, 2486, 4077, 6094, 7946, 9321, 9228, 8307, 6396, 4560, 2907, 1693, 941, 473, 201, 81, 27, 6, 4, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,0,67614,"[0, 10, 10, 22, 41, 116, 317, 953, 1618, 2424, 3941, 5923, 7817, 9231, 9457, 8421, 6533, 4493, 2817, 1676, 924, 488, 256, 84, 29, 6, 3, 3, 0, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,4,67974,"[0, 10, 10, 22, 41, 116, 317, 946, 1490, 2256, 3781, 5870, 7886, 9440, 9294, 8395, 6766, 4701, 3068, 1756, 962, 530, 201, 78, 26, 8, 3, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,7,68080,"[0, 10, 10, 22, 41, 116, 317, 941, 1571, 2462, 3947, 5990, 8081, 9408, 9465, 8325, 6453, 4485, 2932, 1702, 997, 463, 208, 92, 31, 9, 2, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,5,67842,"[0, 10, 10, 22, 41, 116, 317, 952, 1649, 2500, 3931, 5943, 7803, 9088, 9002, 8262, 6617, 4627, 3058, 1844, 1051, 573, 246, 113, 41, 17, 6, 2, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,12,67868,"[0, 10, 10, 22, 41, 116, 317, 942, 1593, 2348, 3686, 5725, 7903, 9197, 9285, 8305, 6669, 4691, 3140, 1838, 1042, 554, 264, 102, 38, 15, 7, 4, 4, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,11,67613,"[0, 10, 10, 22, 41, 116, 317, 948, 1609, 2313, 3770, 5670, 7780, 9254, 9562, 8367, 6560, 4583, 2908, 1812, 1000, 539, 278, 95, 32, 9, 6, 2, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,9,67672,"[0, 10, 10, 22, 41, 116, 317, 917, 1538, 2288, 3684, 5632, 7564, 8933, 9055, 8420, 6815, 4961, 3228, 1966, 1128, 580, 274, 122, 39, 11, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,15,67704,"[0, 10, 10, 22, 41, 116, 317, 975, 1638, 2396, 3839, 5682, 7477, 9034, 9146, 8456, 6751, 4850, 3111, 1860, 1075, 527, 247, 88, 24, 9, 2, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,14,67702,"[0, 10, 10, 22, 41, 116, 317, 993, 1629, 2385, 3884, 5827, 7941, 9325, 9252, 8142, 6609, 4653, 3002, 1729, 947, 520, 222, 82, 33, 10, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,10,67929,"[0, 10, 10, 22, 41, 116, 317, 934, 1506, 2183, 3511, 5407, 7561, 9183, 9465, 8467, 6849, 5011, 3261, 2010, 1082, 561, 267, 100, 38, 9, 5, 2, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,19,67644,"[0, 10, 10, 22, 41, 116, 317, 945, 1618, 2291, 3589, 5483, 7259, 8889, 9141, 8412, 6840, 4969, 3389, 1982, 1214, 623, 303, 129, 37, 12, 2, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,20,67702,"[0, 10, 10, 22, 41, 116, 317, 938, 1638, 2389, 3764, 5531, 7492, 8887, 9393, 8493, 6850, 4764, 3212, 1892, 1034, 535, 232, 83, 41, 11, 4, 3, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,13,67173,"[0, 10, 10, 22, 41, 116, 317, 950, 1576, 2356, 3926, 5786, 7633, 8808, 9007, 8260, 6629, 4725, 3093, 1834, 1101, 536, 276, 115, 26, 8, 4, 5, 2, 0, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,16,67687,"[0, 10, 10, 22, 41, 116, 317, 926, 1571, 2348, 3759, 5695, 7502, 8816, 9269, 8301, 6713, 4913, 3139, 1969, 1123, 624, 323, 121, 31, 17, 5, 4, 2, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,17,68433,"[0, 10, 10, 22, 41, 116, 317, 946, 1623, 2326, 3828, 5635, 7733, 9292, 9394, 8435, 6830, 4792, 3195, 1868, 1074, 548, 222, 112, 46, 13, 4, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,21,67664,"[0, 10, 10, 22, 41, 116, 317, 930, 1552, 2231, 3750, 5829, 7926, 9478, 9259, 8204, 6504, 4616, 3071, 1824, 1032, 536, 258, 97, 36, 10, 3, 2, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,18,67952,"[0, 10, 10, 22, 41, 116, 317, 989, 1539, 2212, 3485, 5377, 7493, 9420, 9746, 8525, 6808, 4807, 3171, 1859, 1100, 540, 245, 88, 20, 9, 2, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,23,67870,"[0, 10, 10, 22, 41, 116, 317, 978, 1600, 2271, 3517, 5312, 7332, 8945, 9329, 8730, 6997, 5061, 3237, 1983, 1139, 538, 248, 85, 35, 13, 3, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,27,67775,"[0, 10, 10, 22, 41, 116, 317, 972, 1613, 2299, 3551, 5269, 7387, 8918, 9235, 8696, 7126, 5053, 3222, 1963, 1062, 542, 222, 87, 34, 6, 2, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,31,68398,"[0, 10, 10, 22, 41, 116, 317, 957, 1586, 2354, 3648, 5506, 7260, 8784, 9404, 8565, 7043, 5168, 3318, 2022, 1145, 614, 302, 138, 47, 19, 2, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,30,67497,"[0, 10, 10, 22, 41, 116, 317, 1015, 1618, 2471, 3949, 5758, 7556, 8963, 9175, 8352, 6645, 4707, 3059, 1829, 969, 521, 255, 104, 25, 8, 1, 1, 0]"
cville,1350,none,0.05,True,0.8,True,1,b5.json,DegGreedy_fair,26,67900,"[0, 10, 10, 22, 41, 116, 317, 965, 1479, 2248, 3688, 5576, 7657, 8924, 9209, 8408, 6937, 4915, 3192, 1999, 1158, 610, 255, 106, 39, 13, 2, 3, 0, 1, 0]"
