G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,0,37225,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 566, 792, 1099, 1524, 2140, 2745, 3490, 3993, 4329, 4175, 3535, 2723, 1952, 1272, 834, 475, 262, 130, 56, 29, 6, 3, 0, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,3,37374,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 452, 584, 797, 1061, 1459, 2019, 2774, 3679, 4216, 4486, 4265, 3627, 2707, 1826, 1225, 771, 403, 228, 97, 40, 17, 17, 7, 6, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,4,37406,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 598, 760, 1071, 1469, 2032, 2815, 3538, 4206, 4444, 4214, 3513, 2778, 1956, 1284, 765, 424, 258, 131, 46, 12, 5, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,5,37367,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 470, 568, 806, 1134, 1591, 2279, 3010, 3793, 4343, 4429, 4120, 3281, 2495, 1731, 1142, 716, 427, 214, 107, 52, 29, 14, 5, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,9,37373,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 454, 553, 750, 1016, 1402, 1975, 2647, 3407, 4071, 4402, 4279, 3662, 2950, 2099, 1371, 810, 479, 225, 126, 43, 24, 12, 4, 2, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,1,37143,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 471, 541, 688, 948, 1314, 1808, 2364, 3131, 3809, 4304, 4251, 3766, 3091, 2249, 1557, 1001, 581, 353, 167, 81, 33, 12, 6, 4, 2, 0, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,6,37031,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 480, 578, 842, 1162, 1587, 2252, 2932, 3806, 4390, 4571, 4060, 3368, 2442, 1633, 1018, 647, 342, 181, 65, 38, 16, 4, 3, 3, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,7,37227,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 486, 570, 768, 1063, 1405, 2051, 2639, 3335, 4036, 4257, 4132, 3592, 2869, 2037, 1417, 874, 536, 288, 149, 68, 31, 8, 4, 2, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,14,37344,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 510, 627, 839, 1198, 1654, 2222, 3012, 3691, 4227, 4400, 4069, 3368, 2537, 1760, 1150, 661, 400, 214, 111, 39, 26, 11, 8, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,2,37092,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 494, 561, 766, 1036, 1449, 2012, 2750, 3488, 4078, 4429, 4235, 3536, 2732, 1975, 1273, 771, 420, 249, 122, 69, 20, 11, 5, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,10,36918,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 451, 592, 733, 962, 1268, 1734, 2332, 3032, 3577, 4193, 4300, 3911, 3084, 2374, 1511, 1004, 581, 339, 173, 76, 47, 15, 12, 4, 2, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,8,37360,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 495, 578, 788, 1131, 1547, 2171, 2824, 3617, 4192, 4509, 4089, 3414, 2579, 1831, 1207, 774, 479, 264, 135, 69, 28, 19, 7, 3, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,12,37201,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 464, 567, 778, 1062, 1406, 1917, 2604, 3375, 4061, 4403, 4239, 3665, 2871, 1992, 1398, 806, 501, 271, 117, 53, 20, 9, 6, 2, 3, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,16,37089,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 435, 523, 750, 988, 1407, 1965, 2599, 3451, 4045, 4374, 4206, 3664, 2887, 2079, 1325, 836, 457, 264, 134, 51, 25, 6, 6, 1, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,17,37428,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 475, 583, 790, 1110, 1526, 2127, 2853, 3648, 4163, 4357, 4186, 3554, 2639, 1889, 1215, 766, 452, 261, 131, 49, 14, 17, 5, 5, 3, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,19,37609,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 470, 623, 825, 1151, 1638, 2243, 3019, 3603, 4222, 4473, 4211, 3455, 2571, 1851, 1174, 710, 428, 186, 78, 30, 21, 7, 7, 1, 2, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,18,37423,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 459, 598, 773, 1053, 1553, 2154, 2934, 3744, 4431, 4454, 4185, 3509, 2630, 1804, 1155, 661, 358, 211, 77, 42, 13, 6, 2, 2, 3, 2, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,11,37404,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 467, 590, 770, 1048, 1493, 2027, 2818, 3528, 4278, 4446, 4305, 3549, 2698, 1875, 1241, 766, 439, 227, 128, 56, 19, 15, 5, 2, 0, 2, 1, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.51,c7.json,segmented_greedy,6,37476,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 608, 767, 1047, 1530, 2127, 2888, 3599, 4171, 4492, 4215, 3510, 2692, 1896, 1236, 743, 434, 222, 124, 39, 22, 8, 9, 1, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.51,c7.json,segmented_greedy,4,37261,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 478, 620, 798, 1082, 1505, 2118, 2816, 3532, 4070, 4459, 4164, 3556, 2725, 1885, 1246, 727, 420, 223, 126, 42, 23, 18, 8, 3, 4, 3, 0]"
montgomery,750,none,0.05,True,0.8,True,0.51,c7.json,segmented_greedy,8,37342,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 472, 558, 768, 1127, 1577, 2204, 2898, 3702, 4259, 4330, 4127, 3442, 2575, 1823, 1199, 770, 439, 234, 124, 65, 30, 6, 2, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.51,c7.json,segmented_greedy,9,37178,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 611, 777, 1142, 1564, 2200, 2844, 3655, 4250, 4484, 4188, 3481, 2607, 1804, 1092, 647, 368, 198, 108, 48, 11, 7, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,segmented_greedy,15,37390,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 447, 525, 734, 995, 1466, 1960, 2678, 3312, 4024, 4348, 4157, 3669, 2906, 2069, 1411, 881, 560, 304, 173, 97, 39, 16, 6, 3, 0]"
montgomery,750,none,0.05,True,0.8,True,0.51,c7.json,segmented_greedy,11,37507,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 557, 835, 1087, 1553, 2177, 2886, 3744, 4244, 4450, 4133, 3495, 2677, 1823, 1177, 745, 417, 213, 109, 42, 30, 11, 5, 3, 0]"
montgomery,750,none,0.05,True,0.8,True,0.51,c7.json,segmented_greedy,1,37223,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 478, 577, 778, 1085, 1527, 2083, 2733, 3605, 4213, 4445, 4194, 3538, 2681, 1867, 1216, 754, 451, 218, 104, 42, 15, 5, 2, 2, 0]"
montgomery,750,none,0.05,True,0.8,True,0.51,c7.json,segmented_greedy,5,37444,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 447, 613, 764, 1219, 1614, 2202, 2974, 3716, 4259, 4404, 4228, 3398, 2606, 1817, 1104, 637, 397, 230, 115, 54, 21, 12, 2, 0, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.51,c7.json,segmented_greedy,15,37837,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 470, 612, 834, 1061, 1509, 2038, 2610, 3363, 4017, 4348, 4233, 3774, 2946, 2161, 1394, 859, 492, 279, 124, 63, 27, 9, 3, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.51,c7.json,segmented_greedy,14,37430,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 612, 829, 1146, 1678, 2284, 3040, 3919, 4397, 4507, 4077, 3379, 2439, 1623, 1050, 609, 379, 203, 99, 40, 15, 5, 4, 1, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.51,c7.json,segmented_greedy,18,37318,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 480, 598, 781, 1143, 1550, 2118, 2785, 3498, 4112, 4336, 4110, 3524, 2736, 1895, 1231, 851, 447, 257, 137, 69, 26, 10, 5, 6, 3, 0]"
montgomery,750,none,0.05,True,0.8,True,0.51,c7.json,segmented_greedy,19,36952,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 463, 559, 783, 1015, 1400, 1944, 2674, 3450, 4164, 4291, 4089, 3581, 2779, 2012, 1315, 782, 497, 277, 162, 58, 28, 10, 3, 5, 1, 0]"
