G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,epsilon,from_cache,agent,trial_id,infection_count,infections_step
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,0,41005,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 461, 789, 1238, 2014, 3039, 4116, 5172, 5694, 5286, 4370, 3071, 2038, 1256, 785, 442, 268, 161, 84, 54, 26, 22, 3, 2, 3, 1, 0]"
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_I_noisy,7,41338,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 491, 804, 1309, 2043, 3153, 4281, 5370, 5828, 5409, 4281, 3023, 1931, 1131, 732, 408, 229, 136, 69, 46, 30, 16, 5, 3, 0]"
montgomery,148,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,9,40769,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 523, 775, 1309, 1987, 3054, 4305, 5282, 5883, 5253, 4193, 2897, 1842, 1124, 723, 419, 237, 154, 92, 51, 33, 14, 5, 4, 0]"
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,4,41361,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 789, 1230, 1869, 2908, 4061, 5059, 5696, 5366, 4617, 3342, 2190, 1354, 788, 456, 267, 145, 82, 36, 18, 6, 4, 2, 0]"
montgomery,148,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,1,40885,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 452, 729, 1151, 1840, 2712, 3901, 4898, 5559, 5489, 4533, 3292, 2287, 1378, 844, 538, 309, 179, 94, 54, 18, 10, 4, 2, 2, 0]"
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_I_noisy,2,40927,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 458, 725, 1237, 1935, 2943, 4204, 5227, 5861, 5493, 4464, 3047, 1974, 1201, 680, 403, 219, 117, 63, 33, 19, 7, 3, 4, 0]"
montgomery,148,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,0,40567,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 473, 840, 1316, 2115, 3068, 4202, 5134, 5548, 5055, 4164, 3056, 2029, 1275, 737, 405, 253, 135, 75, 38, 20, 10, 4, 3, 2, 0]"
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,7,41278,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 509, 818, 1304, 2001, 3030, 4016, 5038, 5547, 5447, 4407, 3289, 2107, 1369, 773, 452, 250, 144, 99, 42, 19, 7, 0]"
montgomery,148,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,8,40868,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 443, 719, 1196, 1800, 2769, 3853, 5018, 5466, 5322, 4401, 3292, 2228, 1481, 963, 580, 324, 192, 103, 57, 30, 13, 4, 4, 0]"
montgomery,148,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,6,40907,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 464, 818, 1288, 2023, 2966, 4056, 5120, 5514, 5192, 4310, 3164, 2221, 1292, 804, 469, 285, 147, 89, 42, 20, 7, 3, 2, 1, 0]"
montgomery,148,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,7,41081,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 487, 769, 1325, 2012, 3016, 4183, 5168, 5670, 5223, 4241, 3104, 2006, 1329, 846, 454, 277, 159, 79, 54, 25, 14, 11, 6, 4, 2, 1, 3, 3, 0]"
montgomery,148,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,2,40509,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 443, 765, 1225, 1950, 2764, 3981, 4949, 5544, 5366, 4352, 3209, 2138, 1320, 810, 495, 274, 157, 71, 42, 28, 7, 7, 2, 0]"
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,2,41330,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 437, 788, 1307, 2012, 2925, 4127, 5166, 5727, 5512, 4446, 3282, 2021, 1246, 715, 436, 282, 149, 76, 37, 20, 2, 5, 1, 1, 0]"
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_I_noisy,0,41153,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 754, 1289, 2070, 3141, 4471, 5467, 5699, 5222, 4108, 2956, 1934, 1265, 725, 433, 239, 155, 80, 43, 16, 5, 4, 1, 0]"
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_I_noisy,1,40940,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 463, 788, 1383, 2175, 3270, 4496, 5427, 5595, 5162, 4120, 2944, 1779, 1123, 682, 387, 240, 134, 80, 37, 27, 11, 3, 3, 0, 1, 0]"
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,3,41035,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 486, 770, 1278, 1999, 3129, 4209, 5445, 5804, 5338, 4164, 2913, 1953, 1172, 719, 424, 269, 158, 104, 53, 22, 7, 5, 3, 0, 1, 0]"
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,9,41353,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 477, 800, 1307, 2007, 3090, 4209, 5287, 5609, 5394, 4351, 3130, 2044, 1261, 764, 454, 255, 137, 82, 47, 17, 12, 4, 3, 1, 1, 0]"
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,1,40948,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 472, 805, 1263, 2040, 3120, 4269, 5212, 5618, 5280, 4289, 3040, 2015, 1217, 715, 412, 238, 148, 83, 50, 24, 14, 8, 2, 3, 1, 0]"
montgomery,148,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,3,41076,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 447, 772, 1204, 1989, 2960, 4224, 5151, 5755, 5250, 4385, 3172, 2031, 1298, 779, 467, 267, 143, 89, 49, 19, 9, 4, 1, 1, 0]"
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,5,40944,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 477, 729, 1166, 1906, 2823, 3992, 5021, 5636, 5415, 4530, 3274, 2157, 1331, 790, 461, 253, 161, 95, 62, 32, 13, 9, 1, 0]"
montgomery,148,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,5,41111,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 467, 776, 1181, 1862, 2844, 3948, 5065, 5632, 5371, 4475, 3255, 2214, 1376, 821, 511, 314, 153, 103, 68, 26, 22, 10, 3, 2, 0, 1, 1, 0]"
montgomery,75,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,6,41417,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 512, 832, 1367, 2137, 3195, 4420, 5365, 5794, 5277, 4187, 2936, 1884, 1191, 698, 431, 250, 157, 81, 54, 27, 7, 5, 0]"
