G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville,720,none,0.05,True,0.8,True,1,1,b5.json,Random,0,73813,"[0, 10, 10, 22, 41, 116, 317, 905, 2120, 3641, 5530, 8373, 10197, 10450, 9521, 7832, 5620, 3696, 2284, 1353, 783, 453, 245, 154, 78, 36, 16, 6, 4, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,Random,4,73787,"[0, 10, 10, 22, 41, 116, 317, 967, 2215, 3721, 5668, 8574, 10089, 10282, 9518, 7634, 5491, 3628, 2341, 1379, 751, 465, 269, 141, 79, 44, 11, 1, 2, 1, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,EC,0,73000,"[0, 10, 10, 22, 41, 116, 317, 956, 2309, 3759, 5413, 7957, 9800, 10541, 9828, 7684, 5465, 3564, 2212, 1346, 735, 450, 258, 127, 49, 20, 7, 4, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,Random,2,73058,"[0, 10, 10, 22, 41, 116, 317, 959, 2240, 3799, 5805, 8565, 10447, 10424, 9316, 7414, 5118, 3413, 2155, 1263, 744, 427, 214, 141, 64, 26, 6, 0, 2, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,Random,6,73789,"[0, 10, 10, 22, 41, 116, 317, 939, 2102, 3646, 5359, 8239, 10298, 10504, 9798, 7768, 5571, 3676, 2323, 1393, 792, 415, 224, 126, 60, 23, 9, 6, 0, 2, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,Random,8,73363,"[0, 10, 10, 22, 41, 116, 317, 922, 2127, 3593, 5121, 7992, 10179, 10492, 9739, 7948, 5728, 3672, 2252, 1356, 784, 465, 256, 138, 56, 18, 8, 0, 1, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,DegGreedy_fair,6,71765,"[0, 10, 10, 22, 41, 116, 317, 971, 1960, 3224, 4883, 7112, 9658, 10421, 9881, 8240, 5967, 3815, 2335, 1396, 719, 358, 173, 92, 28, 13, 3, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,EC,5,73473,"[0, 10, 10, 22, 41, 116, 317, 987, 2269, 3850, 5566, 7886, 9645, 10522, 9975, 8055, 5653, 3586, 2175, 1280, 700, 398, 209, 110, 62, 20, 7, 2, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,Random,1,73824,"[0, 10, 10, 22, 41, 116, 317, 974, 2272, 3867, 5855, 8707, 10322, 10265, 9466, 7728, 5443, 3480, 2131, 1279, 701, 385, 217, 118, 58, 31, 7, 1, 1, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,EC,2,73915,"[0, 10, 10, 22, 41, 116, 317, 967, 2152, 3756, 5481, 7984, 10069, 10783, 9945, 7945, 5648, 3592, 2203, 1260, 749, 400, 240, 118, 66, 25, 10, 5, 1, 0]"
