G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville,1520,none,0.05,True,-1,True,1,albe.json,List_Length,5,70667,"[0, 10, 10, 22, 41, 116, 317, 946, 1903, 2909, 4473, 7215, 9410, 9797, 9531, 8024, 6027, 3966, 2533, 1609, 855, 507, 233, 140, 48, 17, 6, 2, 0]"
cville,1520,none,0.05,True,-1,True,1,albe.json,List_Length,7,71108,"[0, 10, 10, 22, 41, 116, 317, 969, 1949, 2998, 4640, 7561, 9860, 10233, 9622, 7617, 5828, 3774, 2377, 1388, 872, 481, 239, 107, 58, 10, 8, 1, 0]"
cville,1520,none,0.05,True,-1,True,1,albe.json,List_Length,4,70869,"[0, 10, 10, 22, 41, 116, 317, 1004, 2023, 3073, 4993, 7711, 9389, 9712, 9164, 7839, 5822, 3967, 2447, 1444, 864, 460, 245, 126, 44, 18, 5, 2, 1, 0]"
cville,1520,none,0.05,True,-1,True,1,albe.json,List_Length,8,70786,"[0, 10, 10, 22, 41, 116, 317, 932, 1970, 2924, 4532, 7271, 9474, 9606, 9349, 8110, 5939, 4178, 2630, 1586, 900, 461, 241, 107, 40, 15, 3, 1, 1, 0]"
cville,1520,none,0.05,True,-1,True,1,albe.json,List_Length,9,70965,"[0, 10, 10, 22, 41, 116, 317, 930, 1969, 2926, 4463, 7289, 9256, 9698, 9439, 8207, 6134, 4150, 2641, 1530, 880, 481, 227, 151, 55, 20, 3, 0]"
cville,1520,none,0.05,True,-1,True,1,albe.json,List_Length,3,71132,"[0, 10, 10, 22, 41, 116, 317, 970, 2050, 3037, 4878, 7593, 9662, 10047, 9435, 7744, 5630, 3901, 2479, 1470, 859, 465, 239, 97, 38, 10, 9, 2, 1, 0]"
cville,1520,none,0.05,True,-1,True,1,albe.json,List_Length,1,71072,"[0, 10, 10, 22, 41, 116, 317, 972, 2005, 3088, 4834, 7406, 9145, 9681, 9486, 7975, 6003, 4001, 2566, 1538, 900, 501, 257, 129, 43, 17, 1, 3, 1, 3, 0, 1, 0]"
cville,1540,none,0.05,True,-1,True,1,albe.json,List_Length,3,70902,"[0, 10, 10, 22, 41, 116, 317, 980, 1906, 2864, 4321, 7115, 9466, 9951, 9457, 8164, 6054, 4121, 2603, 1518, 859, 485, 263, 164, 67, 17, 8, 3, 0]"
cville,1520,none,0.05,True,-1,True,1,albe.json,List_Length,0,70768,"[0, 10, 10, 22, 41, 116, 317, 960, 1927, 2931, 4441, 7229, 9188, 9631, 9449, 7880, 6003, 4168, 2659, 1719, 966, 549, 297, 155, 67, 25, 6, 2, 0]"
cville,1540,none,0.05,True,-1,True,1,albe.json,List_Length,5,70895,"[0, 10, 10, 22, 41, 116, 317, 941, 1946, 3007, 4666, 7621, 9374, 9827, 9458, 7871, 5866, 3923, 2551, 1471, 900, 514, 242, 121, 56, 12, 6, 5, 1, 0]"
cville,1540,none,0.05,True,-1,True,1,albe.json,List_Length,2,71182,"[0, 10, 10, 22, 41, 116, 317, 975, 2012, 2927, 4499, 7343, 9492, 9954, 9628, 8042, 5904, 4035, 2507, 1551, 870, 463, 264, 131, 46, 19, 4, 0]"
cville,1520,none,0.05,True,-1,True,1,albe.json,List_Length,2,71811,"[0, 10, 10, 22, 41, 116, 317, 958, 1993, 2976, 4436, 7273, 9621, 9717, 9569, 8180, 6112, 4237, 2684, 1594, 939, 509, 260, 139, 69, 20, 5, 4, 0]"
cville,1540,none,0.05,True,-1,True,1,albe.json,List_Length,0,70571,"[0, 10, 10, 22, 41, 116, 317, 945, 1918, 2731, 4278, 7043, 9440, 9771, 9310, 8025, 6082, 4173, 2762, 1621, 987, 497, 274, 125, 44, 21, 5, 2, 1, 0]"
cville,1520,none,0.05,True,-1,True,1,albe.json,List_Length,6,71182,"[0, 10, 10, 22, 41, 116, 317, 921, 1887, 2920, 4759, 7629, 9841, 10112, 9301, 7867, 5747, 4009, 2418, 1487, 872, 479, 247, 118, 40, 5, 3, 3, 0, 1, 0]"
cville,1540,none,0.05,True,-1,True,1,albe.json,List_Length,4,70590,"[0, 10, 10, 22, 41, 116, 317, 998, 1963, 2964, 4546, 7432, 9324, 9743, 9258, 7700, 5850, 4115, 2643, 1629, 893, 534, 269, 127, 59, 19, 5, 2, 1, 0]"
cville,1540,none,0.05,True,-1,True,1,albe.json,List_Length,6,70828,"[0, 10, 10, 22, 41, 116, 317, 1008, 2098, 3044, 4746, 7497, 9173, 9566, 9304, 7910, 6004, 4046, 2520, 1535, 916, 500, 266, 118, 44, 8, 4, 4, 1, 0]"
cville,1540,none,0.05,True,-1,True,1,albe.json,List_Length,8,70614,"[0, 10, 10, 22, 41, 116, 317, 962, 1964, 2978, 4544, 7238, 9159, 9570, 9257, 8021, 6147, 4233, 2602, 1509, 906, 493, 269, 162, 49, 23, 5, 5, 0, 2, 0]"
cville,1540,none,0.05,True,-1,True,1,albe.json,List_Length,9,70903,"[0, 10, 10, 22, 41, 116, 317, 969, 1961, 3035, 4716, 7658, 9700, 9932, 9372, 7694, 5764, 3855, 2458, 1461, 854, 470, 275, 147, 46, 13, 4, 2, 0, 1, 0]"
cville,1540,none,0.05,True,-1,True,1,albe.json,List_Length,1,70470,"[0, 10, 10, 22, 41, 116, 317, 963, 1993, 2999, 4637, 7394, 9549, 9880, 9257, 7767, 5802, 3942, 2547, 1470, 841, 467, 244, 124, 52, 20, 4, 1, 1, 0]"
cville,1540,none,0.05,True,-1,True,1,albe.json,List_Length,7,70850,"[0, 10, 10, 22, 41, 116, 317, 929, 1869, 2755, 4152, 7022, 9349, 9932, 9508, 8035, 6173, 4266, 2710, 1601, 963, 521, 292, 155, 63, 28, 7, 4, 0]"
