G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville,720,none,0.05,True,-1,True,1,albe.json,List_Length,0,73465,"[0, 10, 10, 22, 41, 116, 317, 948, 2177, 3694, 5726, 8653, 10118, 10267, 9592, 7534, 5596, 3597, 2226, 1321, 717, 420, 206, 92, 37, 20, 6, 1, 1, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,List_Length,2,73693,"[0, 10, 10, 22, 41, 116, 317, 914, 2013, 3499, 5355, 8299, 10241, 10566, 9544, 7906, 5613, 3796, 2341, 1368, 803, 439, 247, 127, 62, 32, 9, 3, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,List_Length,4,73947,"[0, 10, 10, 22, 41, 116, 317, 995, 2177, 3626, 5384, 8315, 10203, 10640, 9935, 7830, 5413, 3613, 2288, 1327, 745, 463, 236, 135, 69, 26, 8, 3, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,List_Length,7,73396,"[0, 10, 10, 22, 41, 116, 317, 933, 2180, 3598, 5582, 8397, 10469, 10435, 9509, 7605, 5397, 3600, 2218, 1368, 759, 387, 230, 110, 70, 17, 12, 3, 1, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,List_Length,3,73543,"[0, 10, 10, 22, 41, 116, 317, 963, 2209, 3736, 5511, 8565, 10049, 10454, 9450, 7513, 5440, 3635, 2270, 1393, 830, 476, 261, 139, 83, 23, 21, 3, 2, 1, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,List_Length,6,73638,"[0, 10, 10, 22, 41, 116, 317, 931, 2114, 3621, 5523, 8383, 9891, 10131, 9594, 7777, 5665, 3825, 2452, 1451, 847, 476, 239, 114, 49, 28, 8, 2, 0, 1, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,List_Length,8,73744,"[0, 10, 10, 22, 41, 116, 317, 960, 2172, 3600, 5551, 8524, 10299, 10502, 9464, 7694, 5512, 3639, 2276, 1377, 782, 411, 238, 136, 61, 22, 6, 2, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,List_Length,5,73888,"[0, 10, 10, 22, 41, 116, 317, 947, 2161, 3722, 5516, 8355, 10221, 10280, 9702, 7881, 5591, 3706, 2285, 1322, 736, 434, 249, 135, 79, 24, 15, 7, 2, 1, 1, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,List_Length,0,73260,"[0, 10, 10, 22, 41, 116, 317, 953, 2179, 3412, 4896, 7817, 10085, 10764, 9838, 7909, 5710, 3749, 2353, 1372, 818, 449, 250, 103, 57, 17, 8, 5, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,List_Length,1,73383,"[0, 10, 10, 22, 41, 116, 317, 900, 2014, 3426, 5145, 8298, 10299, 10633, 9757, 7841, 5514, 3768, 2315, 1336, 735, 443, 225, 118, 65, 23, 6, 1, 1, 1, 1, 1, 1, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,List_Length,9,73486,"[0, 10, 10, 22, 41, 116, 317, 941, 2111, 3604, 5481, 8442, 10469, 10449, 9474, 7624, 5386, 3570, 2208, 1424, 776, 444, 267, 141, 86, 41, 25, 6, 0, 1, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,List_Length,2,73578,"[0, 10, 10, 22, 41, 116, 317, 953, 2230, 3786, 5781, 8710, 10332, 10451, 9486, 7628, 5259, 3450, 2100, 1252, 717, 431, 236, 128, 68, 37, 12, 11, 3, 1, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,List_Length,4,73334,"[0, 10, 10, 22, 41, 116, 317, 953, 2142, 3616, 5291, 8286, 10201, 10510, 9517, 7726, 5570, 3702, 2262, 1385, 795, 414, 230, 134, 51, 22, 8, 3, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,List_Length,1,73436,"[0, 10, 10, 22, 41, 116, 317, 896, 2127, 3590, 5706, 8680, 10184, 10269, 9381, 7723, 5497, 3636, 2252, 1344, 737, 417, 249, 137, 58, 24, 9, 4, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,List_Length,5,73775,"[0, 10, 10, 22, 41, 116, 317, 898, 2072, 3430, 5199, 8000, 10330, 10461, 9619, 7903, 5822, 3846, 2413, 1459, 834, 506, 255, 107, 68, 26, 8, 2, 1, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,List_Length,8,73246,"[0, 10, 10, 22, 41, 116, 317, 877, 2000, 3573, 5353, 8397, 10287, 10388, 9551, 7729, 5609, 3706, 2210, 1361, 793, 441, 254, 118, 50, 19, 8, 5, 0, 1, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,List_Length,7,73615,"[0, 10, 10, 22, 41, 116, 317, 936, 2139, 3599, 5289, 8211, 10283, 10400, 9739, 7783, 5620, 3752, 2322, 1389, 735, 437, 243, 120, 48, 29, 10, 6, 5, 2, 2, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,List_Length,3,73449,"[0, 10, 10, 22, 41, 116, 317, 894, 2075, 3523, 5440, 8463, 10423, 10531, 9658, 7670, 5494, 3554, 2217, 1328, 764, 422, 227, 128, 76, 29, 7, 6, 1, 1, 1, 0, 1, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,List_Length,9,73682,"[0, 10, 10, 22, 41, 116, 317, 914, 2065, 3424, 5228, 8115, 10270, 10511, 9763, 7973, 5719, 3815, 2338, 1379, 758, 432, 239, 123, 63, 29, 4, 4, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,List_Length,6,73370,"[0, 10, 10, 22, 41, 116, 317, 985, 2263, 3768, 5655, 8496, 10232, 10129, 9317, 7633, 5584, 3570, 2298, 1296, 741, 434, 244, 127, 62, 13, 6, 0, 1, 0]"
cville,760,none,0.05,True,-1,True,1,albe.json,List_Length,0,73614,"[0, 10, 10, 22, 41, 116, 317, 960, 2136, 3541, 5331, 8342, 10351, 10689, 9965, 7804, 5464, 3525, 2188, 1256, 739, 398, 229, 117, 43, 15, 3, 1, 1, 0]"
cville,760,none,0.05,True,-1,True,1,albe.json,List_Length,2,73218,"[0, 10, 10, 22, 41, 116, 317, 898, 2092, 3553, 5454, 8371, 10149, 10464, 9418, 7704, 5542, 3692, 2298, 1378, 790, 428, 261, 117, 58, 20, 13, 1, 1, 0]"
cville,760,none,0.05,True,-1,True,1,albe.json,List_Length,4,73499,"[0, 10, 10, 22, 41, 116, 317, 952, 2125, 3594, 5421, 8384, 10346, 10433, 9684, 7704, 5482, 3606, 2256, 1313, 792, 445, 231, 133, 43, 30, 6, 3, 0]"
cville,760,none,0.05,True,-1,True,1,albe.json,List_Length,5,73672,"[0, 10, 10, 22, 41, 116, 317, 981, 2235, 3728, 5684, 8811, 10365, 10437, 9596, 7413, 5373, 3531, 2167, 1251, 745, 403, 234, 110, 58, 24, 4, 3, 2, 1, 0]"
cville,760,none,0.05,True,-1,True,1,albe.json,List_Length,3,73275,"[0, 10, 10, 22, 41, 116, 317, 945, 2118, 3520, 5363, 8421, 10365, 10490, 9552, 7781, 5441, 3631, 2180, 1345, 797, 421, 225, 100, 44, 14, 5, 1, 0]"
cville,760,none,0.05,True,-1,True,1,albe.json,List_Length,6,73138,"[0, 10, 10, 22, 41, 116, 317, 980, 2240, 3783, 5672, 8672, 10387, 10443, 9489, 7597, 5200, 3352, 2100, 1226, 704, 386, 219, 101, 57, 10, 2, 2, 0]"
cville,760,none,0.05,True,-1,True,1,albe.json,List_Length,9,72956,"[0, 10, 10, 22, 41, 116, 317, 918, 2120, 3533, 5427, 8549, 10453, 10473, 9702, 7451, 5304, 3540, 2182, 1285, 714, 388, 234, 107, 41, 10, 6, 1, 1, 1, 0]"
cville,760,none,0.05,True,-1,True,1,albe.json,List_Length,7,73288,"[0, 10, 10, 22, 41, 116, 317, 975, 2199, 3747, 5670, 8831, 10270, 10272, 9299, 7527, 5347, 3597, 2133, 1267, 778, 426, 218, 124, 59, 22, 4, 6, 1, 0]"
cville,760,none,0.05,True,-1,True,1,albe.json,List_Length,1,73210,"[0, 10, 10, 22, 41, 116, 317, 963, 2235, 3681, 5609, 8662, 10285, 10153, 9381, 7659, 5375, 3463, 2243, 1361, 771, 432, 226, 110, 55, 23, 2, 1, 1, 3, 0]"
cville,760,none,0.05,True,-1,True,1,albe.json,List_Length,8,73183,"[0, 10, 10, 22, 41, 116, 317, 942, 2071, 3485, 5330, 7973, 10041, 10252, 9579, 7818, 5836, 3811, 2422, 1370, 792, 459, 249, 127, 61, 30, 10, 2, 5, 1, 1, 0]"
cville,780,none,0.05,True,-1,True,1,albe.json,List_Length,0,73355,"[0, 10, 10, 22, 41, 116, 317, 946, 2071, 3687, 5466, 8418, 10103, 10463, 9409, 7719, 5552, 3697, 2319, 1380, 772, 411, 232, 112, 48, 22, 6, 4, 1, 1, 0]"
cville,780,none,0.05,True,-1,True,1,albe.json,List_Length,1,73401,"[0, 10, 10, 22, 41, 116, 317, 941, 2118, 3616, 5747, 8529, 10082, 10356, 9597, 7699, 5544, 3561, 2191, 1263, 759, 409, 225, 119, 73, 32, 17, 3, 2, 1, 1, 0]"
cville,780,none,0.05,True,-1,True,1,albe.json,List_Length,4,73425,"[0, 10, 10, 22, 41, 116, 317, 988, 2201, 3684, 5387, 8296, 10003, 10242, 9385, 7961, 5634, 3758, 2332, 1362, 799, 425, 245, 123, 47, 25, 8, 4, 0]"
cville,780,none,0.05,True,-1,True,1,albe.json,List_Length,3,73289,"[0, 10, 10, 22, 41, 116, 317, 984, 2206, 3754, 5613, 8658, 10317, 10358, 9441, 7525, 5332, 3471, 2191, 1286, 785, 444, 222, 111, 53, 15, 5, 2, 0]"
cville,780,none,0.05,True,-1,True,1,albe.json,List_Length,2,72967,"[0, 10, 10, 22, 41, 116, 317, 919, 2021, 3488, 5330, 8503, 10577, 10609, 9572, 7457, 5404, 3529, 2242, 1287, 685, 390, 203, 127, 59, 26, 14, 4, 3, 2, 0]"
cville,780,none,0.05,True,-1,True,1,albe.json,List_Length,5,73366,"[0, 10, 10, 22, 41, 116, 317, 940, 2141, 3651, 5515, 8464, 10258, 10411, 9554, 7728, 5436, 3644, 2191, 1342, 764, 409, 222, 113, 46, 18, 3, 0]"
cville,780,none,0.05,True,-1,True,1,albe.json,List_Length,6,72879,"[0, 10, 10, 22, 41, 116, 317, 860, 2052, 3391, 5099, 7965, 10152, 10522, 9701, 7812, 5670, 3805, 2337, 1360, 785, 448, 217, 117, 49, 15, 6, 0]"
cville,780,none,0.05,True,-1,True,1,albe.json,List_Length,7,73303,"[0, 10, 10, 22, 41, 116, 317, 977, 2150, 3562, 5589, 8468, 10035, 10366, 9703, 7720, 5561, 3580, 2172, 1303, 763, 424, 241, 82, 63, 21, 7, 0]"
cville,780,none,0.05,True,-1,True,1,albe.json,List_Length,8,73642,"[0, 10, 10, 22, 41, 116, 317, 938, 2104, 3569, 5415, 8351, 10024, 10360, 9743, 7907, 5530, 3678, 2320, 1403, 811, 450, 256, 144, 73, 35, 9, 5, 0, 1, 0]"
cville,780,none,0.05,True,-1,True,1,albe.json,List_Length,9,73108,"[0, 10, 10, 22, 41, 116, 317, 940, 2117, 3667, 5581, 8628, 10309, 10171, 9472, 7428, 5412, 3545, 2231, 1347, 808, 427, 267, 144, 56, 27, 9, 4, 1, 1, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_I,1,72799,"[0, 10, 10, 22, 41, 116, 317, 968, 2165, 3528, 5327, 8556, 10420, 10512, 9573, 7596, 5335, 3507, 2169, 1219, 653, 371, 191, 116, 46, 19, 8, 2, 1, 1, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,Degree_I,3,72758,"[0, 10, 10, 22, 41, 116, 317, 977, 2079, 3491, 5584, 8529, 10279, 10453, 9442, 7537, 5414, 3466, 2146, 1255, 762, 394, 214, 122, 50, 30, 13, 3, 1, 1, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,Degree_I,6,73056,"[0, 10, 10, 22, 41, 116, 317, 975, 2151, 3515, 5252, 8325, 10600, 10596, 9672, 7716, 5574, 3536, 2143, 1184, 676, 336, 167, 77, 30, 9, 2, 2, 1, 1, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,Degree_I,2,72921,"[0, 10, 10, 22, 41, 116, 317, 969, 2121, 3524, 5382, 8339, 10302, 10417, 9691, 7765, 5434, 3517, 2193, 1241, 695, 385, 217, 121, 54, 26, 10, 0, 2, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_I,5,72949,"[0, 10, 10, 22, 41, 116, 317, 932, 2154, 3497, 5269, 8186, 10396, 10604, 9716, 7698, 5488, 3586, 2192, 1300, 669, 350, 209, 101, 52, 18, 10, 1, 2, 0, 1, 2, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,Degree_I,7,73349,"[0, 10, 10, 22, 41, 116, 317, 949, 2124, 3454, 5542, 8511, 10506, 10538, 9829, 7730, 5458, 3566, 2118, 1229, 647, 355, 153, 84, 27, 10, 3, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_I,2,73084,"[0, 10, 10, 22, 41, 116, 317, 931, 2109, 3549, 5514, 8519, 10218, 10284, 9444, 7673, 5478, 3655, 2255, 1271, 796, 421, 228, 118, 56, 28, 11, 6, 2, 2, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_I,0,72654,"[0, 10, 10, 22, 41, 116, 317, 940, 2041, 3315, 5022, 8038, 10216, 10393, 9699, 7921, 5651, 3734, 2277, 1312, 746, 415, 235, 114, 48, 16, 4, 1, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_I,6,72580,"[0, 10, 10, 22, 41, 116, 317, 969, 2088, 3505, 5309, 8477, 10489, 10252, 9407, 7702, 5399, 3457, 2150, 1270, 731, 409, 229, 120, 72, 19, 7, 2, 1, 0]"
cville,800,none,0.05,True,-1,True,1,albe.json,List_Length,0,73326,"[0, 10, 10, 22, 41, 116, 317, 943, 2066, 3451, 5300, 8172, 10178, 10247, 9763, 7786, 5655, 3740, 2402, 1377, 782, 459, 263, 129, 64, 21, 10, 2, 0]"
cville,720,none,0.05,True,-1,True,1,albe.json,Degree_I,8,72996,"[0, 10, 10, 22, 41, 116, 317, 973, 2110, 3531, 5416, 8457, 10487, 10604, 9820, 7565, 5362, 3480, 2080, 1215, 642, 368, 182, 105, 48, 19, 10, 5, 1, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,Degree_I,0,72996,"[0, 10, 10, 22, 41, 116, 317, 960, 2072, 3491, 5328, 8288, 10334, 10439, 9730, 7651, 5570, 3517, 2227, 1301, 738, 409, 237, 115, 50, 17, 6, 0]"
cville,740,none,0.05,True,-1,True,1,albe.json,Degree_I,4,73210,"[0, 10, 10, 22, 41, 116, 317, 910, 2127, 3448, 5217, 8014, 10029, 10373, 9769, 8051, 5734, 3804, 2349, 1346, 703, 414, 224, 112, 43, 22, 5, 0]"
cville,800,none,0.05,True,-1,True,1,albe.json,List_Length,1,73744,"[0, 10, 10, 22, 41, 116, 317, 935, 2120, 3350, 4982, 7963, 10319, 10783, 9938, 7987, 5664, 3791, 2343, 1394, 783, 424, 249, 112, 54, 27, 7, 3, 0]"
