G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,epsilon,from_cache,agent,trial_id,infection_count,infections_step
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,4,37821,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 445, 595, 855, 1300, 1781, 2449, 3201, 3734, 4246, 4361, 3972, 3214, 2375, 1717, 1115, 749, 452, 310, 169, 90, 40, 18, 15, 4, 4, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,5,38010,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 454, 601, 916, 1318, 1824, 2629, 3406, 4143, 4473, 4323, 3857, 3083, 2239, 1547, 1052, 661, 406, 230, 118, 53, 33, 15, 11, 7, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,7,37690,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 442, 593, 878, 1183, 1690, 2264, 2769, 3491, 4120, 4313, 3980, 3411, 2669, 1874, 1316, 816, 549, 341, 191, 96, 44, 26, 11, 5, 2, 5, 0, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,0,37608,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 525, 686, 956, 1370, 1953, 2669, 3381, 3909, 4302, 4283, 3733, 3037, 2163, 1587, 1021, 602, 378, 199, 127, 42, 32, 15, 15, 6, 5, 2, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,9,37933,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 497, 678, 898, 1296, 1810, 2441, 3213, 3907, 4287, 4403, 3984, 3174, 2350, 1640, 1094, 724, 422, 253, 124, 62, 30, 16, 8, 6, 4, 1, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,6,37581,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 470, 667, 890, 1304, 1801, 2395, 3132, 3762, 4392, 4302, 3967, 3181, 2364, 1722, 1055, 682, 440, 240, 103, 52, 22, 13, 7, 4, 1, 2, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,1,37632,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 494, 641, 943, 1372, 1938, 2640, 3336, 4016, 4389, 4431, 3796, 3029, 2230, 1487, 934, 616, 332, 189, 101, 49, 32, 9, 7, 7, 3, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,3,37814,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 661, 956, 1349, 1865, 2512, 3363, 3888, 4364, 4290, 3829, 3007, 2295, 1592, 1103, 713, 419, 255, 129, 55, 32, 22, 8, 6, 2, 2, 2, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,2,mont.json,Degree_V2_noisy,2,37782,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 636, 853, 1215, 1742, 2339, 3150, 3753, 4348, 4438, 3999, 3235, 2490, 1729, 1176, 720, 416, 244, 126, 46, 14, 11, 7, 4, 2, 2, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,1,mont.json,Degree_V2_noisy,0,38080,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 487, 609, 881, 1224, 1720, 2322, 3066, 3785, 4338, 4405, 4040, 3238, 2495, 1761, 1256, 779, 492, 293, 136, 75, 34, 19, 3, 6, 2, 2, 2, 0]"
