G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville,1350,none,0.05,True,0.8,True,0.5,b5.json,Random,2,71143,"[0, 10, 10, 22, 41, 116, 317, 920, 1931, 3189, 5078, 7817, 9715, 10006, 9343, 7661, 5522, 3708, 2366, 1461, 869, 533, 271, 137, 59, 31, 7, 3, 0]"
cville,1350,none,0.05,True,0.8,True,0.5,b5.json,Random,9,71378,"[0, 10, 10, 22, 41, 116, 317, 986, 2005, 3135, 4802, 7415, 9476, 10035, 9608, 7756, 5848, 3810, 2490, 1524, 874, 557, 264, 141, 75, 35, 16, 5, 4, 1, 0]"
cville,1350,none,0.05,True,0.8,True,0.5,b5.json,Random,1,71554,"[0, 10, 10, 22, 41, 116, 317, 980, 1899, 3060, 4912, 7709, 9678, 10102, 9438, 7763, 5738, 3920, 2501, 1511, 847, 483, 267, 147, 46, 25, 6, 2, 3, 0, 1, 0]"
cville,1350,none,0.05,True,0.8,True,0.5,b5.json,Random,5,71584,"[0, 10, 10, 22, 41, 116, 317, 968, 1918, 3111, 4732, 7250, 9519, 9971, 9596, 8008, 5938, 4025, 2568, 1585, 884, 502, 285, 107, 61, 25, 11, 4, 0]"
cville,1350,none,0.05,True,0.8,True,0.5,b5.json,Random,10,71515,"[0, 10, 10, 22, 41, 116, 317, 936, 1886, 3069, 4937, 7682, 9501, 10046, 9529, 7824, 5762, 3960, 2547, 1482, 903, 467, 271, 115, 55, 22, 4, 1, 0]"
cville,1350,none,0.05,True,0.8,True,0.5,b5.json,Random,3,71432,"[0, 10, 10, 22, 41, 116, 317, 964, 1963, 3020, 4606, 7564, 9573, 10066, 9468, 7917, 5879, 4002, 2530, 1481, 880, 495, 260, 131, 64, 30, 11, 7, 2, 1, 1, 0, 1, 0]"
cville,1350,none,0.05,True,0.8,True,0.5,b5.json,Random,0,71602,"[0, 10, 10, 22, 41, 116, 317, 922, 1946, 3076, 4873, 7566, 9616, 9881, 9278, 7801, 5857, 4043, 2637, 1588, 921, 516, 278, 139, 75, 26, 16, 13, 10, 2, 3, 1, 1, 1, 0]"
cville,1350,none,0.05,True,0.8,True,0.5,b5.json,Random,4,71214,"[0, 10, 10, 22, 41, 116, 317, 940, 1946, 3092, 4840, 7505, 9668, 10124, 9402, 7952, 5804, 3808, 2406, 1393, 845, 487, 269, 123, 57, 26, 10, 1, 0]"
cville,1350,none,0.05,True,0.8,True,0.5,b5.json,Random,6,71375,"[0, 10, 10, 22, 41, 116, 317, 947, 1920, 3222, 4942, 7573, 9186, 9817, 9334, 7898, 5881, 4009, 2615, 1602, 859, 517, 280, 142, 71, 26, 12, 5, 0, 1, 0]"
cville,1350,none,0.05,True,0.8,True,0.5,b5.json,Random,7,71087,"[0, 10, 10, 22, 41, 116, 317, 912, 1889, 3014, 4765, 7336, 9359, 9736, 9384, 7905, 6093, 4086, 2552, 1568, 893, 528, 275, 158, 71, 30, 11, 5, 0, 1, 0]"
cville,1350,none,0.05,True,0.8,True,0.5,b5.json,Random,16,71343,"[0, 10, 10, 22, 41, 116, 317, 957, 1900, 3048, 4935, 7613, 9387, 9750, 9514, 7884, 5912, 3830, 2488, 1585, 953, 518, 314, 134, 65, 22, 12, 4, 1, 1, 0]"
cville,1350,none,0.05,True,0.8,True,0.5,b5.json,Random,13,71611,"[0, 10, 10, 22, 41, 116, 317, 963, 1903, 3095, 4883, 7547, 9452, 9937, 9408, 7776, 5932, 4100, 2581, 1572, 898, 508, 285, 159, 60, 20, 10, 4, 1, 1, 0]"
