G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville,1350,none,0.05,True,0.5,True,1,b5.json,segmented_greedy,1,72363,"[0, 10, 10, 22, 41, 116, 317, 933, 1988, 3283, 5047, 7527, 9794, 10376, 9839, 7825, 5716, 3878, 2458, 1459, 778, 468, 244, 133, 55, 28, 9, 9, 0]"
cville,1350,none,0.05,True,0.5,True,1,b5.json,segmented_greedy,8,72254,"[0, 10, 10, 22, 41, 116, 317, 962, 1979, 3217, 5074, 7881, 9820, 10289, 9640, 7859, 5780, 3793, 2277, 1436, 830, 452, 228, 132, 49, 24, 8, 4, 4, 0]"
cville,1350,none,0.05,True,0.5,True,1,b5.json,segmented_greedy,5,72547,"[0, 10, 10, 22, 41, 116, 317, 992, 2036, 3298, 5125, 7852, 10085, 10597, 9681, 7839, 5503, 3723, 2273, 1366, 776, 446, 223, 127, 59, 19, 8, 1, 2, 0]"
cville,1350,none,0.05,True,0.5,True,1,b5.json,segmented_greedy,0,72185,"[0, 10, 10, 22, 41, 116, 317, 947, 2017, 3249, 4950, 7573, 9965, 10506, 9602, 7806, 5606, 3789, 2361, 1434, 844, 502, 284, 128, 69, 25, 4, 5, 1, 0, 2, 0]"
cville,1350,none,0.05,True,0.5,True,1,b5.json,segmented_greedy,3,72220,"[0, 10, 10, 22, 41, 116, 317, 943, 2025, 3368, 5195, 8090, 10073, 10348, 9472, 7770, 5516, 3596, 2268, 1311, 818, 444, 241, 127, 61, 23, 7, 6, 0, 2, 0]"
cville,1350,none,0.05,True,0.52,True,1,b5.json,segmented_greedy,0,72162,"[0, 10, 10, 22, 41, 116, 317, 1017, 2003, 3337, 5305, 7937, 10016, 10515, 9486, 7660, 5588, 3590, 2279, 1360, 744, 416, 225, 100, 44, 14, 9, 1, 0]"
cville,1350,none,0.05,True,0.51,True,1,b5.json,segmented_greedy,1,72746,"[0, 10, 10, 22, 41, 116, 317, 921, 1938, 3268, 5283, 7998, 9984, 10212, 9698, 7813, 5729, 3859, 2346, 1373, 828, 484, 252, 143, 61, 27, 8, 4, 0, 1, 0]"
cville,1350,none,0.05,True,0.5,True,1,b5.json,segmented_greedy,2,72308,"[0, 10, 10, 22, 41, 116, 317, 929, 1933, 3105, 4933, 7510, 9654, 10221, 9595, 7962, 5959, 3998, 2486, 1520, 868, 533, 288, 169, 79, 28, 11, 7, 3, 0, 1, 0]"
cville,1350,none,0.05,True,0.51,True,1,b5.json,segmented_greedy,7,72467,"[0, 10, 10, 22, 41, 116, 317, 886, 1838, 3026, 4888, 7392, 9495, 10565, 10077, 8175, 5852, 3913, 2476, 1496, 878, 510, 242, 128, 65, 30, 13, 5, 1, 0]"
cville,1350,none,0.05,True,0.5,True,1,b5.json,segmented_greedy,6,72288,"[0, 10, 10, 22, 41, 116, 317, 972, 2068, 3222, 4993, 7691, 9450, 10126, 9612, 7911, 5757, 3935, 2504, 1564, 928, 524, 261, 151, 57, 27, 9, 6, 4, 0]"
