G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville,720,none,0.05,True,0.8,True,1,1,b5.json,NoIntervention,1,75785,"[0, 10, 10, 22, 41, 116, 317, 955, 2516, 4391, 6346, 9162, 11004, 10818, 9742, 7462, 4997, 3182, 1940, 1161, 679, 389, 204, 129, 85, 53, 24, 15, 8, 4, 1, 1, 0, 1, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,NoIntervention,5,75316,"[0, 10, 10, 22, 41, 116, 317, 983, 2448, 4154, 5801, 9002, 11276, 10886, 9731, 7388, 5148, 3194, 1996, 1178, 709, 391, 222, 116, 82, 40, 23, 17, 7, 4, 2, 1, 1, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,NoIntervention,3,75481,"[0, 10, 10, 22, 41, 116, 317, 949, 2422, 4309, 6076, 9230, 11095, 10956, 9668, 7385, 5082, 3175, 1943, 1163, 668, 364, 206, 129, 66, 45, 16, 10, 5, 2, 0, 1, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,NoIntervention,9,75633,"[0, 10, 10, 22, 41, 116, 317, 963, 2399, 4249, 5995, 9181, 11121, 10872, 9780, 7464, 5178, 3253, 1933, 1114, 685, 377, 248, 123, 85, 43, 17, 18, 5, 5, 4, 3, 1, 1, 0]"
cville,2250,none,0.05,True,0.8,True,1,1,b5.json,NoIntervention,3,75481,"[0, 10, 10, 22, 41, 116, 317, 951, 2449, 4274, 6142, 9010, 10625, 10711, 9653, 7533, 5270, 3450, 2041, 1172, 699, 409, 249, 145, 75, 45, 24, 19, 10, 6, 2, 1, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,NoIntervention,0,75536,"[0, 10, 10, 22, 41, 116, 317, 998, 2429, 4342, 6524, 9523, 10875, 10649, 9477, 7132, 5041, 3245, 1953, 1149, 697, 393, 235, 145, 73, 52, 31, 26, 12, 9, 6, 2, 2, 0]"
cville,2250,none,0.05,True,0.8,True,1,1,b5.json,NoIntervention,5,75487,"[0, 10, 10, 22, 41, 116, 317, 929, 2389, 4139, 5844, 8889, 10741, 10928, 9762, 7547, 5243, 3374, 2091, 1247, 767, 466, 274, 145, 91, 42, 26, 21, 12, 2, 2, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,NoIntervention,4,75502,"[0, 10, 10, 22, 41, 116, 317, 1010, 2626, 4532, 6507, 9473, 11037, 10655, 9544, 7181, 4887, 3153, 1921, 1045, 584, 363, 185, 101, 80, 42, 27, 14, 11, 5, 1, 1, 1, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,NoIntervention,7,75562,"[0, 10, 10, 22, 41, 116, 317, 949, 2397, 4483, 6406, 9617, 10942, 10637, 9352, 7253, 4976, 3277, 2006, 1153, 665, 394, 240, 120, 71, 53, 18, 10, 5, 7, 4, 1, 4, 2, 2, 1, 1, 0]"
cville,2250,none,0.05,True,0.8,True,1,1,b5.json,NoIntervention,1,75396,"[0, 10, 10, 22, 41, 116, 317, 897, 2353, 4216, 6065, 9054, 10857, 10950, 9797, 7435, 5140, 3238, 2001, 1150, 743, 422, 249, 139, 80, 43, 24, 18, 7, 1, 1, 0]"
cville,2250,none,0.05,True,0.8,True,1,1,b5.json,NoIntervention,7,75080,"[0, 10, 10, 22, 41, 116, 317, 944, 2427, 4250, 5942, 9034, 11038, 11021, 9631, 7192, 4997, 3229, 1972, 1193, 705, 417, 237, 144, 76, 56, 23, 14, 8, 6, 6, 2, 0]"
cville,720,none,0.05,True,0.8,True,1,1,b5.json,NoIntervention,2,75583,"[0, 10, 10, 22, 41, 116, 317, 962, 2437, 4367, 6326, 9339, 11000, 10783, 9551, 7339, 5079, 3253, 1962, 1184, 667, 388, 202, 111, 57, 31, 16, 5, 5, 2, 1, 0]"
