G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,1,43342,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 556, 774, 1168, 1741, 2712, 3834, 5284, 6217, 6355, 5315, 3789, 2324, 1385, 714, 346, 131, 63, 17, 5, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,0,43128,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 599, 757, 1176, 1906, 2762, 3922, 5354, 6360, 6364, 5079, 3574, 2255, 1278, 603, 321, 125, 59, 17, 4, 2, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,2,43581,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 566, 800, 1292, 1976, 3124, 4430, 5772, 6623, 6191, 4858, 3316, 2019, 1106, 541, 241, 83, 26, 4, 2, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,8,43096,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 568, 770, 1136, 1813, 2754, 4012, 5335, 6264, 6176, 5005, 3696, 2327, 1320, 729, 349, 166, 49, 17, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,3,43437,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 616, 885, 1335, 1904, 3028, 4291, 5626, 6386, 6193, 5002, 3419, 2056, 1155, 547, 227, 99, 43, 12, 3, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,9,43189,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 544, 760, 1176, 1814, 2827, 3999, 5313, 6345, 6201, 5213, 3657, 2285, 1303, 670, 294, 112, 45, 16, 5, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,13,43702,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 599, 824, 1245, 1962, 2998, 4224, 5582, 6261, 6124, 5065, 3622, 2225, 1271, 630, 297, 120, 33, 8, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,7,43329,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 596, 855, 1253, 1906, 2904, 4199, 5470, 6413, 6179, 4981, 3486, 2145, 1246, 636, 293, 107, 39, 8, 3, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,4,43135,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 593, 799, 1257, 1887, 2878, 4020, 5195, 6296, 6215, 5076, 3646, 2232, 1253, 666, 331, 118, 46, 7, 4, 5, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,14,43554,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 604, 815, 1298, 1960, 3202, 4461, 5819, 6412, 6186, 4804, 3295, 2062, 1111, 544, 235, 105, 25, 5, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,5,43533,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 555, 798, 1240, 1917, 2944, 4179, 5499, 6385, 6240, 4952, 3535, 2197, 1314, 657, 298, 143, 48, 16, 4, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,6,43255,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 567, 834, 1241, 2001, 3021, 4271, 5569, 6336, 6143, 4904, 3424, 2130, 1161, 600, 264, 123, 39, 11, 4, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,12,43360,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 591, 811, 1292, 1968, 2971, 4325, 5651, 6456, 6076, 4959, 3437, 2083, 1115, 578, 266, 113, 40, 14, 4, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,10,43207,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 599, 800, 1253, 1961, 3018, 4321, 5591, 6335, 6160, 5056, 3391, 2075, 1113, 544, 240, 95, 32, 10, 1, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,15,43537,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 590, 825, 1299, 1976, 3022, 4223, 5530, 6275, 6301, 4997, 3503, 2188, 1137, 633, 273, 113, 30, 9, 1, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,17,43408,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 610, 859, 1372, 2143, 3294, 4737, 5921, 6480, 5949, 4651, 3123, 1827, 992, 490, 211, 94, 31, 13, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,19,43110,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 588, 873, 1288, 2011, 3021, 4418, 5646, 6384, 5990, 4802, 3325, 1996, 1150, 561, 272, 109, 56, 7, 3, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,20,43600,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 547, 781, 1243, 1969, 3079, 4507, 5760, 6429, 6210, 4956, 3369, 2059, 1124, 587, 245, 85, 27, 12, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,16,43273,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 606, 849, 1340, 2099, 3144, 4494, 5747, 6497, 6001, 4672, 3219, 2006, 1075, 546, 227, 95, 22, 17, 5, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,22,43028,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 558, 806, 1238, 1955, 3018, 4402, 5711, 6528, 6000, 4772, 3230, 2022, 1164, 590, 274, 99, 39, 10, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,24,43411,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 590, 875, 1344, 2027, 3146, 4411, 5833, 6437, 6140, 4798, 3309, 1953, 1066, 524, 237, 75, 33, 2, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,18,43284,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 551, 803, 1169, 1748, 2712, 3913, 5267, 6205, 6173, 5205, 3795, 2435, 1365, 767, 339, 163, 47, 16, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,25,43368,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 558, 791, 1232, 1848, 2843, 4136, 5447, 6359, 6248, 5144, 3619, 2194, 1228, 633, 315, 114, 38, 10, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,11,43482,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 560, 794, 1174, 1803, 2836, 4108, 5405, 6319, 6171, 5219, 3741, 2311, 1302, 660, 301, 119, 33, 12, 3, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,23,43225,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 602, 883, 1265, 2000, 2895, 4265, 5455, 6345, 5975, 4995, 3433, 2166, 1243, 623, 285, 120, 36, 24, 4, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,21,43361,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 589, 851, 1267, 1952, 2924, 4263, 5589, 6375, 6107, 5033, 3443, 2096, 1263, 557, 277, 105, 40, 12, 7, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,26,43180,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 533, 782, 1110, 1789, 2796, 4062, 5421, 6108, 6205, 5187, 3751, 2303, 1358, 679, 294, 124, 55, 11, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,27,43419,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 638, 860, 1368, 2238, 3319, 4681, 5750, 6378, 5949, 4633, 3197, 1953, 1014, 459, 239, 96, 25, 10, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,28,43171,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 589, 856, 1259, 1957, 3040, 4308, 5513, 6285, 5993, 5032, 3395, 2138, 1164, 613, 265, 113, 28, 11, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,31,43473,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 590, 801, 1267, 2038, 3082, 4363, 5632, 6479, 6137, 4960, 3286, 2037, 1170, 586, 266, 101, 46, 14, 4, 2, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,33,43337,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 579, 764, 1136, 1773, 2751, 3982, 5190, 6222, 6274, 5276, 3769, 2370, 1362, 732, 335, 145, 50, 13, 4, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,29,43344,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 600, 802, 1213, 1935, 2973, 4190, 5461, 6382, 6123, 5067, 3445, 2238, 1236, 623, 277, 109, 46, 13, 0, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,32,43384,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 548, 786, 1172, 1915, 2744, 4162, 5557, 6494, 6155, 5145, 3574, 2199, 1236, 641, 295, 105, 41, 4, 0, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,34,43447,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 638, 882, 1310, 2022, 3100, 4329, 5736, 6451, 5962, 4841, 3232, 2062, 1187, 616, 301, 114, 41, 12, 0, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,36,43524,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 557, 828, 1271, 2018, 3140, 4520, 5837, 6524, 6091, 4816, 3255, 2024, 1092, 575, 243, 93, 20, 8, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,30,43325,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 587, 770, 1135, 1817, 2812, 4030, 5394, 6124, 6237, 5153, 3729, 2399, 1338, 678, 313, 135, 48, 8, 5, 1, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,35,43267,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 551, 794, 1244, 1957, 2943, 4166, 5460, 6330, 6122, 5000, 3504, 2206, 1274, 655, 287, 111, 38, 10, 3, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,38,43257,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 595, 842, 1273, 1961, 2904, 4307, 5555, 6293, 6004, 4900, 3501, 2098, 1280, 642, 304, 132, 40, 12, 4, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,37,43243,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 559, 753, 1146, 1829, 2724, 4009, 5412, 6265, 6254, 5244, 3624, 2306, 1308, 713, 287, 150, 37, 10, 2, 0, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,39,43632,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 584, 752, 1186, 1850, 2886, 4105, 5364, 6306, 6149, 5263, 3719, 2379, 1325, 672, 307, 126, 39, 5, 4, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,40,43137,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 574, 801, 1217, 1843, 2802, 4148, 5442, 6303, 6148, 5053, 3515, 2300, 1241, 692, 282, 107, 45, 10, 4, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,48,43279,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 565, 791, 1157, 1891, 2922, 4236, 5695, 6389, 6146, 4966, 3514, 2127, 1231, 627, 264, 101, 33, 10, 4, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,41,43665,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 592, 825, 1287, 2069, 3091, 4553, 5863, 6759, 6152, 4722, 3339, 1899, 1051, 493, 240, 85, 27, 5, 2, 0, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,44,43620,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 586, 789, 1230, 1891, 2769, 4009, 5400, 6422, 6157, 5205, 3729, 2387, 1310, 654, 314, 114, 36, 5, 3, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,46,43405,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 614, 887, 1312, 2076, 3137, 4401, 5624, 6227, 6158, 4816, 3424, 2070, 1103, 549, 251, 107, 22, 11, 3, 2, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,45,43203,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 579, 802, 1203, 1828, 2765, 4056, 5500, 6270, 6212, 5146, 3569, 2293, 1238, 680, 291, 122, 35, 4, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,42,43492,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 590, 806, 1297, 2022, 3015, 4324, 5568, 6250, 5958, 4972, 3547, 2191, 1241, 623, 294, 118, 35, 20, 5, 3, 0, 3, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,43,43312,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 547, 748, 1158, 1802, 2758, 4080, 5407, 6230, 6141, 5210, 3637, 2304, 1373, 706, 360, 162, 51, 19, 2, 3, 3, 0, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,47,43332,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 612, 856, 1372, 2169, 3227, 4633, 5947, 6566, 5875, 4627, 3086, 1914, 1017, 477, 223, 75, 33, 10, 2, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DegGreedy_fair,49,43127,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 601, 828, 1231, 1850, 2846, 4091, 5501, 6247, 6076, 4925, 3556, 2225, 1314, 677, 333, 140, 53, 18, 4, 1, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DepRound_fair,0,43652,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 592, 843, 1276, 1974, 3053, 4433, 5860, 6631, 6111, 5016, 3326, 1974, 1054, 529, 254, 87, 22, 5, 2, 0]"
montgomery_extra,750,none,0.05,True,0.8,True,1,c7.json,DepRound_fair,3,43603,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 571, 806, 1344, 1980, 3128, 4419, 5743, 6558, 6116, 4878, 3374, 2026, 1103, 572, 246, 85, 31, 7, 4, 2, 0]"
