G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,epsilon,from_cache,agent,trial_id,infection_count,infections_step
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.1,mont.json,Degree_V2_noisy,4,38074,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 447, 629, 883, 1261, 1829, 2526, 3375, 4020, 4610, 4460, 3847, 3171, 2383, 1624, 1017, 628, 363, 219, 94, 43, 20, 11, 4, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.1,mont.json,Degree_V2_noisy,2,37911,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 512, 673, 912, 1274, 1828, 2495, 3230, 3915, 4334, 4374, 4003, 3102, 2399, 1634, 1032, 661, 418, 237, 125, 53, 41, 21, 18, 5, 2, 2, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.2,mont.json,Degree_V2_noisy,6,38070,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 488, 642, 912, 1368, 1932, 2601, 3416, 4037, 4503, 4456, 3905, 3095, 2230, 1530, 983, 624, 335, 206, 99, 50, 27, 12, 6, 3, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.2,mont.json,Degree_V2_noisy,9,38086,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 651, 933, 1381, 1869, 2600, 3279, 4072, 4422, 4372, 3890, 3145, 2329, 1539, 1017, 662, 407, 220, 111, 56, 26, 10, 4, 1, 1, 2, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.2,mont.json,Degree_V2_noisy,8,37828,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 519, 654, 896, 1302, 1722, 2504, 3043, 3788, 4352, 4383, 3983, 3138, 2427, 1741, 1082, 688, 437, 254, 144, 77, 41, 21, 12, 5, 4, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.2,mont.json,Degree_V2_noisy,2,37928,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 628, 937, 1349, 1848, 2426, 3204, 3835, 4325, 4362, 3913, 3166, 2357, 1703, 1130, 714, 411, 231, 140, 83, 30, 27, 8, 4, 1, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.1,mont.json,Degree_V2_noisy,0,38181,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 445, 590, 805, 1210, 1732, 2443, 3256, 4040, 4311, 4335, 3985, 3133, 2553, 1719, 1189, 760, 488, 232, 139, 83, 50, 29, 21, 9, 10, 2, 1, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.2,mont.json,Degree_V2_noisy,5,37657,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 540, 689, 965, 1399, 1964, 2725, 3363, 3989, 4278, 4164, 3681, 2982, 2157, 1607, 1017, 651, 407, 223, 110, 52, 35, 21, 13, 7, 3, 3, 2, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.2,mont.json,Degree_V2_noisy,3,37868,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 469, 582, 801, 1092, 1606, 2177, 2789, 3571, 4203, 4389, 4089, 3512, 2656, 1978, 1349, 840, 521, 288, 178, 85, 41, 25, 8, 6, 1, 1, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.2,mont.json,Degree_V2_noisy,4,38310,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 460, 633, 892, 1356, 1893, 2471, 3290, 3890, 4394, 4358, 3948, 3195, 2419, 1681, 1129, 706, 457, 239, 158, 64, 35, 17, 11, 1, 3, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.2,mont.json,Degree_V2_noisy,7,38030,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 478, 584, 829, 1207, 1623, 2277, 3007, 3734, 4298, 4403, 4080, 3391, 2571, 1819, 1234, 785, 518, 285, 143, 70, 41, 15, 15, 6, 3, 2, 0, 1, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.1,mont.json,Degree_V2_noisy,1,37959,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 514, 636, 907, 1276, 1779, 2402, 3168, 3799, 4283, 4315, 3889, 3219, 2408, 1754, 1154, 778, 468, 293, 149, 73, 41, 22, 10, 6, 3, 1, 2, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.1,mont.json,Degree_V2_noisy,5,38375,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 531, 689, 1068, 1532, 2242, 2971, 3734, 4256, 4500, 4215, 3774, 2815, 2008, 1388, 888, 545, 283, 176, 76, 37, 24, 4, 4, 3, 1, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.1,mont.json,Degree_V2_noisy,7,37940,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 500, 615, 893, 1302, 1810, 2468, 3194, 3928, 4379, 4389, 3993, 3200, 2379, 1646, 1086, 659, 387, 230, 134, 64, 33, 19, 5, 7, 6, 3, 1, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.1,mont.json,Degree_V2_noisy,9,37825,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 455, 588, 802, 1161, 1751, 2415, 3059, 3716, 4101, 4248, 3933, 3394, 2602, 1866, 1245, 790, 505, 276, 146, 81, 48, 19, 6, 3, 3, 2, 0]"
montgomery,1500,none,0.05,True,0.3608833011792184,True,1,0.1,mont.json,Degree_V2_noisy,8,38010,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 634, 892, 1299, 1792, 2493, 3186, 3854, 4305, 4318, 3771, 3193, 2379, 1713, 1188, 757, 484, 296, 168, 94, 49, 19, 16, 7, 5, 2, 2, 2, 1, 0]"
