G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,2,38138,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 448, 627, 888, 1225, 1747, 2300, 3075, 3793, 4307, 4503, 4166, 3482, 2541, 1699, 1098, 726, 422, 253, 143, 56, 24, 5, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,1,37762,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 634, 880, 1223, 1751, 2424, 3134, 3847, 4311, 4323, 4062, 3260, 2502, 1652, 1133, 684, 442, 227, 114, 46, 10, 7, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,3,38248,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 513, 713, 1005, 1453, 1946, 2686, 3522, 4187, 4650, 4452, 3877, 3010, 2259, 1383, 937, 488, 297, 143, 83, 25, 6, 3, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,6,37885,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 424, 631, 924, 1326, 1803, 2462, 3278, 3966, 4341, 4380, 3953, 3248, 2348, 1630, 1044, 672, 382, 219, 139, 65, 24, 10, 6, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,4,38263,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 456, 648, 877, 1206, 1760, 2411, 3103, 3806, 4390, 4627, 4339, 3377, 2479, 1652, 1138, 641, 366, 212, 102, 44, 11, 6, 2, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,0,37948,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 669, 990, 1356, 2007, 2676, 3518, 4059, 4509, 4532, 3895, 3013, 2195, 1362, 925, 536, 309, 175, 80, 32, 6, 4, 4, 1, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,7,37917,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 668, 882, 1284, 1823, 2541, 3204, 3999, 4482, 4414, 3987, 3185, 2386, 1621, 998, 606, 358, 199, 116, 49, 10, 7, 1, 2, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,8,38002,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 433, 576, 813, 1067, 1491, 2054, 2709, 3486, 4050, 4388, 4229, 3711, 2798, 2077, 1390, 969, 547, 319, 169, 72, 32, 5, 2, 2, 1, 2, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,9,37854,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 470, 656, 888, 1293, 1789, 2431, 3180, 3859, 4366, 4466, 4022, 3346, 2360, 1673, 1040, 634, 379, 217, 106, 42, 19, 6, 2, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,5,38062,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 640, 881, 1261, 1668, 2356, 3118, 3940, 4259, 4479, 4043, 3396, 2532, 1782, 1182, 691, 398, 192, 102, 37, 17, 3, 3, 1, 1, 2, 2, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,Random,2,39988,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 488, 721, 1102, 1749, 2590, 3696, 4733, 5302, 5352, 4610, 3393, 2236, 1463, 847, 481, 302, 163, 85, 41, 14, 7, 2, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,Random,3,39906,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 449, 675, 1048, 1532, 2455, 3484, 4559, 5244, 5339, 4598, 3601, 2439, 1637, 965, 574, 335, 187, 104, 44, 25, 2, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,Random,0,39865,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 448, 663, 1073, 1581, 2439, 3545, 4563, 5178, 5160, 4538, 3579, 2460, 1702, 1043, 624, 325, 177, 97, 45, 10, 3, 1, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,EC,0,39330,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 474, 695, 1056, 1580, 2359, 3276, 4184, 5119, 5122, 4625, 3550, 2565, 1683, 1042, 633, 375, 193, 123, 44, 18, 3, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,Random,4,40070,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 735, 1153, 1817, 2676, 3807, 4778, 5395, 5294, 4404, 3338, 2289, 1395, 819, 508, 267, 156, 71, 46, 20, 6, 1, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,Random,1,39697,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 448, 693, 1016, 1607, 2391, 3498, 4625, 5337, 5362, 4623, 3453, 2381, 1517, 981, 552, 305, 153, 76, 48, 10, 7, 1, 1, 1, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,Random,5,40056,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 464, 720, 1129, 1771, 2593, 3610, 4541, 5123, 5112, 4473, 3533, 2493, 1618, 1021, 578, 319, 164, 101, 54, 23, 5, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,EC,2,39230,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 496, 739, 1151, 1757, 2582, 3595, 4437, 5054, 4999, 4335, 3361, 2333, 1519, 974, 616, 333, 195, 81, 45, 11, 4, 3, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,Random,8,39921,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 767, 1199, 1761, 2647, 3688, 4722, 5425, 5242, 4499, 3313, 2301, 1335, 890, 467, 282, 145, 81, 44, 12, 3, 3, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,EC,1,39491,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 477, 639, 1021, 1576, 2353, 3368, 4347, 4994, 5080, 4581, 3608, 2611, 1721, 1049, 651, 379, 238, 112, 48, 20, 6, 2, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,Random,6,40132,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 509, 746, 1176, 1756, 2728, 3815, 4941, 5550, 5353, 4466, 3186, 2140, 1386, 821, 448, 250, 132, 84, 25, 8, 2, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,EC,4,39596,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 482, 693, 1062, 1639, 2304, 3087, 4235, 4987, 5055, 4631, 3770, 2730, 1803, 1105, 653, 388, 189, 100, 54, 14, 4, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,Random,7,39952,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 464, 709, 1115, 1758, 2703, 3692, 4800, 5374, 5243, 4488, 3372, 2266, 1411, 911, 476, 272, 159, 76, 32, 18, 3, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,Random,9,39946,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 505, 686, 1158, 1810, 2705, 3845, 4922, 5414, 5386, 4339, 3255, 2107, 1379, 824, 467, 266, 143, 88, 29, 6, 2, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,EC,6,39607,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 491, 678, 1079, 1557, 2366, 3363, 4309, 5101, 5221, 4719, 3616, 2602, 1608, 999, 589, 342, 196, 109, 38, 12, 1, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,EC,3,39610,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 442, 652, 950, 1418, 2066, 2882, 3909, 4644, 5139, 4816, 3996, 2975, 1992, 1293, 794, 456, 269, 169, 77, 40, 10, 6, 2, 2, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,EC,5,39637,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 432, 652, 1016, 1575, 2277, 3175, 4140, 4991, 5165, 4645, 3787, 2658, 1812, 1110, 691, 424, 251, 141, 54, 25, 4, 2, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,EC,7,39440,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 457, 639, 1013, 1591, 2357, 3383, 4472, 5083, 5110, 4535, 3670, 2536, 1640, 1028, 565, 351, 199, 111, 50, 19, 14, 4, 2, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,EC,9,39421,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 452, 670, 1018, 1633, 2386, 3419, 4365, 5034, 5100, 4432, 3494, 2583, 1670, 1096, 647, 374, 230, 108, 61, 25, 10, 3, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,EC,8,39725,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 441, 634, 952, 1472, 2106, 3031, 4094, 4848, 5177, 4721, 3971, 2860, 1955, 1211, 749, 448, 243, 117, 57, 18, 4, 2, 1, 1, 1, 0, 1, 0]"
montgomery,410,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,0,38074,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 473, 650, 853, 1197, 1624, 2238, 3005, 3813, 4332, 4467, 4042, 3371, 2604, 1901, 1221, 750, 419, 277, 132, 61, 29, 3, 2, 0]"
montgomery,410,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,6,38225,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 498, 658, 887, 1284, 1805, 2417, 3194, 3960, 4305, 4524, 4107, 3404, 2511, 1654, 1040, 620, 361, 196, 113, 43, 26, 7, 1, 0]"
montgomery,410,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,5,37889,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 458, 635, 949, 1359, 1883, 2518, 3385, 3964, 4428, 4355, 3878, 3199, 2380, 1565, 1057, 596, 343, 185, 84, 42, 11, 4, 0, 1, 0]"
montgomery,410,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,1,38442,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 473, 636, 977, 1318, 1852, 2559, 3292, 4035, 4623, 4509, 4035, 3267, 2387, 1598, 1009, 628, 327, 173, 85, 37, 8, 3, 0, 1, 0]"
montgomery,410,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,7,37718,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 465, 657, 889, 1201, 1700, 2406, 3178, 3994, 4485, 4439, 4070, 3314, 2375, 1560, 941, 656, 365, 223, 120, 49, 13, 7, 1, 0]"
montgomery,410,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,3,37935,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 496, 641, 867, 1283, 1781, 2498, 3288, 4018, 4488, 4461, 3941, 3128, 2372, 1618, 1020, 645, 368, 226, 110, 44, 27, 4, 1, 0]"
montgomery,410,none,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,4,37761,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 479, 639, 965, 1309, 1824, 2425, 3203, 3968, 4443, 4406, 4010, 3183, 2289, 1614, 1039, 662, 341, 202, 96, 32, 16, 4, 2, 0]"
