G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery_extra,75,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,0,47912,"[0, 10, 10, 31, 48, 82, 191, 422, 788, 1510, 2876, 4736, 6952, 8429, 7919, 5922, 3695, 2102, 1085, 565, 281, 142, 61, 33, 11, 5, 2, 3, 1, 0]"
montgomery_extra,75,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,1,47710,"[0, 10, 10, 31, 48, 82, 191, 422, 832, 1632, 3157, 5160, 7410, 8499, 7697, 5572, 3272, 1859, 907, 487, 227, 109, 50, 29, 14, 3, 0]"
montgomery_extra,75,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,2,47905,"[0, 10, 10, 31, 48, 82, 191, 422, 810, 1643, 2986, 5094, 7373, 8590, 7799, 5616, 3466, 1929, 920, 451, 224, 109, 53, 34, 4, 5, 3, 1, 1, 0]"
montgomery_extra,75,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,3,48055,"[0, 10, 10, 31, 48, 82, 191, 422, 831, 1601, 2950, 4866, 7262, 8468, 7934, 5801, 3655, 1958, 1038, 485, 229, 110, 43, 21, 7, 1, 1, 0]"
montgomery_extra,75,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,4,48028,"[0, 10, 10, 31, 48, 82, 191, 422, 860, 1650, 3131, 5142, 7387, 8642, 7804, 5710, 3385, 1754, 924, 443, 206, 105, 57, 21, 10, 2, 1, 0]"
montgomery_extra,75,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,5,47939,"[0, 10, 10, 31, 48, 82, 191, 422, 801, 1570, 2997, 5010, 7289, 8691, 7982, 5679, 3455, 1874, 921, 462, 235, 98, 46, 21, 9, 3, 1, 1, 0]"
montgomery_extra,75,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,6,47873,"[0, 10, 10, 31, 48, 82, 191, 422, 779, 1532, 2907, 4932, 7216, 8304, 7983, 5713, 3708, 1993, 1038, 490, 256, 117, 63, 25, 14, 7, 1, 1, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,1,47942,"[0, 10, 10, 31, 48, 82, 191, 422, 788, 1628, 2975, 5013, 7337, 8487, 7884, 5833, 3505, 1936, 944, 438, 229, 83, 39, 16, 11, 1, 1, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,3,47937,"[0, 10, 10, 31, 48, 82, 191, 422, 835, 1623, 3049, 5139, 7336, 8602, 7845, 5676, 3417, 1852, 945, 474, 199, 84, 41, 18, 5, 2, 1, 0]"
montgomery_extra,75,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,9,47913,"[0, 10, 10, 31, 48, 82, 191, 422, 816, 1569, 2980, 5022, 7322, 8634, 7795, 5702, 3504, 1906, 985, 459, 230, 98, 59, 18, 13, 3, 3, 1, 0]"
montgomery_extra,75,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,8,47686,"[0, 10, 10, 31, 48, 82, 191, 422, 776, 1512, 2858, 4870, 7025, 8383, 7836, 5862, 3602, 2055, 1096, 533, 275, 106, 58, 21, 11, 6, 4, 1, 1, 1, 0]"
montgomery_extra,75,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,7,48166,"[0, 10, 10, 31, 48, 82, 191, 422, 834, 1678, 3091, 5227, 7472, 8519, 7784, 5591, 3484, 1886, 923, 452, 218, 103, 55, 35, 11, 7, 0, 2, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,2,47593,"[0, 10, 10, 31, 48, 82, 191, 422, 812, 1646, 3036, 4968, 7239, 8378, 7646, 5675, 3477, 1991, 1000, 489, 235, 97, 59, 26, 15, 7, 3, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,4,48077,"[0, 10, 10, 31, 48, 82, 191, 422, 770, 1613, 3116, 5054, 7134, 8569, 7892, 5749, 3546, 1936, 957, 487, 220, 132, 67, 22, 13, 2, 2, 1, 0, 1, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,9,47866,"[0, 10, 10, 31, 48, 82, 191, 422, 810, 1605, 2926, 4949, 7272, 8640, 7863, 5769, 3404, 1931, 967, 469, 258, 114, 47, 28, 11, 5, 3, 0, 1, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,8,47989,"[0, 10, 10, 31, 48, 82, 191, 422, 803, 1608, 2979, 4991, 7077, 8425, 7858, 5837, 3683, 2018, 993, 499, 224, 105, 58, 22, 10, 3, 2, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,6,47773,"[0, 10, 10, 31, 48, 82, 191, 422, 790, 1619, 2935, 4994, 7172, 8450, 7910, 5783, 3507, 1905, 983, 454, 243, 122, 65, 29, 12, 3, 1, 2, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,7,47852,"[0, 10, 10, 31, 48, 82, 191, 422, 887, 1647, 3089, 5161, 7242, 8342, 7694, 5653, 3421, 1939, 1009, 491, 243, 135, 54, 26, 16, 4, 3, 1, 1, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,5,47987,"[0, 10, 10, 31, 48, 82, 191, 422, 822, 1558, 2896, 4764, 7134, 8431, 7942, 5872, 3632, 2048, 1039, 561, 265, 119, 63, 23, 17, 2, 4, 1, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,Degree_V2_noisy,0,48062,"[0, 10, 10, 31, 48, 82, 191, 422, 779, 1531, 2881, 4756, 6798, 8278, 7882, 6121, 3871, 2143, 1112, 577, 276, 140, 68, 29, 13, 9, 1, 2, 0, 1, 0]"
montgomery_extra,75,none,0.05,True,0.3608833011792184,True,1,mont_star.json,DegGreedy_private_V2,9,48005,"[0, 10, 10, 31, 48, 82, 191, 422, 798, 1540, 2904, 4813, 7092, 8588, 7973, 5835, 3687, 1983, 1023, 503, 236, 126, 58, 24, 19, 5, 3, 1, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,DegGreedy_private_V2,4,47957,"[0, 10, 10, 31, 48, 82, 191, 422, 839, 1579, 2962, 4903, 6956, 8373, 7938, 5751, 3643, 2043, 1081, 551, 301, 128, 70, 24, 13, 5, 1, 2, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,DegGreedy_private_V2,9,47895,"[0, 10, 10, 31, 48, 82, 191, 422, 824, 1588, 2940, 4753, 6955, 8457, 7839, 5875, 3752, 2074, 1083, 496, 251, 112, 59, 27, 10, 4, 0, 2, 0]"
montgomery_extra,117,none,0.05,True,0.3608833011792184,True,1,mont_star.json,DegGreedy_private_V2,6,47662,"[0, 10, 10, 31, 48, 82, 191, 422, 841, 1659, 3090, 5146, 7168, 8434, 7584, 5688, 3406, 1893, 1005, 507, 242, 120, 41, 23, 14, 5, 1, 1, 0]"
