G,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,target,trial_id,equivalent_budget
montgomery,none,0.05,True,0.8,True,0.61,c7.json,DegGreedy_fair,35135,0,727
montgomery,none,0.05,True,0.8,True,0.62,c7.json,DegGreedy_fair,35135,0,722
montgomery,none,0.05,True,0.8,True,0.59,c7.json,DegGreedy_fair,35135,0,727
montgomery,none,0.05,True,0.8,True,0.6,c7.json,DegGreedy_fair,35135,0,727
montgomery,none,0.05,True,0.8,True,0.57,c7.json,DegGreedy_fair,35135,0,747
montgomery,none,0.05,True,0.8,True,0.55,c7.json,DegGreedy_fair,35135,0,747
montgomery,none,0.05,True,0.8,True,0.58,c7.json,DegGreedy_fair,35135,0,743
montgomery,none,0.05,True,0.8,True,0.51,c7.json,DegGreedy_fair,35135,0,776
montgomery,none,0.05,True,0.8,True,0.54,c7.json,DegGreedy_fair,35135,0,754
montgomery,none,0.05,True,0.8,True,0.56,c7.json,DegGreedy_fair,35135,0,741
montgomery,none,0.05,True,0.8,True,0.53,c7.json,DegGreedy_fair,35135,0,760
montgomery,none,0.05,True,0.8,True,0.52,c7.json,DegGreedy_fair,35135,0,760
montgomery,none,0.05,True,0.8,True,0.5,c7.json,DegGreedy_fair,35135,0,779
montgomery,none,0.05,True,0.8,True,0.63,c7.json,DegGreedy_fair,35135,0,727
montgomery,none,0.05,True,0.8,True,0.65,c7.json,DegGreedy_fair,35135,0,715
montgomery,none,0.05,True,0.8,True,0.64,c7.json,DegGreedy_fair,35135,0,713
montgomery,none,0.05,True,0.8,True,0.66,c7.json,DegGreedy_fair,35135,0,699
montgomery,none,0.05,True,0.8,True,0.67,c7.json,DegGreedy_fair,35135,0,710
montgomery,none,0.05,True,0.8,True,0.51,c7.json,DepRound_fair,35135,0,795
montgomery,none,0.05,True,0.8,True,0.52,c7.json,DepRound_fair,35135,0,792
montgomery,none,0.05,True,0.8,True,0.54,c7.json,DepRound_fair,35135,0,785
montgomery,none,0.05,True,0.8,True,0.53,c7.json,DepRound_fair,35135,0,785
