G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery,400,none,0.05,True,-1,True,1,c7.json,segmented_greedy,1,39556,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 492, 641, 981, 1518, 2206, 3104, 4171, 4820, 5048, 4747, 3838, 2902, 1855, 1167, 680, 398, 219, 95, 44, 17, 3, 0]"
montgomery,400,none,0.05,True,-1,True,1,c7.json,segmented_greedy,2,39568,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 444, 644, 916, 1456, 2182, 3161, 4173, 4908, 5278, 4720, 3931, 2735, 1833, 1106, 679, 417, 202, 112, 42, 14, 4, 1, 0]"
montgomery,400,none,0.05,True,-1,True,1,c7.json,segmented_greedy,6,39728,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 471, 658, 1001, 1491, 2236, 3028, 4111, 4945, 5227, 4798, 3820, 2767, 1839, 1179, 699, 424, 232, 111, 55, 21, 4, 1, 0]"
montgomery,400,none,0.05,True,-1,True,1,c7.json,segmented_greedy,0,39569,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 437, 683, 946, 1525, 2224, 3202, 4058, 4935, 5004, 4777, 3804, 2802, 1887, 1164, 680, 384, 229, 113, 68, 29, 7, 1, 0]"
montgomery,400,none,0.05,True,-1,True,1,c7.json,segmented_greedy,8,39418,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 467, 679, 943, 1437, 2191, 3217, 4220, 4913, 5201, 4713, 3707, 2651, 1790, 1125, 682, 423, 251, 111, 59, 20, 7, 1, 0]"
montgomery,400,none,0.05,True,-1,True,1,c7.json,segmented_greedy,7,39598,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 467, 672, 993, 1547, 2261, 3238, 4144, 5042, 5049, 4657, 3683, 2721, 1798, 1180, 662, 416, 229, 128, 62, 25, 10, 3, 1, 0]"
montgomery,410,none,0.05,True,-1,True,1,c7.json,segmented_greedy,6,39538,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 479, 683, 1054, 1601, 2386, 3334, 4324, 4926, 5171, 4507, 3691, 2705, 1717, 1059, 624, 335, 183, 94, 32, 16, 6, 1, 0]"
montgomery,400,none,0.05,True,-1,True,1,c7.json,segmented_greedy,5,39992,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 460, 641, 1028, 1604, 2402, 3354, 4437, 5163, 5365, 4744, 3685, 2626, 1630, 1004, 580, 338, 166, 94, 37, 15, 7, 1, 1, 0]"
montgomery,410,none,0.05,True,-1,True,1,c7.json,segmented_greedy,0,39139,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 449, 641, 1013, 1441, 2154, 3033, 3933, 4767, 5075, 4640, 3805, 2775, 1882, 1193, 741, 473, 282, 121, 74, 27, 7, 2, 1, 0]"
montgomery,410,none,0.05,True,-1,True,1,c7.json,segmented_greedy,1,39573,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 468, 667, 963, 1484, 2075, 3021, 4006, 4764, 5189, 4761, 3945, 2844, 1889, 1270, 716, 418, 251, 129, 64, 29, 7, 2, 1, 0]"
montgomery,400,none,0.05,True,-1,True,1,c7.json,segmented_greedy,4,39638,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 472, 726, 1124, 1772, 2575, 3587, 4532, 5159, 5032, 4442, 3449, 2442, 1538, 969, 557, 336, 159, 91, 36, 18, 8, 3, 0, 1, 0]"
montgomery,410,none,0.05,True,-1,True,1,c7.json,segmented_greedy,4,39967,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 495, 695, 1034, 1629, 2403, 3282, 4410, 5124, 5246, 4694, 3708, 2634, 1707, 1072, 550, 349, 181, 91, 37, 11, 5, 0]"
montgomery,410,none,0.05,True,-1,True,1,c7.json,segmented_greedy,7,39514,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 483, 662, 1074, 1683, 2456, 3487, 4524, 5183, 5147, 4625, 3513, 2395, 1580, 979, 540, 312, 147, 75, 28, 8, 1, 2, 0]"
montgomery,410,none,0.05,True,-1,True,1,c7.json,segmented_greedy,3,40119,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 479, 617, 1018, 1503, 2252, 3122, 4080, 4913, 5179, 4858, 3973, 2867, 1875, 1164, 706, 433, 236, 139, 57, 28, 6, 1, 2, 1, 0]"
montgomery,410,none,0.05,True,-1,True,1,c7.json,segmented_greedy,5,39787,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 469, 664, 960, 1419, 2133, 3049, 4016, 4812, 5157, 4730, 3952, 2923, 1981, 1249, 790, 437, 258, 100, 52, 20, 5, 1, 0]"
montgomery,400,none,0.05,True,-1,True,1,c7.json,segmented_greedy,9,39534,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 472, 619, 903, 1364, 2050, 2919, 3879, 4757, 5108, 4994, 4111, 2946, 1959, 1210, 729, 422, 229, 136, 77, 26, 11, 2, 1, 0]"
montgomery,410,none,0.05,True,-1,True,1,c7.json,segmented_greedy,8,39673,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 425, 638, 978, 1428, 2089, 2996, 3978, 4771, 5013, 4808, 3986, 2988, 2091, 1245, 819, 430, 209, 111, 44, 13, 3, 0]"
montgomery,400,none,0.05,True,-1,True,1,c7.json,segmented_greedy,3,39615,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 712, 1078, 1558, 2291, 3140, 4171, 4917, 5119, 4629, 3616, 2759, 1713, 1166, 702, 423, 254, 156, 65, 33, 15, 2, 1, 0, 1, 0]"
montgomery,420,none,0.05,True,-1,True,1,c7.json,segmented_greedy,3,39431,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 479, 705, 1054, 1599, 2299, 3366, 4371, 5070, 5174, 4658, 3621, 2460, 1616, 1012, 591, 361, 217, 97, 58, 12, 1, 0]"
montgomery,410,none,0.05,True,-1,True,1,c7.json,segmented_greedy,2,39550,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 443, 593, 850, 1351, 2011, 2908, 3864, 4697, 5105, 4684, 4057, 3056, 2108, 1329, 822, 513, 285, 151, 77, 29, 4, 3, 0]"
montgomery,410,none,0.05,True,-1,True,1,c7.json,segmented_greedy,9,39397,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 695, 1023, 1541, 2352, 3218, 4173, 4969, 5081, 4724, 3690, 2641, 1729, 1099, 630, 387, 198, 94, 46, 15, 3, 2, 1, 0]"
montgomery,420,none,0.05,True,-1,True,1,c7.json,segmented_greedy,1,39741,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 471, 679, 1075, 1600, 2387, 3407, 4342, 5064, 5206, 4597, 3648, 2633, 1682, 1044, 617, 361, 174, 104, 22, 12, 4, 1, 1, 0]"
