G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,Random,0,38034,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 453, 667, 942, 1531, 2263, 3076, 4080, 4730, 4925, 4415, 3507, 2577, 1716, 1111, 677, 378, 194, 105, 46, 19, 10, 2, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,Random,1,38304,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 646, 979, 1483, 2142, 2908, 3939, 4585, 4811, 4541, 3623, 2710, 1896, 1269, 759, 447, 252, 129, 52, 20, 17, 6, 3, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,Random,2,38727,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 507, 636, 968, 1389, 2073, 3060, 3936, 4690, 4916, 4637, 3733, 2784, 1985, 1243, 758, 406, 225, 102, 36, 22, 7, 3, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,Random,4,38552,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 494, 638, 956, 1354, 1993, 2908, 3780, 4480, 4925, 4646, 3825, 2940, 1997, 1264, 827, 475, 250, 109, 48, 18, 9, 4, 1, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,Random,7,38739,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 492, 626, 943, 1433, 2125, 2871, 3956, 4686, 5012, 4689, 3855, 2811, 1869, 1204, 718, 392, 210, 117, 59, 32, 21, 4, 4, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,Random,6,38217,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 497, 664, 951, 1490, 2152, 3028, 3984, 4673, 4844, 4510, 3626, 2721, 1817, 1173, 669, 404, 212, 102, 53, 15, 14, 2, 3, 1, 2, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,Random,3,38762,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 491, 614, 947, 1355, 2126, 2950, 3852, 4439, 4892, 4522, 3838, 2951, 2066, 1301, 827, 478, 279, 137, 56, 18, 7, 1, 0, 1, 2, 1, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,Random,9,38436,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 623, 885, 1344, 2007, 2916, 3898, 4629, 5028, 4684, 3774, 2839, 1868, 1219, 726, 439, 256, 135, 47, 22, 9, 10, 1, 1, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,Random,11,38442,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 458, 620, 871, 1301, 1914, 2707, 3637, 4510, 4941, 4707, 4000, 3024, 2054, 1331, 818, 451, 276, 106, 61, 25, 12, 5, 3, 0]"
montgomery,750,none,0.05,True,0.8,True,0.5,c7.json,Random,12,38458,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 456, 658, 899, 1390, 2055, 2940, 3828, 4510, 4845, 4648, 3815, 2864, 1932, 1324, 826, 433, 241, 118, 45, 15, 6, 0]"
