G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville_extra,205,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,6,90383,"[0, 10, 13, 32, 84, 207, 570, 1607, 4174, 8558, 14114, 17687, 16300, 11627, 7239, 3983, 2125, 1098, 506, 229, 114, 63, 23, 12, 4, 2, 0, 2, 0]"
cville_extra,353,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,6,90328,"[0, 10, 13, 32, 84, 207, 570, 1670, 4251, 8838, 14475, 17788, 15813, 11622, 7112, 3854, 2019, 1042, 490, 236, 103, 60, 24, 11, 3, 1, 0]"
cville_extra,353,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,4,90746,"[0, 10, 13, 32, 84, 207, 570, 1673, 4265, 9076, 14604, 17906, 16033, 11681, 6899, 3957, 1895, 944, 470, 232, 107, 52, 21, 9, 5, 1, 0]"
cville_extra,279,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,9,90439,"[0, 10, 13, 32, 84, 207, 570, 1666, 4320, 8955, 14602, 17916, 16055, 11556, 7044, 3728, 1897, 948, 483, 203, 88, 39, 13, 4, 4, 1, 1, 0]"
cville_extra,205,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,3,90654,"[0, 10, 13, 32, 84, 207, 570, 1724, 4456, 9100, 14704, 17746, 15739, 11375, 6976, 3876, 2016, 1054, 517, 276, 101, 55, 14, 8, 1, 0]"
cville_extra,353,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,2,90018,"[0, 10, 13, 32, 84, 207, 570, 1656, 4223, 8807, 14426, 17457, 15938, 11537, 7237, 3951, 2006, 983, 490, 222, 93, 50, 17, 7, 2, 0]"
cville_extra,279,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,7,90819,"[0, 10, 13, 32, 84, 207, 570, 1696, 4420, 9033, 14653, 17738, 15913, 11479, 7126, 3951, 2054, 979, 461, 216, 103, 51, 23, 5, 2, 0]"
cville_extra,353,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,9,90464,"[0, 10, 13, 32, 84, 207, 570, 1599, 4155, 8522, 13878, 17452, 16297, 11961, 7445, 4157, 2089, 1028, 499, 253, 115, 69, 19, 9, 1, 0]"
cville_extra,205,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,1,90652,"[0, 10, 13, 32, 84, 207, 570, 1662, 4243, 8907, 14557, 18059, 15986, 11427, 7115, 3901, 2016, 991, 474, 241, 94, 40, 13, 9, 1, 0]"
cville_extra,353,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,1,90245,"[0, 10, 13, 32, 84, 207, 570, 1686, 4241, 8826, 14318, 17700, 15784, 11661, 7080, 4016, 2052, 1027, 525, 246, 84, 53, 16, 8, 3, 0, 1, 1, 0, 1, 0]"
cville_extra,353,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,8,90468,"[0, 10, 13, 32, 84, 207, 570, 1658, 4246, 8729, 14183, 17852, 16165, 11863, 7079, 4005, 1937, 995, 466, 208, 91, 44, 15, 9, 3, 4, 0]"
cville_extra,353,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,5,90121,"[0, 10, 13, 32, 84, 207, 570, 1674, 4343, 8924, 14410, 17552, 15977, 11481, 7088, 3880, 2002, 976, 491, 224, 105, 47, 21, 8, 2, 0]"
cville_extra,279,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,0,90472,"[0, 10, 13, 32, 84, 207, 570, 1585, 4124, 8705, 14321, 17800, 15986, 11727, 7174, 4088, 2120, 1039, 487, 229, 106, 39, 16, 7, 3, 0]"
cville_extra,353,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,3,90218,"[0, 10, 13, 32, 84, 207, 570, 1630, 4288, 8817, 14424, 17765, 16204, 11483, 7110, 3754, 1986, 963, 460, 212, 97, 63, 24, 13, 6, 3, 0]"
cville_extra,279,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,4,90334,"[0, 10, 13, 32, 84, 207, 570, 1674, 4380, 8925, 14415, 17659, 15887, 11648, 7073, 3901, 2005, 964, 502, 206, 103, 46, 22, 4, 3, 1, 0]"
cville_extra,205,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,9,90410,"[0, 10, 13, 32, 84, 207, 570, 1653, 4377, 9184, 14804, 17756, 15866, 11305, 6860, 3823, 2027, 932, 490, 227, 107, 49, 23, 5, 4, 1, 1, 0]"
cville_extra,205,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,4,90764,"[0, 10, 13, 32, 84, 207, 570, 1670, 4360, 9028, 14635, 18089, 16009, 11404, 7014, 3767, 2027, 996, 450, 226, 88, 45, 22, 10, 4, 2, 2, 0]"
cville_extra,279,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,6,90440,"[0, 10, 13, 32, 84, 207, 570, 1665, 4220, 8924, 14491, 17923, 16081, 11613, 7014, 3728, 1985, 970, 466, 240, 114, 55, 19, 12, 2, 2, 0]"
cville_extra,353,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,7,90039,"[0, 10, 13, 32, 84, 207, 570, 1633, 4268, 8687, 13995, 17630, 16011, 11687, 7190, 3975, 2084, 1030, 490, 227, 126, 46, 33, 5, 3, 2, 1, 0]"
cville_extra,279,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,3,90231,"[0, 10, 13, 32, 84, 207, 570, 1631, 4228, 8819, 14355, 17683, 16042, 11624, 7083, 3979, 2048, 956, 451, 223, 112, 48, 23, 5, 3, 2, 0]"
cville_extra,353,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,0,90214,"[0, 10, 13, 32, 84, 207, 570, 1717, 4411, 8894, 14460, 17826, 15881, 11463, 6897, 3809, 2022, 1003, 466, 253, 113, 50, 14, 10, 2, 3, 1, 3, 0]"
cville_extra,279,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,2,90422,"[0, 10, 13, 32, 84, 207, 570, 1668, 4318, 8987, 14405, 17645, 16019, 11734, 7045, 3918, 1933, 1011, 424, 212, 111, 52, 16, 7, 1, 0]"
cville_extra,279,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,8,90469,"[0, 10, 13, 32, 84, 207, 570, 1608, 4039, 8524, 13962, 17661, 16057, 11857, 7396, 4173, 2198, 1051, 541, 272, 111, 64, 25, 8, 3, 2, 0, 1, 0]"
cville_extra,205,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,5,90646,"[0, 10, 13, 32, 84, 207, 570, 1634, 4358, 8953, 14429, 17663, 16212, 11606, 7183, 3842, 2042, 934, 472, 224, 102, 52, 19, 4, 1, 0]"
cville_extra,279,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,5,90705,"[0, 10, 13, 32, 84, 207, 570, 1711, 4379, 9048, 14776, 17892, 15835, 11426, 7035, 3840, 1971, 1019, 466, 204, 105, 53, 14, 8, 1, 4, 2, 0]"
cville_extra,205,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,7,90870,"[0, 10, 13, 32, 84, 207, 570, 1627, 4358, 8896, 14493, 17902, 16045, 11675, 7183, 3888, 2032, 928, 481, 222, 113, 60, 28, 14, 4, 2, 2, 1, 0]"
cville_extra,279,none,0.05,True,0.360525611499164,True,1,albe_star.json,DegGreedy_private_V2,1,90495,"[0, 10, 13, 32, 84, 207, 570, 1636, 4302, 8799, 14024, 17326, 15999, 11946, 7321, 4027, 2189, 1053, 517, 234, 121, 52, 22, 8, 1, 1, 1, 0]"
