G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,0.5,True,1,1,c7.json,DegGreedy_fair,2,36960,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 448, 618, 847, 1267, 1798, 2435, 3175, 3779, 4150, 4158, 3767, 3128, 2388, 1686, 1101, 714, 431, 225, 130, 63, 24, 10, 3, 3, 2, 0]"
montgomery,750,none,0.05,True,0.5,True,1,1,c7.json,DegGreedy_fair,0,37022,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 473, 648, 809, 1134, 1663, 2264, 3021, 3566, 4062, 4133, 3939, 3315, 2524, 1792, 1225, 835, 479, 260, 148, 79, 21, 10, 5, 4, 2, 1, 0]"
montgomery,750,none,0.05,True,0.5,True,1,1,c7.json,DegGreedy_fair,5,36931,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 498, 643, 912, 1253, 1771, 2293, 3029, 3810, 4204, 4261, 3913, 3022, 2356, 1668, 1068, 711, 429, 262, 135, 60, 13, 2, 4, 1, 3, 0]"
montgomery,750,none,0.05,True,0.5,True,1,1,c7.json,DegGreedy_fair,6,36891,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 499, 655, 892, 1303, 1768, 2323, 2998, 3643, 4094, 4141, 3881, 3134, 2418, 1733, 1178, 708, 427, 234, 132, 56, 20, 14, 8, 6, 6, 6, 3, 1, 0]"
montgomery,750,none,0.05,True,0.5,True,1,1,c7.json,DegGreedy_fair,9,36958,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 604, 844, 1214, 1725, 2286, 2925, 3410, 3966, 4102, 3806, 3272, 2539, 1832, 1269, 839, 545, 340, 184, 101, 42, 12, 4, 3, 1, 1, 1, 0]"
montgomery,750,none,0.05,True,0.5,True,1,1,c7.json,DegGreedy_fair,4,36955,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 464, 579, 763, 1082, 1553, 2022, 2701, 3372, 3961, 4173, 4082, 3397, 2755, 2015, 1388, 870, 504, 324, 174, 112, 39, 9, 6, 0]"
montgomery,750,none,0.05,True,0.5,True,1,1,c7.json,DegGreedy_fair,7,36695,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 517, 720, 1024, 1391, 1893, 2463, 3157, 3805, 4078, 4118, 3645, 2966, 2204, 1592, 1028, 644, 394, 235, 111, 55, 28, 10, 3, 4, 0]"
montgomery,750,none,0.05,True,0.5,True,1,1,c7.json,DegGreedy_fair,3,36771,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 609, 827, 1092, 1557, 2059, 2746, 3399, 3839, 3914, 3796, 3348, 2732, 2054, 1385, 949, 566, 363, 222, 116, 51, 33, 9, 7, 3, 0]"
montgomery,750,none,0.05,True,0.5,True,1,1,c7.json,DegGreedy_fair,8,36966,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 467, 652, 856, 1312, 1833, 2524, 3289, 3942, 4254, 4209, 3697, 3100, 2328, 1543, 981, 661, 347, 193, 96, 45, 18, 6, 3, 0]"
montgomery,750,none,0.05,True,0.5,True,1,1,c7.json,DegGreedy_fair,1,36916,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 493, 619, 887, 1318, 1827, 2413, 3109, 3644, 4103, 4134, 3836, 3199, 2439, 1684, 1089, 685, 387, 215, 110, 60, 29, 12, 8, 4, 1, 1, 0]"
