G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,epsilon,agent,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,Degree_total_noisy,3,36400,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 463, 573, 748, 977, 1245, 1629, 2185, 2770, 3294, 3705, 3899, 3589, 3166, 2557, 1821, 1273, 851, 531, 285, 142, 62, 20, 4, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,Degree_total_noisy,1,36211,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 496, 647, 796, 1057, 1382, 1900, 2504, 3088, 3545, 3904, 3784, 3336, 2833, 2181, 1558, 1050, 718, 425, 217, 112, 50, 10, 7, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,Degree_total_noisy,2,36089,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 499, 548, 753, 984, 1308, 1716, 2186, 2702, 3177, 3554, 3731, 3648, 3127, 2582, 1827, 1289, 800, 528, 265, 149, 68, 28, 9, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,Degree_total_noisy,5,36404,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 509, 590, 747, 963, 1351, 1797, 2343, 3019, 3477, 3817, 3831, 3547, 3085, 2373, 1745, 1087, 707, 410, 226, 109, 36, 17, 5, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,Degree_total_noisy,4,36253,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 488, 573, 693, 934, 1337, 1748, 2253, 2895, 3457, 3823, 4040, 3579, 2971, 2349, 1627, 1168, 747, 451, 293, 136, 55, 23, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,Degree_total_noisy,6,36085,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 497, 583, 728, 990, 1334, 1764, 2316, 2859, 3454, 3734, 3888, 3564, 2981, 2334, 1592, 1177, 737, 465, 262, 134, 47, 27, 5, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,Degree_total_noisy,8,36088,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 512, 620, 829, 1106, 1453, 2012, 2536, 3075, 3492, 3736, 3781, 3435, 2827, 2115, 1527, 1036, 636, 378, 209, 107, 45, 10, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,DegGreedy_private,0,36422,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 554, 724, 889, 1253, 1682, 1999, 2672, 3149, 3630, 3880, 3840, 3174, 2605, 1898, 1337, 861, 550, 313, 184, 84, 42, 10, 3, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,Degree_total_noisy,9,36170,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 430, 492, 625, 851, 1185, 1638, 2136, 2605, 3284, 3664, 3789, 3707, 3260, 2613, 1896, 1385, 854, 557, 294, 161, 79, 32, 15, 4, 2, 1, 0, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,DegGreedy_private,2,36057,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 444, 551, 731, 980, 1194, 1623, 2133, 2816, 3244, 3732, 3904, 3551, 3110, 2494, 1745, 1267, 821, 495, 291, 164, 92, 33, 13, 11, 5, 1, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,Degree_total_noisy,7,36035,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 458, 540, 701, 885, 1209, 1501, 1967, 2495, 3092, 3519, 3593, 3522, 3194, 2642, 2121, 1464, 1022, 650, 437, 225, 115, 45, 21, 4, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,Degree_total_noisy,3,36266,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 501, 531, 726, 956, 1324, 1752, 2244, 2747, 3390, 3617, 3744, 3570, 3023, 2466, 1817, 1309, 827, 511, 310, 174, 75, 25, 15, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,DegGreedy_private,1,36173,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 502, 551, 644, 896, 1066, 1507, 1939, 2571, 3074, 3503, 3728, 3694, 3252, 2750, 2041, 1520, 1021, 634, 332, 200, 79, 36, 13, 8, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,DegGreedy_private,4,36391,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 462, 564, 764, 955, 1229, 1615, 2149, 2818, 3432, 3919, 3883, 3662, 3158, 2358, 1764, 1239, 787, 486, 273, 159, 64, 31, 8, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,Degree_total_noisy,0,35979,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 549, 721, 961, 1356, 1795, 2372, 2980, 3555, 3848, 3860, 3423, 2943, 2254, 1606, 1074, 710, 441, 249, 122, 44, 16, 3, 1, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,DegGreedy_private,6,36217,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 495, 597, 731, 1013, 1364, 1811, 2289, 2867, 3422, 3636, 3746, 3482, 3032, 2309, 1728, 1184, 799, 489, 341, 171, 61, 25, 10, 3, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,Degree_total_noisy,0,36051,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 486, 549, 770, 988, 1340, 1748, 2204, 2742, 3120, 3501, 3567, 3436, 3040, 2474, 1898, 1325, 931, 614, 353, 177, 104, 44, 16, 7, 7, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,Degree_total_noisy,7,36479,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 503, 566, 720, 930, 1301, 1700, 2215, 2724, 3206, 3647, 3831, 3651, 3107, 2519, 1893, 1295, 892, 556, 313, 176, 78, 29, 9, 8, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,DegGreedy_private,0,36129,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 467, 527, 684, 926, 1236, 1649, 2190, 2780, 3241, 3745, 3887, 3656, 3231, 2475, 1784, 1232, 835, 470, 259, 141, 68, 21, 11, 3, 0, 1, 0]"
