G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery,201,none,0.05,True,0.3608833011792184,True,1,mont.json,Degree_I_noisy,3,40829,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 492, 753, 1244, 1979, 2948, 4168, 5099, 5760, 5370, 4313, 3127, 2056, 1264, 738, 418, 225, 129, 72, 36, 15, 5, 6, 1, 1, 0]"
montgomery,159,none,0.05,True,0.3608833011792184,True,1,mont.json,Degree_I_noisy,3,40880,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 428, 707, 1131, 1781, 2708, 3774, 4866, 5542, 5485, 4497, 3371, 2282, 1495, 898, 552, 332, 172, 110, 75, 32, 18, 10, 3, 0, 1, 0]"
montgomery,159,none,0.05,True,0.3608833011792184,True,1,mont.json,Degree_I_noisy,4,40826,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 473, 805, 1335, 2065, 2996, 4174, 5276, 5691, 5332, 4245, 2977, 1930, 1220, 718, 456, 258, 123, 64, 40, 25, 8, 2, 2, 1, 0]"
montgomery,159,none,0.05,True,0.3608833011792184,True,1,mont.json,Degree_I_noisy,9,40821,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 475, 783, 1390, 2124, 3229, 4475, 5524, 5819, 5198, 3987, 2848, 1747, 1127, 672, 384, 190, 118, 59, 34, 17, 5, 4, 0, 2, 0]"
montgomery,159,none,0.05,True,0.3608833011792184,True,1,mont.json,Degree_I_noisy,1,41234,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 477, 699, 1204, 1854, 2814, 3951, 5198, 5793, 5600, 4552, 3249, 2167, 1372, 756, 432, 244, 134, 72, 33, 13, 7, 2, 1, 0]"
montgomery,201,none,0.05,True,0.3608833011792184,True,1,mont.json,Degree_I_noisy,9,41067,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 487, 788, 1284, 2038, 3147, 4435, 5304, 5815, 5225, 4168, 2958, 1918, 1248, 730, 424, 233, 135, 66, 37, 12, 3, 2, 0]"
montgomery,201,none,0.05,True,0.3608833011792184,True,1,mont.json,Degree_I_noisy,8,41097,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 452, 755, 1246, 2039, 3045, 4293, 5337, 5859, 5437, 4298, 2948, 1947, 1195, 705, 400, 244, 140, 77, 35, 14, 11, 1, 4, 2, 2, 1, 0]"
montgomery,201,none,0.05,True,0.3608833011792184,True,1,mont.json,Degree_I_noisy,6,40831,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 505, 806, 1294, 2050, 3118, 4290, 5354, 5793, 5302, 4178, 3010, 1885, 1119, 662, 381, 197, 137, 69, 38, 17, 8, 1, 3, 3, 1, 0]"
montgomery,117,none,0.05,True,0.3608833011792184,True,1,mont.json,Degree_I_noisy,9,40900,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 487, 804, 1346, 2085, 3012, 4141, 5274, 5720, 5275, 4220, 3078, 1988, 1210, 764, 446, 211, 120, 60, 29, 13, 6, 1, 0]"
montgomery,117,none,0.05,True,0.3608833011792184,True,1,mont.json,Degree_I_noisy,6,40995,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 470, 793, 1246, 2049, 3038, 4447, 5536, 5879, 5245, 4086, 2897, 1952, 1167, 697, 408, 206, 133, 58, 37, 18, 14, 2, 4, 2, 1, 0]"
