G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,epsilon,from_cache,agent,trial_id,infection_count,infections_step
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,List_Length,2,70898,"[0, 10, 10, 22, 41, 116, 317, 926, 1928, 2841, 4399, 7194, 9140, 9473, 9288, 8138, 6189, 4292, 2846, 1705, 964, 545, 260, 140, 61, 29, 14, 8, 2, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,List_Length,0,70586,"[0, 10, 10, 22, 41, 116, 317, 959, 1984, 2880, 4497, 7048, 8964, 9542, 9442, 8083, 5926, 4132, 2741, 1674, 1069, 556, 301, 160, 73, 25, 12, 2, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,List_Length,7,70892,"[0, 10, 10, 22, 41, 116, 317, 948, 2011, 2919, 4637, 7497, 9264, 9704, 9474, 7970, 5817, 4043, 2525, 1596, 950, 526, 252, 148, 52, 33, 4, 6, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,List_Length,3,70944,"[0, 10, 10, 22, 41, 116, 317, 976, 2033, 2843, 4294, 7080, 9263, 9733, 9430, 8149, 6086, 4241, 2692, 1633, 945, 530, 278, 143, 44, 22, 8, 4, 0, 1, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,List_Length,6,70733,"[0, 10, 10, 22, 41, 116, 317, 974, 1940, 2897, 4340, 7229, 9194, 9834, 9365, 8206, 6104, 4123, 2569, 1611, 891, 503, 245, 107, 48, 17, 12, 3, 4, 1, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,List_Length,1,70707,"[0, 10, 10, 22, 41, 116, 317, 953, 1910, 2866, 4483, 7277, 9145, 9627, 9390, 8039, 6025, 4183, 2696, 1645, 932, 520, 288, 117, 55, 23, 7, 4, 3, 3, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,List_Length,9,71085,"[0, 10, 10, 22, 41, 116, 317, 973, 1980, 2941, 4485, 7342, 9310, 9621, 9257, 8053, 6053, 4204, 2672, 1619, 980, 514, 303, 147, 57, 30, 11, 10, 1, 4, 2, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,NoIntervention,2,75547,"[0, 10, 10, 22, 41, 116, 317, 938, 2293, 4130, 5865, 8834, 10615, 11088, 9803, 7741, 5349, 3482, 2118, 1206, 673, 400, 226, 120, 70, 31, 22, 13, 8, 4, 2, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,List_Length,5,70728,"[0, 10, 10, 22, 41, 116, 317, 939, 1901, 2741, 4078, 6507, 8911, 9590, 9563, 8449, 6442, 4421, 2817, 1675, 988, 574, 302, 175, 69, 35, 22, 9, 3, 0, 1, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,List_Length,4,70530,"[0, 10, 10, 22, 41, 116, 317, 940, 1979, 2833, 4474, 7068, 9055, 9598, 9358, 8092, 6028, 4182, 2696, 1621, 970, 568, 294, 158, 53, 24, 11, 7, 2, 2, 0, 1, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,NoIntervention,1,75159,"[0, 10, 10, 22, 41, 116, 317, 925, 2434, 4260, 6020, 8964, 10954, 10834, 9495, 7411, 5150, 3229, 2051, 1190, 716, 410, 241, 144, 83, 50, 31, 22, 10, 7, 4, 3, 0, 3, 2, 0]"
