G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,0,41146,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 463, 836, 1386, 2251, 3469, 4701, 5608, 5858, 5180, 3934, 2694, 1703, 1001, 639, 335, 207, 115, 73, 36, 22, 13, 7, 3, 1, 0, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,5,41321,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 491, 831, 1380, 2164, 3247, 4482, 5393, 5749, 5365, 4220, 2863, 1925, 1123, 645, 364, 199, 117, 67, 46, 21, 12, 7, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,3,41124,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 455, 767, 1277, 2059, 3072, 4244, 5286, 5718, 5468, 4311, 3102, 1965, 1147, 683, 388, 229, 145, 69, 57, 25, 24, 12, 5, 3, 2, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,6,41519,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 454, 753, 1229, 2018, 3071, 4261, 5391, 5800, 5512, 4396, 3086, 2026, 1247, 707, 420, 225, 137, 72, 43, 26, 15, 11, 7, 2, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,1,41285,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 500, 817, 1318, 2092, 3122, 4385, 5330, 5783, 5341, 4197, 3076, 2008, 1158, 667, 350, 220, 114, 80, 43, 30, 21, 8, 5, 3, 2, 3, 1, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,8,41292,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 453, 757, 1309, 2047, 3083, 4347, 5252, 5848, 5310, 4310, 3046, 1976, 1202, 717, 436, 249, 148, 87, 45, 32, 11, 8, 4, 0, 2, 1, 1, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,9,41430,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 496, 795, 1302, 2050, 3245, 4384, 5348, 5845, 5337, 4209, 3000, 1908, 1175, 701, 437, 264, 149, 77, 42, 28, 9, 7, 5, 1, 2, 1, 1, 0, 1, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,7,41272,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 480, 739, 1253, 2034, 3096, 4270, 5530, 5883, 5406, 4215, 2979, 1969, 1173, 718, 382, 245, 119, 68, 43, 25, 11, 5, 4, 3, 7, 4, 1, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,4,41354,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 497, 816, 1375, 2128, 3218, 4402, 5451, 5835, 5286, 4170, 2850, 1879, 1170, 707, 417, 239, 132, 71, 47, 30, 15, 3, 5, 1, 0]"
montgomery,1250,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,0,41408,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 482, 813, 1364, 2222, 3244, 4363, 5419, 5891, 5150, 4209, 2944, 1893, 1160, 703, 411, 224, 129, 75, 39, 28, 17, 10, 7, 1, 0]"
montgomery,1250,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,5,41261,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 798, 1296, 2043, 3171, 4366, 5543, 5731, 5359, 4207, 3043, 1848, 1141, 670, 415, 229, 121, 72, 48, 33, 20, 11, 3, 2, 0]"
montgomery,400,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,2,41256,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 445, 753, 1227, 1897, 2882, 3972, 5049, 5741, 5398, 4524, 3367, 2178, 1361, 772, 454, 250, 153, 76, 52, 39, 18, 10, 8, 7, 4, 5, 2, 1, 0, 1, 0]"
montgomery,1250,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,1,41443,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 437, 780, 1265, 2115, 3110, 4412, 5568, 6002, 5350, 4231, 2927, 1862, 1128, 672, 383, 222, 137, 102, 46, 26, 18, 18, 10, 6, 5, 1, 0]"
montgomery,1250,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,3,41418,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 503, 842, 1433, 2300, 3396, 4656, 5623, 5828, 5179, 3967, 2825, 1774, 1029, 665, 343, 191, 101, 70, 36, 23, 11, 7, 4, 1, 0, 1, 0]"
montgomery,1250,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,4,41162,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 465, 779, 1302, 2182, 3165, 4371, 5359, 5722, 5227, 4249, 3086, 1958, 1196, 660, 363, 188, 125, 67, 44, 16, 15, 7, 5, 1, 0]"
montgomery,1250,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,7,41437,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 479, 787, 1273, 2112, 3143, 4350, 5425, 5772, 5111, 4278, 2942, 2018, 1275, 786, 442, 276, 146, 74, 50, 38, 22, 14, 11, 2, 1, 0]"
montgomery,1250,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,2,41527,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 494, 793, 1300, 2072, 3067, 4177, 5353, 5799, 5373, 4376, 3049, 2080, 1231, 734, 431, 246, 136, 98, 48, 22, 13, 7, 8, 6, 3, 1, 0]"
montgomery,1250,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,6,41212,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 478, 800, 1330, 2124, 3150, 4425, 5350, 5858, 5300, 4176, 2982, 1900, 1137, 674, 377, 220, 128, 76, 51, 35, 16, 6, 3, 3, 0, 2, 0, 1, 0]"
montgomery,1250,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,9,41357,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 477, 809, 1408, 2175, 3328, 4370, 5345, 5717, 5237, 4272, 3002, 1873, 1163, 691, 407, 197, 110, 73, 42, 14, 10, 6, 7, 4, 3, 3, 1, 1, 2, 0]"
montgomery,1250,none,0.05,True,0.8,True,1,1,c7.json,NoIntervention,8,41474,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 443, 776, 1240, 2053, 2988, 4249, 5285, 5802, 5383, 4410, 3154, 2073, 1267, 777, 425, 236, 121, 84, 40, 27, 14, 7, 6, 1, 1, 1, 0, 1, 0]"
