G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery,400,none,0.05,False,0.8,False,1,1,c7.json,Degree,1,39112,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 444, 671, 929, 1416, 2039, 2815, 3680, 4380, 4884, 4624, 3928, 3035, 2145, 1351, 942, 547, 331, 185, 104, 39, 10, 1, 2, 0]"
montgomery,400,none,0.05,False,0.8,False,1,1,c7.json,Degree,4,39298,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 495, 698, 1047, 1483, 2025, 2846, 3706, 4405, 4816, 4636, 3956, 3032, 2067, 1391, 898, 547, 308, 182, 87, 50, 10, 3, 0]"
montgomery,400,none,0.05,False,0.8,False,1,1,c7.json,DegGreedy_fair,3,38466,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 496, 632, 924, 1271, 1927, 2620, 3524, 4214, 4596, 4547, 3936, 2960, 2297, 1536, 1026, 637, 372, 192, 92, 44, 9, 3, 1, 0]"
montgomery,400,none,0.05,False,0.8,False,1,1,c7.json,Degree,0,39012,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 497, 701, 1073, 1574, 2236, 3069, 3900, 4599, 4925, 4498, 3684, 2767, 1877, 1233, 782, 458, 262, 146, 72, 39, 8, 2, 0]"
montgomery,400,none,0.05,False,0.8,False,1,1,c7.json,DegGreedy_fair,0,38276,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 504, 692, 999, 1394, 1881, 2572, 3352, 4010, 4527, 4512, 3937, 3244, 2321, 1558, 974, 548, 342, 179, 88, 23, 7, 2, 0]"
montgomery,400,none,0.05,False,0.8,False,1,1,c7.json,DegGreedy_fair,1,38261,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 464, 662, 909, 1303, 1837, 2459, 3255, 4038, 4548, 4618, 4001, 3188, 2330, 1585, 1012, 701, 380, 204, 98, 36, 14, 4, 2, 2, 1, 0]"
montgomery,400,none,0.05,False,0.8,False,1,1,c7.json,Degree,3,39192,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 461, 658, 1040, 1444, 2165, 2898, 3851, 4481, 4806, 4522, 3826, 2979, 2128, 1304, 861, 510, 294, 180, 113, 36, 13, 6, 3, 3, 0]"
montgomery,400,none,0.05,False,0.8,False,1,1,c7.json,DegGreedy_fair,7,38466,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 486, 672, 954, 1359, 1873, 2626, 3552, 4323, 4690, 4594, 3963, 3107, 2134, 1416, 932, 571, 328, 168, 68, 26, 12, 0, 2, 0]"
montgomery,400,none,0.05,False,0.8,False,1,1,c7.json,DegGreedy_fair,6,38148,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 477, 658, 933, 1358, 1886, 2536, 3362, 4072, 4573, 4513, 4042, 3199, 2229, 1527, 938, 594, 318, 173, 96, 35, 7, 8, 2, 1, 1, 0]"
montgomery,400,none,0.05,False,0.8,False,1,1,c7.json,Degree,2,39285,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 469, 660, 1001, 1394, 2017, 2692, 3570, 4299, 4846, 4604, 4077, 3073, 2146, 1468, 951, 587, 361, 202, 127, 78, 36, 11, 3, 1, 1, 0, 1, 0]"
