G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,epsilon,from_cache,agent,trial_id,infection_count,infections_step
cville,131,none,0.05,True,0.360525611499164,True,1,1,albe.json,List_Length,6,75230,"[0, 10, 10, 22, 41, 116, 317, 959, 2452, 4203, 5977, 9007, 10847, 10846, 9763, 7507, 5212, 3320, 1986, 1168, 645, 366, 219, 108, 69, 25, 17, 11, 6, 1, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,1,albe.json,List_Length,2,75191,"[0, 10, 10, 22, 41, 116, 317, 906, 2378, 4026, 5584, 8713, 10757, 10832, 9825, 7913, 5340, 3427, 2117, 1192, 711, 415, 243, 138, 69, 46, 23, 14, 6, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,1,albe.json,List_Length,1,75090,"[0, 10, 10, 22, 41, 116, 317, 961, 2483, 4459, 6322, 9235, 10511, 10613, 9394, 7390, 5070, 3313, 1934, 1188, 698, 418, 262, 148, 87, 41, 24, 12, 11, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,1,albe.json,List_Length,7,75304,"[0, 10, 10, 22, 41, 116, 317, 943, 2371, 4296, 6193, 9233, 10956, 10719, 9568, 7340, 5084, 3235, 2004, 1203, 691, 407, 242, 126, 83, 43, 22, 13, 10, 5, 1, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,1,albe.json,List_Length,4,75369,"[0, 10, 10, 22, 41, 116, 317, 933, 2468, 4321, 6112, 8921, 10592, 10675, 9498, 7540, 5323, 3443, 2111, 1230, 730, 442, 258, 116, 68, 32, 24, 8, 3, 4, 1, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,1,albe.json,NoIntervention,8,75439,"[0, 10, 10, 22, 41, 116, 317, 881, 2347, 4100, 5854, 8679, 10862, 11046, 9796, 7678, 5312, 3457, 2025, 1195, 730, 433, 246, 137, 77, 40, 17, 9, 0, 2, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,1,albe.json,List_Length,5,75050,"[0, 10, 10, 22, 41, 116, 317, 938, 2425, 4270, 6050, 9043, 10770, 10996, 9568, 7224, 5005, 3261, 2000, 1251, 753, 427, 249, 121, 81, 50, 24, 12, 6, 7, 2, 1, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,1,albe.json,List_Length,3,75288,"[0, 10, 10, 22, 41, 116, 317, 945, 2368, 4287, 6253, 9288, 11188, 10788, 9606, 7323, 5051, 3118, 1914, 1140, 624, 359, 219, 130, 78, 46, 23, 8, 6, 4, 1, 1, 0, 1, 1, 1, 0, 1, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,1,albe.json,NoIntervention,0,75691,"[0, 10, 10, 22, 41, 116, 317, 951, 2442, 4358, 6115, 9179, 10838, 10792, 9682, 7413, 5127, 3358, 2042, 1180, 692, 396, 240, 122, 88, 64, 26, 26, 16, 8, 7, 5, 2, 2, 1, 2, 1, 0]"
cville,131,none,0.05,True,0.360525611499164,True,1,1,albe.json,NoIntervention,9,75471,"[0, 10, 10, 22, 41, 116, 317, 897, 2404, 4269, 6177, 9084, 10617, 10745, 9627, 7471, 5202, 3344, 2061, 1217, 754, 430, 286, 173, 96, 51, 24, 18, 4, 4, 0]"
