G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,epsilon,from_cache,agent,trial_id,infection_count,infections_step
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,NoIntervention,1,75388,"[0, 10, 10, 22, 41, 116, 317, 947, 2374, 4159, 5854, 8998, 10976, 11060, 9793, 7422, 5063, 3339, 2024, 1252, 658, 428, 225, 145, 74, 40, 21, 12, 2, 3, 0, 1, 1, 0, 1, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,NoIntervention,0,75643,"[0, 10, 10, 22, 41, 116, 317, 957, 2512, 4292, 6243, 9242, 10839, 10844, 9683, 7448, 5088, 3292, 1962, 1168, 695, 361, 211, 124, 55, 43, 16, 19, 11, 11, 5, 3, 2, 1, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,NoIntervention,2,75714,"[0, 10, 10, 22, 41, 116, 317, 983, 2428, 4364, 6209, 9129, 11001, 10962, 9607, 7264, 5011, 3190, 2019, 1236, 736, 433, 266, 142, 99, 51, 29, 23, 9, 4, 2, 0, 1, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,NoIntervention,4,75266,"[0, 10, 10, 22, 41, 116, 317, 954, 2481, 4397, 6390, 9446, 11103, 10815, 9529, 7097, 4987, 3077, 1840, 1107, 633, 380, 212, 141, 67, 54, 26, 11, 2, 0, 1, 0]"
cville,2000,none,0.05,True,0.540788417248746,True,1,1,albe.json,NoIntervention,3,75359,"[0, 10, 10, 22, 41, 116, 317, 963, 2418, 4245, 6084, 8925, 10652, 10563, 9572, 7720, 5298, 3456, 2041, 1273, 726, 383, 199, 136, 74, 48, 33, 17, 6, 7, 1, 2, 0, 1, 0]"
cville,2228,none,0.05,True,0.540788417248746,True,1,1,albe.json,NoIntervention,0,75398,"[0, 10, 10, 22, 41, 116, 317, 929, 2437, 4190, 5990, 9173, 10959, 10943, 9676, 7358, 5225, 3291, 2001, 1198, 673, 380, 201, 105, 64, 44, 24, 16, 4, 1, 0]"
cville,2228,none,0.05,True,0.540788417248746,True,1,1,albe.json,NoIntervention,1,75613,"[0, 10, 10, 22, 41, 116, 317, 922, 2311, 4127, 5877, 8723, 10652, 10577, 9758, 7776, 5469, 3515, 2252, 1363, 787, 434, 240, 152, 65, 51, 23, 12, 10, 1, 0]"
cville,2228,none,0.05,True,0.540788417248746,True,1,1,albe.json,NoIntervention,3,75647,"[0, 10, 10, 22, 41, 116, 317, 944, 2490, 4125, 5957, 8724, 10752, 10696, 9893, 7702, 5353, 3382, 2106, 1281, 754, 382, 258, 132, 89, 53, 27, 19, 5, 4, 1, 1, 1, 0]"
cville,2228,none,0.05,True,0.540788417248746,True,1,1,albe.json,NoIntervention,2,75465,"[0, 10, 10, 22, 41, 116, 317, 943, 2471, 4276, 6093, 9094, 10745, 10826, 9736, 7406, 5166, 3331, 1945, 1205, 741, 398, 230, 154, 82, 55, 21, 14, 10, 4, 1, 2, 0]"
cville,2228,none,0.05,True,0.540788417248746,True,1,1,albe.json,NoIntervention,4,75659,"[0, 10, 10, 22, 41, 116, 317, 958, 2481, 4353, 6187, 9011, 10937, 10929, 9605, 7431, 5108, 3257, 1963, 1209, 705, 410, 241, 140, 81, 55, 27, 15, 12, 8, 5, 4, 5, 3, 2, 1, 0]"
