G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
cville,720,none,0.05,True,-1,True,1,b5.json,segmented_greedy,0,73080,"[0, 10, 10, 22, 41, 116, 317, 950, 2134, 3695, 5530, 8319, 10473, 10674, 9662, 7576, 5220, 3436, 2097, 1285, 692, 416, 214, 107, 51, 22, 7, 3, 1, 0]"
cville,720,none,0.05,True,-1,True,1,b5.json,segmented_greedy,2,73080,"[0, 10, 10, 22, 41, 116, 317, 916, 2086, 3424, 5158, 7983, 10155, 10624, 9767, 7884, 5598, 3654, 2300, 1377, 800, 423, 217, 126, 46, 21, 4, 1, 0]"
cville,720,none,0.05,True,-1,True,1,b5.json,segmented_greedy,8,72930,"[0, 10, 10, 22, 41, 116, 317, 920, 2127, 3602, 5633, 8480, 10288, 10458, 9393, 7400, 5275, 3512, 2227, 1332, 826, 457, 252, 130, 70, 21, 10, 0, 1, 0]"
cville,720,none,0.05,True,-1,True,1,b5.json,segmented_greedy,6,72889,"[0, 10, 10, 22, 41, 116, 317, 942, 2056, 3439, 5268, 8058, 10090, 10501, 9592, 7765, 5537, 3678, 2322, 1384, 806, 468, 234, 110, 70, 28, 14, 6, 3, 2, 0]"
cville,720,none,0.05,True,-1,True,1,b5.json,segmented_greedy,9,73461,"[0, 10, 10, 22, 41, 116, 317, 981, 2189, 3651, 5211, 8011, 10113, 10742, 9834, 7838, 5560, 3676, 2206, 1323, 746, 428, 228, 120, 56, 24, 6, 0, 2, 0]"
cville,720,none,0.05,True,-1,True,1,b5.json,segmented_greedy,7,73087,"[0, 10, 10, 22, 41, 116, 317, 962, 2077, 3571, 5345, 8174, 10255, 10527, 9647, 7615, 5535, 3571, 2248, 1355, 786, 433, 255, 119, 60, 26, 8, 1, 1, 0]"
cville,720,none,0.05,True,-1,True,1,b5.json,segmented_greedy,3,73045,"[0, 10, 10, 22, 41, 116, 317, 960, 2147, 3633, 5580, 8405, 10362, 10405, 9600, 7491, 5363, 3529, 2188, 1284, 723, 404, 211, 143, 62, 27, 10, 1, 1, 0]"
cville,720,none,0.05,True,-1,True,1,b5.json,segmented_greedy,1,73203,"[0, 10, 10, 22, 41, 116, 317, 949, 2136, 3544, 5511, 8216, 10024, 10349, 9675, 7676, 5564, 3673, 2332, 1331, 819, 431, 247, 110, 66, 18, 10, 4, 2, 0]"
cville,720,none,0.05,True,-1,True,1,b5.json,segmented_greedy,5,73096,"[0, 10, 10, 22, 41, 116, 317, 896, 2048, 3423, 5420, 8207, 10446, 10824, 9573, 7602, 5378, 3557, 2147, 1295, 810, 439, 260, 130, 68, 34, 14, 7, 1, 1, 0]"
cville,720,none,0.05,True,-1,True,1,b5.json,segmented_greedy,4,73200,"[0, 10, 10, 22, 41, 116, 317, 919, 2099, 3493, 5428, 8003, 10022, 10522, 9710, 7778, 5583, 3697, 2340, 1397, 766, 419, 252, 141, 66, 36, 7, 5, 1, 0]"
