id,peak,total
8,7505,45725
2,7721,46522
17,6995,45140
28,7183,45272
30,7187,45157
25,7139,45142
36,7137,45603
10,7192,45371
33,7309,45299
35,7180,45508
34,7123,45250
42,7060,45383
29,7154,45194
37,7278,45333
6,7566,45804
0,7794,46460
68,7124,45468
1,7719,46442
57,7220,45425
12,7276,45171
59,7298,45500
3,7824,46468
14,7128,45147
18,7004,44898
22,7085,45222
9,7433,45837
16,6797,45026
26,7055,45374
20,7065,45146
24,7185,45116
27,7212,45284
21,7048,44891
46,7260,45444
11,7033,45305
38,7108,45213
32,7161,45057
4,7809,46712
19,7031,44991
15,7157,45083
5,7479,45532
13,7068,45063
7,7515,45663
44,7193,45248
23,7090,45031
31,6933,44773
40,7251,45323
48,7029,45268
54,7339,45427
52,7146,45366
45,7220,45490
53,7379,45730
47,7365,45473
50,7196,45550
69,7231,45193
39,7255,45410
79,7432,45823
56,7219,45185
55,7159,45431
65,7205,45436
70,7247,45498
51,7368,45517
60,7310,45566
66,7329,45489
61,7406,45454
43,7304,45374
41,7265,45287
76,7075,45197
64,7384,45436
58,7283,45472
62,7260,45358
49,7305,45297
72,7252,45796
74,7286,45082
78,7450,45465
63,7269,45432
71,7478,45607
67,7298,45488
77,7322,45580
73,7457,45675
75,7313,45481
83,7443,45493
80,7386,45698
81,7346,45554
96,7450,45773
89,7471,45663
82,7426,45801
87,7405,45571
101,7467,45453
108,7421,45811
84,7295,45860
115,7505,45733
85,7460,45799
129,7338,45997
86,7333,45663
123,7389,45879
131,7447,45705
93,7244,45531
107,7445,45419
88,7286,45877
98,7506,45990
135,7278,45579
90,7472,45782
105,7306,45792
94,7384,45649
110,7419,45883
134,7381,45762
139,7430,45901
100,7400,45627
145,7489,45736
92,7471,45863
91,7313,45430
102,7416,45798
138,7623,45875
132,7529,45715
103,7480,45805
104,7435,45766
117,7444,45544
112,7673,46050
121,7437,45731
124,7595,45756
154,7556,45847
99,7376,45536
126,7474,45784
95,7298,45744
97,7238,45531
106,7570,45541
116,7384,45773
128,7413,45936
113,7421,45821
143,7289,45780
114,7406,45598
118,7587,45782
109,7337,45658
119,7432,45659
136,7423,45799
162,7376,45793
127,7591,45947
147,7476,45890
122,7452,45726
125,7571,45834
111,7408,45873
120,7485,45806
148,7574,45734
140,7349,45877
155,7529,45769
